condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;2;2
18312;5;3
18313;18;13
18314;28;10
18315;43;15
18316;61;18
18317;95;34
18318;139;44
18319;245;106
18320;388;143
18321;593;205
18322;978;385
18323;1501;523
18324;2336;835
18325;2922;586
18326;3513;591
18327;4747;1234
18328;5823;1076
18329;6566;743
18330;7161;595
18331;8042;881
18332;9000;958
18333;10075;1075
18334;11364;1289
18335;12729;1365
18336;13938;1209
18337;14991;1053
18338;16169;1178
18339;17361;1192
18340;18407;1046
18341;19644;1237
18342;20610;966
18343;21638;1028
18344;23049;1411
18345;24811;1762
18346;27017;2206
18347;29406;2389
18348;32332;2926
18349;35408;3076
18350;38309;2901
18351;41495;3186
18352;44605;3110
18353;47593;2988
18354;50468;2875
18355;53183;2715
18356;55743;2560
18357;58226;2483
18358;60500;2274
18359;62589;2089
18360;64586;1997
18361;66220;1634
18362;68192;1972
18363;70029;1837
18364;71686;1657
18365;73303;1617
18366;74877;1574
18367;76389;1512
18368;77995;1606
18369;79494;1499
18370;80868;1374
18371;82211;1343
18372;83505;1294
18373;84802;1297
18374;85996;1194
18375;87026;1030
18376;88194;1168
18377;89328;1134
18378;90481;1153
18379;91472;991
18380;92584;1112
18381;93657;1073
18382;94640;983
18383;95646;1006
18384;96448;802
18385;97424;976
18386;98647;1223
18387;99970;1323
18388;101650;1680
18389;103135;1485
18390;104691;1556
18391;106220;1529
18392;107603;1383
18393;109286;1683
18394;110767;1481
18395;112725;1958
18396;114533;1808
18397;116635;2102
18398;118392;1757
18399;120198;1806
18400;122492;2294
18401;124603;2111
18402;126949;2346
18403;129341;2392
18404;131652;2311
18405;133521;1869
18406;135701;2180
18407;137724;2023
18408;139511;1787
18409;141591;2080
18410;143849;2258
18411;146668;2819
18412;148950;2282
18413;151466;2516
18414;154445;2979
18415;157562;3117
18416;160696;3134
18417;164270;3574
18418;167156;2886
18419;169425;2269
18420;171789;2364
18421;173832;2043
18422;175927;2095
18423;177938;2011
18424;180156;2218
18425;182525;2369
18426;184955;2430
18427;187427;2472
18428;189876;2449
18429;192439;2563
18430;195051;2612
18431;197647;2596
18432;200262;2615
18433;202584;2322
18434;204952;2368
18435;207525;2573
18436;209970;2445
18437;212501;2531
18438;215096;2595
18439;217724;2628
18440;220180;2456
18441;222669;2489
18442;225205;2536
18443;227662;2457
18444;230211;2549
18445;232863;2652
18446;235429;2566
18447;237878;2449
18448;240438;2560
18449;243051;2613
18450;245688;2637
18451;248379;2691
18452;250458;2079
18453;252720;2262
18454;255117;2397
18455;257303;2186
18456;259652;2349
18457;262173;2521
18458;264561;2388
18459;267061;2500
18460;269440;2379
18461;271606;2166
18462;273788;2182
18463;276202;2414
18464;278827;2625
18465;281413;2586
18466;284034;2621
18467;286523;2489
18468;288839;2316
18469;291172;2333
18470;293606;2434
18471;296273;2667
18472;298909;2636
18473;301530;2621
18474;304204;2674
18475;306752;2548
18476;309437;2685
18477;312035;2598
18478;314786;2751
18479;317483;2697
18480;320117;2634
18481;322567;2450
18482;324692;2125
18483;326712;2020
18484;328844;2132
18485;331189;2345
18486;333699;2510
18487;336324;2625
18488;338825;2501
18489;341070;2245
18490;343203;2133
18491;345450;2247
18492;347835;2385
18493;350279;2444
18494;352558;2279
18495;354764;2206
18496;356792;2028
