condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;1;1
18322;1;0
18323;1;0
18324;2;1
18325;6;4
18326;6;0
18327;18;12
18328;18;0
18329;19;1
18330;21;2
18331;34;13
18332;43;9
18333;43;0
18334;90;47
18335;129;39
18336;129;0
18337;169;40
18338;223;54
18339;292;69
18340;557;265
18341;683;126
18342;785;102
18343;906;121
18344;1125;219
18345;1329;204
18346;1564;235
18347;1819;255
18348;2121;302
18349;2415;294
18350;2615;200
18351;2910;295
18352;3235;325
18353;3447;212
18354;3849;402
18355;4273;424
18356;4604;331
18357;4994;390
18358;5364;370
18359;5709;345
18360;6074;365
18361;6574;500
18362;8089;1515
18363;8928;839
18364;9655;727
18365;10647;992
18366;11479;832
18367;12547;1068
18368;13271;724
18369;13980;709
18370;14758;778
18371;15251;493
18372;15652;401
18373;16040;388
18374;16671;631
18375;17607;936
18376;18184;577
18377;18561;377
18378;19262;701
18379;19648;386
18380;19877;229
18381;20253;376
18382;20612;359
18383;20833;221
18384;21176;343
18385;21506;330
18386;21772;266
18387;21983;211
18388;22248;265
18389;22385;137
18390;22541;156
18391;22760;219
18392;22996;236
18393;23135;139
18394;23242;107
18395;23401;159
18396;23827;426
18397;23956;129
18398;24048;92
18399;24112;64
18400;24200;88
18401;24251;51
18402;24315;64
18403;24391;76
18404;24506;115
18405;24582;76
18406;24639;57
18407;24698;59
18408;24735;37
18409;24803;68
18410;24841;38
18411;24876;35
18412;24929;53
18413;24990;61
18414;25062;72
18415;25066;4
18416;25111;45
18417;25142;31
18418;25163;21
18419;25183;20
18420;25201;18
18421;25207;6
18422;25215;8
18423;25231;16
18424;25238;7
18425;25250;12
18426;25295;45
18427;25303;8
18428;25321;18
18429;25334;13
18430;25341;7
18431;25355;14
18432;25368;13
18433;25374;6
18434;25379;5
18435;25383;4
18436;25391;8
18437;25396;5
18438;25405;9
18439;25414;9
18440;25437;23
18441;25439;2
18442;25462;23
18443;25473;11
18444;25477;4
18445;25489;12
18446;25498;9
18447;25509;11
18448;25527;18
18449;25531;4
18450;25538;7
18451;25542;4
18452;25565;23
18453;25589;24
18454;25611;22
18455;25628;17
18456;25638;10
18457;25670;32
18458;25683;13
18459;25698;15
18460;25730;32
18461;25750;20
18462;25760;10
18463;25766;6
18464;25802;36
18465;25819;17
18466;25826;7
18467;25845;19
18468;25869;24
18469;25881;12
18470;25892;11
18471;25929;37
18472;25942;13
18473;26027;85
18474;26065;38
18475;26109;44
18476;26162;53
18477;26208;46
18478;26253;45
18479;26303;50
18480;26372;69
18481;26470;98
18482;26644;174
18483;26712;68
18484;26768;56
18485;26801;33
18486;26838;37
18487;26929;91
18488;26995;66
18489;27191;196
18490;27257;66
18491;27313;56
18492;27499;186
18493;27547;48
18494;27676;129
18495;27755;79
18496;27908;153
18497;27969;61
18498;28116;147
18499;28201;85
18500;28363;162
18501;28453;90
18502;28578;125
18503;28720;142
18504;28760;40
18505;28811;51
18506;29025;214
18507;29114;89
18508;29206;92
18509;29303;97
18510;29534;231
18511;29672;138
18512;29774;102
18513;30080;306
18514;30164;84
18515;30360;196
18516;30571;211
18517;30730;159
18518;30985;255
18519;31192;207
