condition;measurement;ncases
18283;2;2
18284;2;0
18285;2;0
18286;2;0
18287;4;2
18288;4;0
18289;7;3
18290;7;0
18291;11;4
18292;15;4
18293;20;5
18294;20;0
18295;20;0
18296;22;2
18297;23;1
18298;23;0
18299;23;0
18300;24;1
18301;24;0
18302;26;2
18303;27;1
18304;28;1
18305;33;5
18306;43;10
18307;54;11
18308;60;6
18309;67;7
18310;79;12
18311;85;6
18312;95;10
18313;112;17
18314;137;25
18315;149;12
18316;160;11
18317;173;13
18318;192;19
18319;218;26
18320;236;18
18321;245;9
18322;259;14
18323;278;19
18324;298;20
18325;333;35
18326;365;32
18327;420;55
18328;466;46
18329;499;33
18330;527;28
18331;585;58
18332;640;55
18333;696;56
18334;733;37
18335;795;62
18336;826;31
18337;843;17
18338;893;50
18339;928;35
18340;968;40
18341;1022;54
18342;1059;37
18343;1104;45
18344;1144;40
18345;1217;73
18346;1314;97
18347;1416;102
18348;1530;114
18349;1728;198
18350;1907;179
18351;2001;94
18352;2255;254
18353;2535;280
18354;2818;283
18355;3154;336
18356;3525;371
18357;3876;351
18358;4110;234
18359;4485;375
18360;5020;535
18361;5614;594
18362;6250;636
18363;6951;701
18364;7473;522
18365;7773;300
18366;8277;504
18367;8835;558
18368;9398;563
18369;9958;560
18370;10548;590
18371;10914;366
18372;11258;344
18373;11641;383
18374;12037;396
18375;12469;432
18376;12854;385
18377;13186;332
18378;13405;219
18379;13576;171
18380;13860;284
18381;14076;216
18382;14284;208
18383;14558;274
18384;14861;303
18385;15061;200
18386;15229;168
18387;15354;125
18388;15455;101
18389;15553;98
18390;15640;87
18391;15755;115
18392;15824;69
18393;15861;37
18394;15948;87
18395;15998;50
18396;16096;98
18397;16148;52
18398;16202;54
18399;16226;24
18400;16259;33
18401;16287;28
18402;16321;34
18403;16362;41
18404;16385;23
18405;16410;25
18406;16451;41
18407;16472;21
18408;16502;30
18409;16528;26
18410;16598;70
18411;16673;75
18412;16716;43
18413;16751;35
18414;16787;36
18415;16837;50
18416;16867;30
18417;16911;44
18418;16958;47
18419;17000;42
18420;17039;39
18421;17060;21
18422;17111;51
18423;17146;35
18424;17187;41
18425;17250;63
18426;17293;43
18427;17369;76
18428;17439;70
18429;17484;45
18430;17530;46
18431;17588;58
18432;17658;70
18433;17725;67
18434;17780;55
18435;17820;40
18436;17879;59
18437;17963;84
18438;18055;92
18439;18162;107
18440;18254;92
18441;18366;112
18442;18476;110
18443;18615;139
18444;18838;223
18445;19055;217
18446;19185;130
18447;19461;276
18448;19668;207
18449;19848;180
18450;20055;207
18451;20261;206
18452;20617;356
18453;21044;427
18454;21430;386
18455;21841;411
18456;22125;284
18457;22437;312
18458;23172;735
18459;23510;338
18460;24104;594
18461;24946;842
18462;25446;500
18463;25706;260
18464;26463;757
18465;27136;673
18466;28114;978
18467;28883;769
18468;29684;801
18469;30548;864
18470;31142;594
18471;32116;974
18472;33382;1266
18473;35144;1762
18474;36234;1090
18475;37804;1570
18476;39116;1312
18477;40099;983
18478;41347;1248
18479;42686;1339
18480;44167;1481
18481;45764;1597
18482;47342;1578
18483;48782;1440
18484;49617;835
18485;50302;685
18486;51288;986
18487;52471;1183
18488;53818;1347
18489;55051;1233
18490;56074;1023
18491;56717;643
18492;57636;919
18493;58728;1092
18494;59900;1172
18495;60949;1049
18496;61916;967
18497;62658;742
18498;63158;500
18499;63888;730
18500;64779;891
18501;65653;874
18502;66499;846
18503;67353;854
18504;67958;605
18505;68396;438
18506;69023;627
18507;69619;596
18508;70278;659
18509;70866;588
18510;71467;601
18511;71918;451
18512;72213;295
18513;72724;511
18514;73264;540
18515;73916;652
18516;74558;642
18517;75206;648
18518;75646;440
18519;75914;268
18520;76446;532
18521;76997;551
18522;77488;491
18523;78061;573
18524;78662;601
18525;79142;480
18526;79462;320
18527;79773;311
18528;80009;236
18529;80490;481
18530;81054;564
18531;81703;649
18532;82186;483
18533;82484;298
18534;83022;538
18535;83591;569
18536;84244;653
18537;84768;524
18538;85345;577
18539;85746;401
18540;86027;281
18541;86540;513
18542;87039;499
18543;87679;640
18544;88267;588
18545;88962;695
18546;89400;438
18547;89652;252
18548;90153;501
18549;90694;541
18550;91402;708
18551;92044;642
18552;92670;626
18553;93098;428
18554;93408;310
18555;93895;487
18556;94515;620
18557;95134;619
18558;95868;734
18559;96599;731
18560;97095;496
18561;97503;408
18562;98146;643
18563;98877;731
18564;99674;797
18565;100450;776
18566;101327;877
18567;101943;616
18568;102431;488
18569;103309;878
18570;103928;619
18571;104964;1036
18572;106136;1172
18573;107439;1303
18574;108394;955
18575;109191;797
18576;110487;1296
18577;112011;1524
18578;113655;1644
18579;115360;1705
18580;117113;1753
18581;118611;1498
18582;119557;946
18583;121247;1690
18584;123477;2230
18585;125859;2382
18586;128285;2426
18587;130871;2586
18588;133034;2163
18589;134554;1520
18590;135786;1232
18591;137735;1949
18592;140225;2490
18593;142778;2553
18594;145457;2679
18595;147515;2058
18596;148962;1447
18597;150976;2014
18598;153432;2456
18599;155938;2506
18600;158387;2449
18601;160870;2483
18602;162917;2047
18603;164434;1517
18604;166592;2158
18605;169429;2837
18606;172406;2977
18607;175310;2904
18608;178272;2962
18609;180639;2367
18610;182311;1672
18611;184752;2441
18612;187751;2999
18613;190950;3199
18614;193753;2803
18615;196815;3062
18616;199270;2455
18617;201074;1804
18618;203732;2658
18619;207007;3275
18620;210769;3762
18621;214575;3806
18622;218467;3892
18623;221412;2945
18624;223786;2374
18625;227415;3629
18626;231271;3856
18627;235811;4540
18628;239068;3257
18629;242097;3029
18630;245293;3196
18631;248625;3332
18632;253571;4946
18633;259521;5950
18634;267084;7563
18635;274947;7863
18636;282737;7790
18637;288818;6081
18638;293746;4928
18639;298321;4575
18640;304140;5819
18641;310734;6594
18642;317871;7137
18643;324942;7071
18644;330715;5773
18645;335605;4890
18646;340989;5384
18647;346508;5519
18648;352129;5621
18649;357174;5045
18650;361928;4754
18651;365899;3971
18652;368684;2785
18653;372545;3861
18654;376482;3937
18655;380644;4162
18656;384180;3536
18657;387499;3319
18658;390166;2667
18659;391956;1790
18660;394269;2313
18661;396900;2631
18662;399492;2592
18663;401858;2366
18664;404128;2270
18665;405765;1637
18666;406992;1227
18667;408550;1558
18668;410434;1884
18669;412125;1691
18670;413441;1316
18671;414803;1362
18672;416154;1351
18673;417127;973
18674;418435;1308
18675;419896;1461
18676;421421;1525
18677;422718;1297
18678;423952;1234
18679;424988;1036
18680;425725;737
18681;426828;1103
18682;427732;904
18683;428816;1084
18684;429873;1057
18685;431093;1220
18686;432090;997
18687;432778;688
18688;433700;922
18689;434944;1244
18690;436093;1149
18691;437222;1129
18692;437634;412
18693;439356;1722
18694;439977;621
18695;441152;1175
18696;442411;1259
18697;443714;1303
18698;444977;1263
18699;446312;1335
18700;447287;975
18701;448000;713
18702;449142;1142
18703;450687;1545
18704;452147;1460
18705;453616;1469
18706;455212;1596
18707;456318;1106
18708;457104;786
18709;458621;1517
18710;460595;1974
18711;462506;1911
18712;464483;1977
18713;466563;2080
18714;468346;1783
18715;469636;1290
18716;471777;2141
18717;474641;2864
18718;477239;2598
18719;479953;2714
18720;482704;2751
18721;485226;2522
18722;486792;1566
18723;489407;2615
18724;492860;3453
18725;496351;3491
18726;499831;3480
18727;503537;3706
18728;506237;2700
18729;508350;2113
18730;511799;3449
18731;517281;5482
18732;521796;4515
18733;526307;4511
18734;531109;4802
18735;535220;4111
18736;537494;2274
18737;542467;4973
18738;547836;5369
18739;553362;5526
18740;558376;5014
18741;563998;5622
18742;568621;4623
18743;571904;3283
18744;576870;4966
18745;580666;3796
18746;588580;7914
18747;593264;4684
18748;599253;5989
18749;605150;5897
18750;609625;4475
18751;613822;4197
18752;617890;4068
18753;622273;4383
18754;628319;6046
18755;635568;7249
18756;642146;6578
18757;647003;4857
18758;653363;6360
18759;660884;7521
18760;667251;6367
18761;673539;6288
18762;679870;6331
18763;685135;5265
18764;688873;3738
18765;694077;5204
