condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;4;4
18335;6;2
18336;9;3
18337;10;1
18338;33;23
18339;35;2
18340;44;9
18341;49;5
18342;53;4
18343;61;8
18344;62;1
18345;72;10
18346;81;9
18347;111;30
18348;150;39
18349;228;78
18350;284;56
18351;302;18
18352;343;41
18353;380;37
18354;435;55
18355;464;29
18356;531;67
18357;584;53
18358;662;78
18359;697;35
18360;727;30
18361;781;54
18362;812;31
18363;865;53
18364;951;86
18365;1091;140
18366;1232;141
18367;1295;63
18368;1402;107
18369;1546;144
18370;1615;69
18371;1676;61
18372;1852;176
18373;1995;143
18374;2135;140
18375;2289;154
18376;2482;193
18377;2601;119
18378;2717;116
18379;2835;118
18380;3027;192
18381;3138;111
18382;3402;264
18383;3597;195
18384;3857;260
18385;3920;63
18386;4049;129
18387;4205;156
18388;4422;217
18389;4578;156
18390;4834;256
18391;4975;141
18392;5090;115
18393;5207;117
18394;5279;72
18395;5417;138
18396;5571;154
18397;5689;118
18398;5850;161
18399;6157;307
18400;6751;594
18401;6751;0
18402;6969;218
18403;7234;265
18404;7919;685
18405;7919;0
18406;8531;612
18407;8969;438
18408;8969;0
18409;9304;335
18410;9576;272
18411;9932;356
18412;10382;450
18413;10858;476
18414;11308;450
18415;11571;263
18416;12067;496
18417;12067;0
18418;12312;245
18419;12511;199
18420;12694;183
18421;12859;165
18422;13074;215
18423;13319;245
18424;13872;553
18425;13872;0
18426;14238;366
18427;14496;258
18428;15192;696
18429;15542;350
18430;15877;335
18431;15877;0
18432;16779;902
18433;17225;446
18434;17732;507
18435;18231;499
18436;18765;534
18437;19285;520
18438;19750;465
18439;20319;569
18440;20319;0
18441;21327;1008
18442;21819;492
18443;22308;489
18444;41065;18757
18445;42574;1509
18446;45719;3145
18447;47171;1452
18448;48574;1403
18449;49683;1109
18450;51059;1376
18451;51059;0
18452;54747;3688
18453;56455;1708
18454;58253;1798
18455;58253;0
18456;61755;3502
18457;63514;1759
18458;65188;1674
18459;66895;1707
18460;68703;1808
18461;68703;0
18462;71838;3135
18463;73468;1630
18464;75153;1685
18465;75153;0
18466;78486;3333
18467;80226;1740
18468;81720;1494
18469;83122;1402
18470;84648;1526
18471;86192;1544
18472;87664;1472
18473;89078;1414
18474;90367;1289
18475;90367;0
18476;96774;6407
18477;98641;1867
18478;100075;1434
18479;102936;2861
18480;105526;2590
18481;107930;2404
18482;109939;2009
18483;111822;1883
18484;112722;900
18485;113501;779
18486;115615;2114
18487;117104;1489
18488;118514;1410
18489;119781;1267
18490;121161;1380
18491;121639;478
18492;121973;334
18493;123325;1352
18494;124356;1031
18495;125335;979
18496;126243;908
18497;127203;960
18498;127462;259
18499;127462;0
18500;127462;0
18501;127664;202
18502;128618;954
18503;130040;1422
18504;130673;633
18505;130673;0
18506;131596;923
18507;131695;99
18508;132354;659
18509;132924;570
18510;133028;104
18511;133924;896
18512;134123;199
18513;134203;80
18514;134726;523
18515;135159;433
18516;135589;430
