condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;1;1
18335;1;0
18336;3;2
18337;3;0
18338;3;0
18339;3;0
18340;7;4
18341;7;0
18342;7;0
18343;15;8
18344;16;1
18345;25;9
18346;28;3
18347;31;3
18348;31;0
18349;38;7
18350;42;4
18351;50;8
18352;59;9
18353;81;22
18354;110;29
18355;122;12
18356;126;4
18357;142;16
18358;158;16
18359;172;14
18360;179;7
18361;184;5
18362;189;5
18363;191;2
18364;197;6
18365;208;11
18366;216;8
18367;225;9
18368;234;9
18369;246;12
18370;262;16
18371;270;8
18372;281;11
18373;296;15
18374;303;7
18375;320;17
18376;336;16
18377;343;7
18378;355;12
18379;363;8
18380;374;11
18381;384;10
18382;396;12
18383;411;15
18384;435;24
18385;465;30
18386;490;25
18387;535;45
18388;582;47
18389;607;25
18390;621;14
18391;649;28
18392;672;23
18393;700;28
18394;715;15
18395;737;22
18396;758;21
18397;781;23
18398;830;49
18399;887;57
18400;912;25
18401;963;51
18402;1029;66
18403;1109;80
18404;1161;52
18405;1192;31
18406;1214;22
18407;1286;72
18408;1348;62
18409;1471;123
18410;1618;147
18411;1745;127
18412;1888;143
18413;1962;74
18414;2021;59
18415;2093;72
18416;2216;123
18417;2340;124
18418;2474;134
18419;2600;126
18420;2767;167
18421;2872;105
18422;2989;117
18423;3094;105
18424;3215;121
18425;3305;90
18426;3457;152
18427;3594;137
18428;3727;133
18429;3860;133
18430;4044;184
18431;4257;213
18432;4374;117
18433;4478;104
18434;4738;260
18435;4797;59
18436;4952;155
18437;5206;254
18438;5384;178
18439;5533;149
18440;5811;278
18441;6070;259
18442;6190;120
18443;6366;176
18444;6673;307
18445;6941;268
18446;7188;247
18447;7577;389
18448;7886;309
18449;8067;181
18450;8250;183
18451;8528;278
18452;8975;447
18453;9448;473
18454;9726;278
18455;10105;379
18456;10294;189
18457;10791;497
18458;11252;461
18459;11673;421
18460;12062;389
18461;12750;688
18462;13353;603
18463;13771;418
18464;14168;397
18465;14805;637
18466;15601;796
18467;16268;667
18468;16643;375
18469;17603;960
18470;17975;372
18471;18581;606
18472;19125;544
18473;19913;788
18474;20636;723
18475;21363;727
18476;22053;690
18477;22597;544
18478;23202;605
18479;23873;671
18480;24411;538
18481;25138;727
18482;25837;699
18483;26436;599
18484;26928;492
18485;27425;497
18486;28104;679
18487;28754;650
18488;29334;580
18489;29849;515
18490;30120;271
18491;30365;245
18492;30636;271
18493;31015;379
18494;31441;426
18495;31763;322
18496;32118;355
18497;32364;246
18498;32557;193
18499;32803;246
18500;33016;213
18501;33389;373
18502;33630;241
18503;33794;164
18504;34057;263
18505;34201;144
18506;34315;114
18507;34493;178
18508;34705;212
18509;34884;179
18510;35020;136
18511;35103;83
18512;35205;102
18513;35356;151
18514;35460;104
18515;35603;143
18516;35793;190
18517;35969;176
18518;36157;188
18519;36205;48
18520;36301;96
18521;36301;0
18522;36576;275
18523;36724;148
18524;36829;105
18525;36981;152
18526;37079;98
