condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;3;3
18340;3;0
18341;6;3
18342;14;8
18343;14;0
18344;16;2
18345;42;26
18346;44;2
18347;44;0
18348;58;14
18349;58;0
18350;84;26
18351;94;10
18352;107;13
18353;111;4
18354;116;5
18355;130;14
18356;144;14
18357;147;3
18358;216;69
18359;228;12
18360;270;42
18361;280;10
18362;298;18
18363;339;41
18364;377;38
18365;419;42
18366;430;11
18367;449;19
18368;466;17
18369;489;23
18370;506;17
18371;554;48
18372;568;14
18373;590;22
18374;612;22
18375;631;19
18376;665;34
18377;665;0
18378;682;17
18379;695;13
18380;708;13
18381;729;21
18382;746;17
18383;756;10
18384;769;13
18385;795;26
18386;830;35
18387;843;13
18388;871;28
18389;895;24
18390;906;11
18391;931;25
18392;1002;71
18393;1016;14
18394;1037;21
18395;1044;7
18396;1082;38
18397;1111;29
18398;1117;6
18399;1138;21
18400;1216;78
18401;1243;27
18402;1270;27
18403;1313;43
18404;1350;37
18405;1365;15
18406;1403;38
18407;1433;30
18408;1468;35
18409;1520;52
18410;1594;74
18411;1662;68
18412;1722;60
18413;1748;26
18414;1817;69
18415;1845;28
18416;1871;26
18417;1899;28
18418;1936;37
18419;1974;38
18420;2007;33
18421;2032;25
18422;2055;23
18423;2093;38
18424;2166;73
18425;2166;0
18426;2207;41
18427;2285;78
18428;2472;187
18429;2562;90
18430;2657;95
18431;2657;0
18432;2789;132
18433;2981;192
18434;3356;375
18435;3356;0
18436;3726;370
18437;3954;228
18438;4204;250
18439;4446;242
18440;4513;67
18441;5017;504
18442;5296;279
18443;5506;210
18444;6261;755
18445;6767;506
18446;6878;111
18447;7094;216
18448;7377;283
18449;8141;764
18450;8279;138
18451;8847;568
18452;9358;511
18453;9910;552
18454;10410;500
18455;11117;707
18456;11444;327
18457;11444;0
18458;12282;838
18459;12498;216
18460;13101;603
18461;24606;11505
18462;27143;2537
18463;27143;0
18464;28251;1108
18465;28980;729
18466;31247;2267
18467;31247;0
18468;32124;877
18469;32813;689
18470;33296;483
18471;33844;548
18472;34592;748
18473;35223;631
18474;35805;582
18475;36299;494
18476;36719;420
18477;37129;410
18478;37541;412
18479;38110;569
18480;38659;549
18481;39162;503
18482;39571;409
18483;39919;348
18484;40085;166
18485;40455;370
18486;40759;304
18487;41069;310
18488;41373;304
18489;41645;272
18490;41856;211
18491;41991;135
18492;42146;155
18493;42325;179
18494;42507;182
18495;42703;196
18496;42889;186
18497;43023;134
18498;43126;103
18499;43245;119
18500;43358;113
18501;43459;101
18502;43587;128
18503;43712;125
18504;43820;108
18505;43898;78
18506;43958;60
18507;44036;78
18508;44135;99
18509;44199;64
18510;44293;94
18511;44403;110
18512;44458;55
18513;44487;29
18514;44613;126
18515;44684;71
18516;44761;77
18517;44828;67
18518;44881;53
18519;44928;47
18520;44999;71
18521;45072;73
18522;45153;81
18523;45244;91
18524;45335;91
