condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;1;1
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;2;1
18330;6;4
18331;8;2
18332;10;2
18333;10;0
18334;17;7
18335;26;9
18336;30;4
18337;34;4
18338;49;15
18339;71;22
18340;86;15
18341;111;25
18342;124;13
18343;139;15
18344;180;41
18345;197;17
18346;221;24
18347;244;23
18348;280;36
18349;305;25
18350;347;42
18351;376;29
18352;398;22
18353;446;48
18354;458;12
18355;493;35
18356;509;16
18357;533;24
18358;542;9
18359;548;6
18360;577;29
18361;589;12
18362;612;23
18363;630;18
18364;651;21
18365;655;4
18366;657;2
18367;666;9
18368;675;9
18369;682;7
18370;712;30
18371;727;15
18372;739;12
18373;748;9
18374;761;13
18375;778;17
18376;784;6
18377;804;20
18378;812;8
18379;818;6
18380;836;18
18381;849;13
18382;858;9
18383;870;12
18384;871;1
18385;879;8
18386;896;17
18387;896;0
18388;900;4
18389;909;9
18390;928;19
18391;930;2
18392;939;9
18393;946;7
18394;950;4
18395;951;1
18396;962;11
18397;970;8
18398;997;27
18399;1008;11
18400;1009;1
18401;1012;3
18402;1016;4
18403;1025;9
18404;1030;5
18405;1046;16
18406;1047;1
18407;1049;2
18408;1053;4
18409;1057;4
18410;1061;4
18411;1064;3
18412;1065;1
18413;1066;1
18414;1066;0
18415;1071;5
18416;1079;8
18417;1082;3
18418;1085;3
18419;1086;1
18420;1088;2
18421;1088;0
18422;1089;1
18423;1092;3
18424;1094;2
18425;1096;2
18426;1097;1
18427;1097;0
18428;1097;0
18429;1098;1
18430;1104;6
18431;1108;4
18432;1110;2
18433;1111;1
18434;1111;0
18435;1111;0
18436;1111;0
18437;1111;0
18438;1111;0
18439;1112;1
18440;1115;3
18441;1116;1
18442;1117;1
18443;1118;1
18444;1121;3
18445;1122;1
18446;1122;0
18447;1123;1
18448;1124;1
18449;1127;3
18450;1134;7
18451;1141;7
18452;1154;13
18453;1165;11
18454;1173;8
18455;1173;0
18456;1174;1
18457;1174;0
18458;1178;4
18459;1179;1
18460;1185;6
18461;1189;4
18462;1192;3
18463;1192;0
18464;1193;1
18465;1197;4
18466;1203;6
18467;1205;2
18468;1206;1
18469;1219;13
18470;1219;0
18471;1220;1
18472;1224;4
18473;1228;4
18474;1231;3
18475;1238;7
18476;1243;5
18477;1246;3
18478;1249;3
18479;1257;8
18480;1275;18
18481;1281;6
18482;1288;7
18483;1290;2
18484;1290;0
18485;1293;3
18486;1303;10
18487;1307;4
18488;1308;1
18489;1315;7
18490;1322;7
18491;1323;1
18492;1323;0
18493;1326;3
18494;1327;1
18495;1330;3
18496;1333;3
18497;1337;4
18498;1337;0
18499;1342;5
18500;1360;18
18501;1366;6
18502;1375;9
18503;1381;6
18504;1393;12
18505;1396;3
18506;1404;8
18507;1406;2
18508;1410;4
18509;1416;6
18510;1425;9
18511;1428;3
18512;1429;1
18513;1432;3
18514;1443;11
18515;1448;5
18516;1459;11
18517;1464;5
18518;1474;10
18519;1477;3
18520;1482;5
18521;1486;4
18522;1494;8
18523;1498;4
18524;1515;17
18525;1525;10
18526;1526;1
