condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;1;1
18346;1;0
18347;1;0
18348;1;0
18349;3;2
18350;8;5
18351;8;0
18352;10;2
18353;10;0
18354;11;1
18355;11;0
18356;18;7
18357;18;0
18358;19;1
18359;20;1
18360;21;1
18361;24;3
18362;24;0
18363;24;0
18364;25;1
18365;26;1
18366;35;9
18367;48;13
18368;49;1
18369;49;0
18370;49;0
18371;51;2
18372;51;0
18373;51;0
18374;59;8
18375;60;1
18376;61;1
18377;61;0
18378;61;0
18379;61;0
18380;61;0
18381;61;0
18382;61;0
18383;63;2
18384;63;0
18385;63;0
18386;63;0
18387;63;0
18388;64;1
18389;64;0
18390;64;0
18391;64;0
18392;64;0
18393;64;0
18394;64;0
18395;64;0
18396;64;0
18397;64;0
18398;65;1
18399;65;0
18400;65;0
18401;68;3
18402;69;1
18403;71;2
18404;72;1
18405;75;3
18406;75;0
18407;75;0
18408;77;2
18409;99;22
18410;105;6
18411;118;13
18412;130;12
18413;156;26
18414;168;12
18415;182;14
18416;196;14
18417;209;13
18418;239;30
18419;256;17
18420;256;0
18421;332;76
18422;359;27
18423;378;19
18424;393;15
18425;409;16
18426;418;9
18427;454;36
18428;467;13
18429;484;17
18430;500;16
18431;510;10
18432;520;10
18433;544;24
18434;571;27
18435;595;24
18436;639;44
18437;670;31
18438;698;28
18439;713;15
18440;727;14
18441;762;35
18442;802;40
18443;824;22
18444;874;50
18445;891;17
18446;918;27
18447;989;71
18448;1046;57
18449;1117;71
18450;1182;65
18451;1268;86
18452;1342;74
18453;1342;0
18454;1389;47
18455;1433;44
18456;1512;79
18457;1563;51
18458;1589;26
18459;1652;63
18460;1704;52
18461;1791;87
18462;1866;75
18463;1980;114
18464;2088;108
18465;2176;88
18466;2314;138
18467;2424;110
18468;2547;123
18469;2669;122
18470;2827;158
18471;3017;190
18472;3222;205
18473;3438;216
18474;3621;183
18475;3691;70
18476;3837;146
18477;4063;226
18478;4224;161
18479;4475;251
18480;4879;404
18481;5079;200
18482;5232;153
18483;5451;219
18484;5929;478
18485;6302;373
18486;6611;309
18487;7050;439
18488;7327;277
18489;7738;411
18490;8172;434
18491;8579;407
18492;9068;489
18493;9463;395
18494;9707;244
18495;10121;414
18496;10437;316
18497;10437;0
18498;11009;572
18499;11281;272
18500;11834;553
18501;12274;440
18502;12629;355
18503;12958;329
18504;13423;465
18505;13966;543
18506;14624;658
18507;15156;532
18508;15773;617
18509;16445;672
18510;17094;649
18511;17749;655
18512;18834;1085
18513;19583;749
18514;20462;879
18515;20939;477
18516;21908;969
18517;22348;440
18518;22781;433
18519;23515;734
18520;24144;629
18521;24936;792
18522;25822;886
18523;26438;616
18524;27234;796
18525;27949;715
18526;28796;847
18527;29446;650
18528;30097;651
18529;30632;535
18530;31290;658
18531;31828;538
18532;32364;536
