condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;0;0
18353;0;0
18354;3;3
18355;3;0
18356;4;1
18357;4;0
18358;5;1
18359;8;3
18360;8;0
18361;8;0
18362;9;1
18363;12;3
18364;13;1
18365;16;3
18366;16;0
18367;16;0
18368;16;0
18369;17;1
18370;17;0
18371;17;0
18372;17;0
18373;18;1
18374;23;5
18375;33;10
18376;33;0
18377;33;0
18378;34;1
18379;36;2
18380;36;0
18381;36;0
18382;37;1
18383;37;0
18384;38;1
18385;39;1
18386;41;2
18387;41;0
18388;43;2
18389;43;0
18390;43;0
18391;56;13
18392;56;0
18393;57;1
18394;57;0
18395;63;6
18396;63;0
18397;63;0
18398;65;2
18399;70;5
18400;70;0
18401;70;0
18402;71;1
18403;72;1
18404;82;10
18405;82;0
18406;83;1
18407;101;18
18408;101;0
18409;101;0
18410;203;102
18411;273;70
18412;279;6
18413;284;5
18414;336;52
18415;358;22
18416;369;11
18417;393;24
18418;409;16
18419;409;0
18420;438;29
18421;443;5
18422;455;12
18423;455;0
18424;481;26
18425;481;0
18426;529;48
18427;547;18
18428;555;8
18429;564;9
18430;572;8
18431;592;20
18432;620;28
18433;620;0
18434;730;110
18435;749;19
18436;803;54
18437;941;138
18438;960;19
18439;1005;45
18440;1038;33
18441;1146;108
18442;1152;6
18443;1224;72
18444;1265;41
18445;1342;77
18446;1498;156
18447;1613;115
18448;1613;0
18449;1742;129
18450;1818;76
18451;1864;46
18452;1942;78
18453;2069;127
18454;2261;192
18455;2364;103
18456;2430;66
18457;2497;67
18458;2614;117
18459;2712;98
18460;2805;93
18461;2810;5
18462;2907;97
18463;2992;85
18464;3045;53
18465;3302;257
18466;3302;0
18467;3453;151
18468;3453;0
18469;3640;187
18470;3664;24
18471;3709;45
18472;3738;29
18473;3858;120
18474;4078;220
18475;4186;108
18476;4231;45
18477;4272;41
18478;4361;89
18479;4426;65
18480;4491;65
18481;4575;84
18482;4624;49
18483;4658;34
18484;4674;16
18485;4714;40
18486;4752;38
18487;4912;160
18488;4988;76
18489;5026;38
18490;5072;46
18491;5125;53
18492;5193;68
18493;5240;47
18494;5282;42
18495;5322;40
18496;5382;60
18497;5414;32
18498;5419;5
18499;5423;4
18500;5474;51
18501;5496;22
18502;5523;27
18503;5528;5
18504;5536;8
18505;5566;30
18506;5576;10
18507;5579;3
18508;5593;14
18509;5608;15
18510;5611;3
18511;5614;3
18512;5621;7
18513;5630;9
18514;5653;23
18515;5655;2
18516;5669;14
18517;5678;9
18518;5690;12
18519;5697;7
18520;5701;4
18521;5704;3
18522;5711;7
18523;5716;5
18524;5718;2
18525;5731;13
18526;5733;2
18527;5739;6
18528;5746;7
18529;5747;1
18530;5764;17
18531;5766;2
