condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;3;3
18287;4;1
18288;4;0
18289;4;0
18290;7;3
18291;8;1
18292;8;0
18293;8;0
18294;8;0
18295;8;0
18296;10;2
18297;12;2
18298;12;0
18299;12;0
18300;16;4
18301;16;0
18302;18;2
18303;18;0
18304;18;0
18305;19;1
18306;19;0
18307;22;3
18308;22;0
18309;22;0
18310;22;0
18311;22;0
18312;22;0
18313;22;0
18314;22;0
18315;22;0
18316;22;0
18317;22;0
18318;22;0
18319;23;1
18320;23;0
18321;25;2
18322;29;4
18323;29;0
18324;36;7
18325;50;14
18326;50;0
18327;83;33
18328;93;10
18329;99;6
18330;117;18
18331;129;12
18332;149;20
18333;149;0
18334;197;48
18335;238;41
18336;428;190
18337;566;138
18338;673;107
18339;790;117
18340;900;110
18341;1030;130
18342;1183;153
18343;1306;123
18344;1518;212
18345;1624;106
18346;1796;172
18347;2031;235
18348;2161;130
18349;2320;159
18350;2470;150
18351;2626;156
18352;2766;140
18353;2908;142
18354;3116;208
18355;3333;217
18356;3483;150
18357;3662;179
18358;3793;131
18359;3963;170
18360;4119;156
18361;4228;109
18362;4346;118
18363;4530;184
18364;4683;153
18365;4817;134
18366;4987;170
18367;5072;85
18368;5182;110
18369;5251;69
18370;5305;54
18371;5389;84
18372;5425;36
18373;5482;57
18374;5532;50
18375;5603;71
18376;5691;88
18377;5742;51
18378;5780;38
18379;5820;40
18380;5851;31
18381;5945;94
18382;6002;57
18383;6071;69
18384;6176;105
18385;6298;122
18386;6353;55
18387;6383;30
18388;6428;45
18389;6467;39
18390;6535;68
18391;6589;54
18392;6656;67
18393;6726;70
18394;6742;16
18395;6779;37
18396;6819;40
18397;6855;36
18398;6872;17
18399;6894;22
18400;6941;47
18401;6978;37
18402;7009;31
18403;7059;50
18404;7137;78
18405;7185;48
18406;7245;60
18407;7417;172
18408;7604;187
18409;7619;15
18410;7629;10
18411;7732;103
18412;7762;30
18413;7819;57
18414;7857;38
18415;7877;20
18416;7970;93
18417;8247;277
18418;8266;19
18419;8303;37
18420;8322;19
18421;8329;7
18422;8336;7
18423;8338;2
18424;8369;31
18425;8402;33
18426;8445;43
18427;8453;8
18428;8494;41
18429;8505;11
18430;8515;10
18431;8529;14
18432;8535;6
18433;8556;21
18434;8572;16
18435;8587;15
18436;8590;3
18437;8596;6
18438;8600;4
18439;8606;6
18440;8616;10
18441;8634;18
18442;8637;3
18443;8639;2
18444;8640;1
18445;8643;3
18446;8648;5
18447;8658;10
18448;8663;5
18449;8668;5
18450;8674;6
18451;8677;3
18452;8683;6
18453;8696;13
18454;8704;8
18455;8718;14
18456;8725;7
18457;8729;4
18458;8734;5
18459;8737;3
18460;8755;18
18461;8764;9
18462;8779;15
18463;8800;21
18464;8815;15
18465;8831;16
18466;8840;9
18467;8861;21
18468;8884;23
18469;8897;13
18470;8904;7
18471;8943;39
18472;8956;13
18473;8964;8
18474;8976;12
18475;8985;9
18476;8999;14
18477;9001;2
18478;9002;1
18479;9023;21
18480;9038;15
18481;9063;25
18482;9070;7
18483;9083;13
18484;9094;11
18485;9103;9
18486;9114;11
18487;9129;15
18488;9149;20
18489;9175;26
18490;9200;25
18491;9212;12
18492;9219;7
18493;9235;16
18494;9240;5
18495;9249;9
18496;9257;8
18497;9267;10
18498;9274;7
18499;9285;11
18500;9291;6
18501;9296;5
18502;9306;10
18503;9317;11
18504;9334;17
18505;9340;6
18506;9354;14
18507;9360;6
18508;9374;14
18509;9385;11
18510;9391;6
18511;9397;6
18512;9459;62
18513;9559;100
18514;9583;24
18515;9628;45
18516;9810;182
18517;9868;58
18518;9915;47
18519;9946;31
