condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;4;4
18330;4;0
18331;6;2
18332;8;2
18333;8;0
18334;9;1
18335;10;1
18336;13;3
18337;13;0
18338;13;0
18339;13;0
18340;13;0
18341;13;0
18342;13;0
18343;13;0
18344;13;0
18345;13;0
18346;13;0
18347;13;0
18348;16;3
18349;16;0
18350;17;1
18351;17;0
18352;18;1
18353;19;1
18354;19;0
18355;19;0
18356;19;0
18357;19;0
18358;19;0
18359;19;0
18360;19;0
18361;19;0
18362;19;0
18363;19;0
18364;20;1
18365;20;0
18366;20;0
18367;22;2
18368;25;3
18369;28;3
18370;35;7
18371;52;17
18372;69;17
18373;83;14
18374;86;3
18375;108;22
18376;129;21
18377;177;48
18378;214;37
18379;226;12
18380;250;24
18381;278;28
18382;468;190
18383;491;23
18384;519;28
18385;527;8
18386;541;14
18387;573;32
18388;617;44
18389;648;31
18390;744;96
18391;790;46
18392;835;45
18393;897;62
18394;904;7
18395;955;51
18396;982;27
18397;1031;49
18398;1078;47
18399;1094;16
18400;1106;12
18401;1143;37
18402;1186;43
18403;1216;30
18404;1274;58
18405;1313;39
18406;1371;58
18407;1395;24
18408;1438;43
18409;1457;19
18410;1513;56
18411;1591;78
18412;1672;81
18413;1773;101
18414;1829;56
18415;1841;12
18416;1850;9
18417;1872;22
18418;1883;11
18419;1901;18
18420;1903;2
18421;1916;13
18422;1942;26
18423;1962;20
18424;1976;14
18425;2003;27
18426;2013;10
18427;2035;22
18428;2065;30
18429;2094;29
18430;2120;26
18431;2137;17
18432;2150;13
18433;2187;37
18434;2203;16
18435;2217;14
18436;2238;21
18437;2261;23
18438;2277;16
18439;2283;6
18440;2305;22
18441;2324;19
18442;2337;13
18443;2361;24
18444;2382;21
18445;2400;18
18446;2410;10
18447;2435;25
18448;2468;33
18449;2491;23
18450;2501;10
18451;2517;16
18452;2553;36
18453;2617;64
18454;2664;47
18455;2731;67
18456;2762;31
18457;2801;39
18458;2831;30
18459;2899;68
18460;2913;14
18461;2930;17
18462;2966;36
18463;2999;33
18464;3044;45
18465;3103;59
18466;3120;17
18467;3175;55
18468;3252;77
18469;3302;50
18470;3369;67
18471;3506;137
18472;3567;61
18473;3719;152
18474;3793;74
18475;3949;156
18476;4164;215
18477;4293;129
18478;4446;153
18479;4594;148
18480;4680;86
18481;4769;89
18482;4898;129
18483;5041;143
18484;5157;116
18485;5223;66
18486;5366;143
18487;5494;128
18488;5572;78
18489;5679;107
18490;5785;106
18491;5909;124
18492;6079;170
18493;6225;146
18494;6370;145
18495;6564;194
18496;6660;96
18497;6779;119
18498;6912;133
18499;7047;135
18500;7225;178
18501;7329;104
18502;7469;140
18503;7578;109
18504;7667;89
18505;7804;137
18506;8003;199
18507;8140;137
18508;8281;141
18509;8361;80
18510;8486;125
18511;8584;98
18512;8667;83
18513;8741;74
18514;8834;93
18515;8900;66
18516;8990;90
18517;9052;62
18518;9173;121
18519;9243;70
18520;9328;85
18521;9427;99
18522;9494;67
18523;9568;74
18524;9649;81
18525;9724;75
18526;9770;46
