condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;2;2
18347;4;2
18348;11;7
18349;18;7
18350;18;0
18351;25;7
18352;28;3
18353;31;3
18354;36;5
18355;39;3
18356;41;2
18357;45;4
18358;47;2
18359;56;9
18360;59;3
18361;74;15
18362;87;13
18363;87;0
18364;105;18
18365;123;18
18366;144;21
18367;148;4
18368;171;23
18369;171;0
18370;216;45
18371;224;8
18372;246;22
18373;258;12
18374;293;35
18375;309;16
18376;325;16
18377;370;45
18378;389;19
18379;408;19
18380;424;16
18381;482;58
18382;490;8
18383;508;18
18384;544;36
18385;563;19
18386;580;17
18387;612;32
18388;631;19
18389;650;19
18390;668;18
18391;692;24
18392;704;12
18393;712;8
18394;730;18
18395;758;28
18396;779;21
18397;806;27
18398;835;29
18399;860;25
18400;874;14
18401;901;27
18402;931;30
18403;947;16
18404;969;22
18405;1015;46
18406;1030;15
18407;1059;29
18408;1077;18
18409;1116;39
18410;1194;78
18411;1226;32
18412;1250;24
18413;1265;15
18414;1315;50
18415;1351;36
18416;1386;35
18417;1461;75
18418;1485;24
18419;1523;38
18420;1533;10
18421;1547;14
18422;1586;39
18423;1667;81
18424;1722;55
18425;1752;30
18426;1776;24
18427;1809;33
18428;1860;51
18429;1885;25
18430;1890;5
18431;1906;16
18432;1923;17
18433;1933;10
18434;1933;0
18435;1961;28
18436;1978;17
18437;2005;27
18438;2039;34
18439;2060;21
18440;2118;58
18441;2147;29
18442;2173;26
18443;2181;8
18444;2202;21
18445;2260;58
18446;2285;25
18447;2303;18
18448;2330;27
18449;2331;1
18450;2348;17
18451;2358;10
18452;2370;12
18453;2404;34
18454;2406;2
18455;2411;5
18456;2412;1
18457;2423;11
18458;2433;10
18459;2440;7
18460;2467;27
18461;2472;5
18462;2475;3
18463;2475;0
18464;2477;2
18465;2494;17
18466;2494;0
18467;2503;9
18468;2503;0
18469;2510;7
18470;2513;3
18471;2520;7
18472;2521;1
18473;2522;1
18474;2535;13
18475;2535;0
18476;2541;6
18477;2543;2
18478;2543;0
18479;2546;3
18480;2552;6
18481;2561;9
18482;2565;4
18483;2567;2
18484;2573;6
18485;2577;4
18486;2582;5
18487;2597;15
18488;2597;0
18489;2614;17
18490;2640;26
18491;2640;0
18492;2666;26
18493;2667;1
18494;2667;0
18495;2688;21
18496;2699;11
18497;2705;6
18498;2708;3
18499;2713;5
18500;2717;4
18501;2730;13
18502;2736;6
18503;2757;21
18504;2773;16
18505;2776;3
18506;2777;1
18507;2802;25
18508;2807;5
18509;2814;7
18510;2833;19
18511;2842;9
18512;2870;28
18513;2882;12
18514;2898;16
18515;2909;11
18516;2912;3
18517;2916;4
18518;2924;8
18519;2935;11
18520;2940;5
18521;2966;26
18522;2966;0
18523;2991;25
18524;3006;15
18525;3013;7
18526;3024;11
18527;3030;6
