condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;3;3
18340;3;0
18341;12;9
18342;14;2
18343;28;14
18344;36;8
18345;42;6
18346;48;6
18347;81;33
18348;94;13
18349;102;8
18350;107;5
18351;128;21
18352;143;15
18353;161;18
18354;169;8
18355;186;17
18356;196;10
18357;227;31
18358;244;17
18359;268;24
18360;273;5
18361;314;41
18362;318;4
18363;319;1
18364;324;5
18365;324;0
18366;324;0
18367;324;0
18368;324;0
18369;324;0
18370;325;1
18371;328;3
18372;328;0
18373;328;0
18374;329;1
18375;331;2
18376;331;0
18377;331;0
18378;332;1
18379;334;2
18380;334;0
18381;332;-2
18382;332;0
18383;332;0
18384;332;0
18385;332;0
18386;332;0
18387;332;0
18388;332;0
18389;332;0
18390;332;0
18391;332;0
18392;332;0
18393;332;0
18394;332;0
18395;332;0
18396;332;0
18397;332;0
18398;332;0
18399;332;0
18400;332;0
18401;332;0
18402;332;0
18403;332;0
18404;332;0
18405;332;0
18406;334;2
18407;334;0
18408;334;0
18409;334;0
18410;334;0
18411;335;1
18412;335;0
18413;335;0
18414;335;0
18415;335;0
18416;335;0
18417;335;0
18418;337;2
18419;337;0
18420;337;0
18421;337;0
18422;337;0
18423;337;0
18424;337;0
18425;337;0
18426;337;0
18427;337;0
18428;337;0
18429;337;0
18430;337;0
18431;337;0
18432;337;0
18433;337;0
18434;337;0
18435;340;3
18436;340;0
18437;341;1
18438;341;0
18439;341;0
18440;341;0
18441;341;0
18442;341;0
18443;341;0
18444;341;0
18445;341;0
18446;341;0
18447;341;0
18448;341;0
18449;342;1
18450;342;0
18451;342;0
18452;342;0
18453;342;0
18454;342;0
18455;342;0
18456;342;0
18457;342;0
18458;343;1
18459;343;0
18460;343;0
18461;343;0
18462;343;0
18463;343;0
18464;343;0
18465;343;0
18466;343;0
18467;344;1
18468;344;0
18469;344;0
18470;344;0
18471;344;0
18472;344;0
18473;344;0
18474;344;0
18475;344;0
18476;344;0
18477;344;0
18478;344;0
18479;344;0
18480;344;0
18481;344;0
18482;344;0
18483;344;0
18484;344;0
18485;344;0
18486;344;0
18487;344;0
18488;345;1
18489;346;1
18490;346;0
18491;346;0
18492;346;0
18493;346;0
18494;346;0
18495;346;0
18496;346;0
18497;346;0
18498;347;1
18499;348;1
18500;348;0
18501;355;7
18502;355;0
18503;355;0
18504;355;0
18505;356;1
18506;356;0
18507;356;0
18508;356;0
18509;356;0
18510;356;0
18511;356;0
18512;356;0
18513;361;5
18514;361;0
18515;361;0
18516;361;0
18517;361;0
18518;361;0
18519;361;0
18520;365;4
18521;365;0
18522;366;1
18523;366;0
18524;366;0
18525;366;0
18526;366;0
18527;367;1
18528;367;0
18529;367;0
18530;367;0
18531;367;0
18532;367;0
18533;367;0
18534;367;0
18535;381;14
18536;381;0
18537;385;4
18538;385;0
18539;385;0
18540;387;2
18541;395;8
18542;395;0
18543;395;0
18544;395;0
