condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;1;1
18330;1;0
18331;3;2
18332;3;0
18333;3;0
18334;6;3
18335;12;6
18336;23;11
18337;23;0
18338;30;7
18339;30;0
18340;49;19
18341;66;17
18342;80;14
18343;94;14
18344;109;15
18345;125;16
18346;149;24
18347;177;28
18348;199;22
18349;231;32
18350;263;32
18351;298;35
18352;353;55
18353;423;70
18354;505;82
18355;591;86
18356;752;161
18357;864;112
18358;965;101
18359;1056;91
18360;1174;118
18361;1289;115
18362;1438;149
18363;1560;122
18364;1662;102
18365;1712;50
18366;1934;222
18367;2049;115
18368;2154;105
18369;2264;110
18370;2378;114
18371;2472;94
18372;2548;76
18373;2614;66
18374;2778;164
18375;2926;148
18376;3110;184
18377;3304;194
18378;3408;104
18379;3481;73
18380;3638;157
18381;3771;133
18382;3897;126
18383;3980;83
18384;4052;72
18385;4121;69
18386;4248;127
18387;4363;115
18388;4476;113
18389;4605;129
18390;4728;123
18391;4867;139
18392;4927;60
18393;4995;68
18394;5154;159
18395;5406;252
18396;5553;147
18397;5745;192
18398;5934;189
18399;6060;126
18400;6138;78
18401;6340;202
18402;6553;213
18403;6704;151
18404;6847;143
18405;6994;147
18406;7093;99
18407;7147;54
18408;7305;158
18409;7537;232
18410;7725;188
18411;7896;171
18412;8098;202
18413;8251;153
18414;8360;109
18415;8548;188
18416;8795;247
18417;9018;223
18418;9247;229
18419;9511;264
18420;9700;189
18421;9807;107
18422;10025;218
18423;10321;296
18424;10727;406
18425;11093;366
18426;11459;366
18427;11740;281
18428;11879;139
18429;12254;375
18430;12732;478
18431;13106;374
18432;13556;450
18433;13953;397
18434;14200;247
18435;14363;163
18436;14714;351
18437;15078;364
18438;15453;375
18439;15776;323
18440;16080;304
18441;16250;170
18442;16357;107
18443;16613;256
18444;16898;285
18445;17150;252
18446;17445;295
18447;17672;227
18448;17814;142
18449;17906;92
18450;18141;235
18451;18471;330
18452;18666;195
18453;18924;258
18454;19208;284
18455;19382;174
18456;19439;57
18457;19708;269
18458;20040;332
18459;20264;224
18460;20494;230
18461;20794;300
18462;20980;186
18463;21115;135
18464;21442;327
18465;21798;356
18466;22105;307
18467;22483;378
18468;22828;345
18469;23034;206
18470;23154;120
18471;23521;367
18472;23947;426
18473;24343;396
18474;24733;390
18475;25113;380
18476;25362;249
18477;25482;120
18478;25814;332
18479;26222;408
18480;26628;406
18481;26990;362
18482;27443;453
18483;27660;217
18484;27841;181
18485;28223;382
18486;28697;474
18487;29087;390
18488;29483;396
18489;29905;422
18490;30183;278
18491;30377;194
18492;30789;412
18493;31415;626
18494;31937;522
18495;32484;547
18496;33072;588
18497;33478;406
18498;33828;350
18499;34358;530
18500;34982;624
18501;35546;564
18502;35904;358
18503;36404;500
18504;36700;296
18505;36920;220
18506;37208;288
18507;37740;532
18508;38372;632
18509;38906;534
18510;39473;567
18511;39797;324
18512;40055;258
18513;40556;501
18514;41144;588
18515;41704;560
18516;42183;479
18517;42714;531
18518;42978;264
18519;43207;229
18520;43734;527
18521;44361;627
