condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;1;1
18324;1;0
18325;1;0
18326;2;1
18327;2;0
18328;2;0
18329;2;0
18330;2;0
18331;3;1
18332;5;2
18333;6;1
18334;7;1
18335;17;10
18336;28;11
18337;29;1
18338;38;9
18339;49;11
18340;63;14
18341;77;14
18342;96;19
18343;115;19
18344;143;28
18345;170;27
18346;225;55
18347;275;50
18348;345;70
18349;402;57
18350;479;77
18351;556;77
18352;617;61
18353;654;37
18354;708;54
18355;791;83
18356;919;128
18357;1021;102
18358;1120;99
18359;1184;64
18360;1275;91
18361;1374;99
18362;1448;74
18363;1545;97
18364;1661;116
18365;1763;102
18366;1888;125
18367;2024;136
18368;2283;259
18369;2564;281
18370;2685;121
18371;2855;170
18372;3046;191
18373;3209;163
18374;3446;237
18375;3568;122
18376;3758;190
18377;3897;139
18378;4065;168
18379;4120;55
18380;4252;132
18381;4321;69
18382;4423;102
18383;4569;146
18384;4729;160
18385;4903;174
18386;5053;150
18387;5219;166
18388;5408;189
18389;5548;140
18390;5711;163
18391;5910;199
18392;6063;153
18393;6281;218
18394;6418;137
18395;6512;94
18396;6607;95
18397;6652;45
18398;6741;89
18399;6870;129
18400;6952;82
18401;7023;71
18402;7133;110
18403;7211;78
18404;7332;121
18405;7406;74
18406;7433;27
18407;7532;99
18408;7577;45
18409;7601;24
18410;7643;42
18411;7714;71
18412;7780;66
18413;7807;27
18414;7833;26
18415;7866;33
18416;7922;56
18417;8003;81
18418;8071;68
18419;8151;80
18420;8224;73
18421;8302;78
18422;8437;135
18423;8508;71
18424;8537;29
18425;8610;73
18426;8692;82
18427;8793;101
18428;8885;92
18429;8931;46
18430;8997;66
18431;9074;77
18432;9613;539
18433;9839;226
18434;9977;138
18435;10172;195
18436;10344;172
18437;10907;563
18438;11338;431
18439;11633;295
18440;11877;244
18441;12052;175
18442;12290;238
18443;12533;243
18444;12636;103
18445;12969;333
18446;13288;319
18447;13822;534
18448;14215;393
18449;14379;164
18450;14607;228
18451;14771;164
18452;15079;308
18453;15328;249
18454;15542;214
18455;15745;203
18456;15936;191
18457;16097;161
18458;16262;165
18459;16545;283
18460;16726;181
18461;17015;289
18462;17236;221
18463;17562;326
18464;17742;180
18465;17962;220
18466;18264;302
18467;18834;570
18468;19645;811
18469;20278;633
18470;20887;609
18471;21387;500
18472;22213;826
18473;23259;1046
18474;24322;1063
18475;25015;693
18476;25537;522
18477;26196;659
18478;27217;1021
18479;28500;1283
18480;29644;1144
18481;30662;1018
18482;32007;1345
18483;33237;1230
18484;34063;826
18485;35195;1132
18486;36694;1499
18487;37935;1241
18488;39241;1306
18489;41017;1776
18490;42489;1472
18491;43558;1069
18492;44803;1245
18493;46313;1510
18494;47638;1325
18495;49247;1609
18496;50812;1565
18497;52349;1537
18498;53252;903
18499;54528;1276
18500;55864;1336
18501;57085;1221
18502;58489;1404
18503;60056;1567
18504;61399;1343
18505;62590;1191
18506;63781;1191
18507;65453;1672
18508;66855;1402
18509;68605;1750
18510;70160;1555
18511;72394;2234
18512;73780;1386
18513;75721;1941
18514;77878;2157
18515;79767;1889
18516;82197;2430
