condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;1;1
18341;1;0
18342;2;1
18343;2;0
18344;2;0
18345;2;0
18346;2;0
18347;2;0
18348;2;0
18349;4;2
18350;4;0
18351;4;0
18352;5;1
18353;5;0
18354;5;0
18355;5;0
18356;5;0
18357;6;1
18358;6;0
18359;6;0
18360;6;0
18361;7;1
18362;7;0
18363;8;1
18364;9;1
18365;9;0
18366;9;0
18367;9;0
18368;9;0
18369;9;0
18370;9;0
18371;10;1
18372;10;0
18373;10;0
18374;10;0
18375;11;1
18376;11;0
18377;12;1
18378;13;1
18379;13;0
18380;13;0
18381;13;0
18382;14;1
18383;14;0
18384;14;0
18385;15;1
18386;15;0
18387;16;1
18388;16;0
18389;16;0
18390;16;0
18391;16;0
18392;16;0
18393;16;0
18394;25;9
18395;25;0
18396;25;0
18397;25;0
18398;25;0
18399;25;0
18400;25;0
18401;254;229
18402;254;0
18403;279;25
18404;279;0
18405;279;0
18406;279;0
18407;279;0
18408;759;480
18409;759;0
18410;759;0
18411;759;0
18412;759;0
18413;759;0
18414;759;0
18415;1118;359
18416;1118;0
18417;1118;0
18418;1118;0
18419;1118;0
18420;1118;0
18421;1118;0
18422;1464;346
18423;1464;0
18424;1464;0
18425;1464;0
18426;1464;0
18427;1464;0
18428;1464;0
18429;1823;359
18430;1823;0
18431;1823;0
18432;1823;0
18433;1823;0
18434;1823;0
18435;1823;0
18436;2170;347
18437;2170;0
18438;2170;0
18439;2170;0
18440;2170;0
18441;2170;0
18442;2170;0
18443;2519;349
18444;2519;0
18445;2519;0
18446;2519;0
18447;2519;0
18448;2519;0
18449;2519;0
18450;2846;327
18451;2846;0
18452;2846;0
18453;2846;0
18454;2846;0
18455;2846;0
18456;2846;0
18457;3147;301
18458;3147;0
18459;3147;0
18460;3147;0
18461;3147;0
18462;3147;0
18463;3147;0
18464;3439;292
18465;3439;0
18466;3439;0
18467;3439;0
18468;3439;0
18469;3439;0
18470;3439;0
18471;3672;233
18472;3672;0
18473;3672;0
18474;3672;0
18475;3672;0
18476;3672;0
18477;3672;0
18478;3902;230
18479;3902;0
18480;3902;0
18481;3902;0
18482;3902;0
18483;3902;0
18484;3902;0
18485;4115;213
18486;4115;0
18487;4115;0
18488;4115;0
18489;4115;0
18490;4115;0
18491;4115;0
18492;4311;196
18493;4311;0
18494;4311;0
18495;4311;0
18496;4311;0
18497;4311;0
18498;4311;0
18499;4494;183
18500;4494;0
18501;4494;0
18502;4494;0
18503;4494;0
18504;4494;0
18505;4494;0
18506;4668;174
18507;4668;0
18508;4668;0
18509;4668;0
18510;4668;0
18511;4668;0
18512;4668;0
18513;4818;150
18514;4818;0
18515;4818;0
18516;4818;0
18517;4818;0
18518;4818;0
18519;4818;0
18520;4961;143
18521;4961;0
18522;4961;0
18523;4961;0
18524;4961;0
18525;4961;0
18526;4961;0
18527;5073;112
18528;5073;0
