condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;1;1
18321;1;0
18322;1;0
18323;1;0
18324;1;0
18325;1;0
18326;1;0
18327;1;0
18328;1;0
18329;1;0
18330;2;1
18331;2;0
18332;2;0
18333;2;0
18334;2;0
18335;2;0
18336;2;0
18337;2;0
18338;3;1
18339;8;5
18340;8;0
18341;12;4
18342;22;10
18343;30;8
18344;40;10
18345;44;4
18346;51;7
18347;65;14
18348;70;5
18349;89;19
18350;111;22
18351;131;20
18352;135;4
18353;174;39
18354;184;10
18355;210;26
18356;214;4
18357;232;18
18358;238;6
18359;254;16
18360;276;22
18361;288;12
18362;305;17
18363;318;13
18364;323;5
18365;343;20
18366;373;30
18367;407;34
18368;442;35
18369;493;51
18370;542;49
18371;627;85
18372;665;38
18373;665;0
18374;873;208
18375;981;108
18376;1095;114
18377;1182;87
18378;1273;91
18379;1337;64
18380;1532;195
18381;1728;196
18382;1932;204
18383;2170;238
18384;2388;218
18385;2558;170
18386;2802;244
18387;2950;148
18388;3145;195
18389;3526;381
18390;3912;386
18391;4151;239
18392;4399;248
18393;4641;242
18394;4787;146
18395;4971;184
18396;5162;191
18397;5450;288
18398;5621;171
18399;5959;338
18400;6175;216
18401;6401;226
18402;6677;276
18403;7016;339
18404;7261;245
18405;7526;265
18406;7839;313
18407;8068;229
18408;8344;276
18409;8733;389
18410;8915;182
18411;9302;387
18412;9855;553
18413;10162;307
18414;10578;416
18415;10819;241
18416;11166;347
18417;11516;350
18418;11844;328
18419;12233;389
18420;12486;253
18421;12801;315
18422;13464;663
18423;13873;409
18424;14554;681
18425;15181;627
18426;15682;501
18427;16085;403
18428;16658;573
18429;17148;490
18430;17735;587
18431;18480;745
18432;19147;667
18433;19808;661
18434;20244;436
18435;20919;675
18436;21371;452
18437;22020;649
18438;22614;594
18439;23298;684
18440;24077;779
18441;24567;490
18442;25133;566
18443;25694;561
18444;26484;790
18445;27110;626
18446;27564;454
18447;28167;603
18448;28711;544
18449;29286;575
18450;29789;503
18451;30249;460
18452;30748;499
18453;31323;575
18454;31987;664
18455;32558;571
18456;33153;595
18457;33616;463
18458;34259;643
18459;34854;595
18460;35454;600
18461;36107;653
18462;36663;556
18463;37225;562
18464;37801;576
18465;38344;543
18466;38948;604
18467;39539;591
18468;39977;438
18469;40532;555
18470;41180;648
18471;41804;624
18472;42208;404
18473;42689;481
18474;43151;462
18475;43537;386
18476;43841;304
18477;44129;288
18478;44433;304
18479;44890;457
18480;45244;354
18481;45687;443
18482;46140;453
18483;46577;437
18484;46867;290
18485;47290;423
18486;47743;453
18487;48116;373
18488;48445;329
18489;48770;325
18490;49068;298
18491;49485;417
18492;49895;410
18493;50488;593
18494;50964;476
18495;51304;340
18496;51905;601
18497;52227;322
18498;52548;321
18499;52800;252
18500;53021;221
18501;53317;296
18502;53477;160
18503;53727;250
18504;53865;138
18505;54008;143
18506;54247;239
18507;54463;216
18508;54588;125
18509;54743;155
18510;54905;162
18511;55005;100
18512;55160;155
18513;55456;296
18514;55632;176
18515;55829;197
18516;56017;188
18517;56177;160
18518;56256;79
18519;56388;132
18520;56478;90
18521;56604;126
18522;56735;131
18523;56956;221
