condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;1;1
18319;1;0
18320;6;5
18321;15;9
18322;19;4
18323;25;6
18324;32;7
18325;56;24
18326;87;31
18327;108;21
18328;147;39
18329;176;29
18330;205;29
18331;400;195
18332;598;198
18333;702;104
18334;996;294
18335;1090;94
18336;1221;131
18337;1333;112
18338;1463;130
18339;1550;87
18340;1746;196
18341;1914;168
18342;2118;204
18343;2385;267
18344;2621;236
18345;2863;242
18346;3084;221
18347;3369;285
18348;3755;386
18349;4015;260
18350;4284;269
18351;4445;161
18352;4641;196
18353;4863;222
18354;5147;284
18355;5370;223
18356;5550;180
18357;5687;137
18358;5865;178
18359;6086;221
18360;6086;0
18361;6211;125
18362;6314;103
18363;6409;95
18364;6525;116
18365;6603;78
18366;6623;20
18367;6740;117
18368;6896;156
18369;6937;41
18370;7036;99
18371;7078;42
18372;7156;78
18373;7191;35
18374;7338;147
18375;7401;63
18376;7463;62
18377;7499;36
18378;7527;28
18379;7599;72
18380;7660;61
18381;7710;50
18382;7738;28
18383;7783;45
18384;7809;26
18385;7847;38
18386;7904;57
18387;7955;51
18388;7996;41
18389;8034;38
18390;8070;36
18391;8099;29
18392;8105;6
18393;8132;27
18394;8157;25
18395;8175;18
18396;8196;21
18397;8219;23
18398;8237;18
18399;8249;12
18400;8257;8
18401;8267;10
18402;8281;14
18403;8309;28
18404;8332;23
18405;8346;14
18406;8352;6
18407;8364;12
18408;8383;19
18409;8401;18
18410;8411;10
18411;8422;11
18412;8437;15
18413;8440;3
18414;8446;6
18415;8455;9
18416;8477;22
18417;8504;27
18418;8522;18
18419;8531;9
18420;8547;16
18421;8561;14
18422;8576;15
18423;8594;18
18424;8608;14
18425;8620;12
18426;8628;8
18427;8631;3
18428;8647;16
18429;8660;13
18430;8692;32
18431;8708;16
18432;8726;18
18433;8742;16
18434;8745;3
18435;8751;6
18436;8772;21
18437;8788;16
18438;8788;0
18439;8832;44
18440;8846;14
18441;8855;9
18442;8862;7
18443;8879;17
18444;8896;17
18445;8902;6
18446;8921;19
18447;8926;5
18448;8930;4
18449;8936;6
18450;8947;11
18451;8950;3
18452;8965;15
18453;8974;9
18454;8977;3
18455;8981;4
18456;8984;3
18457;9001;17
18458;9011;10
18459;9015;4
18460;9025;10
18461;9028;3
18462;9028;0
18463;9034;6
18464;9053;19
18465;9059;6
18466;9085;26
18467;9092;7
18468;9111;19
18469;9117;6
18470;9132;15
18471;9150;18
18472;9172;22
18473;9208;36
18474;9240;32
18475;9253;13
18476;9268;15
18477;9334;66
18478;9362;28
18479;9409;47
18480;9468;59
18481;9551;83
18482;9599;48
18483;9638;39
18484;9684;46
18485;9751;67
18486;9783;32
18487;9851;68
18488;9908;57
18489;9965;57
18490;10005;40
18491;10060;55
18492;10111;51
18493;10162;51
18494;10197;35
18495;10275;78
18496;10299;24
18497;10323;24
18498;10395;72
18499;10454;59
18500;10504;50
18501;10542;38
18502;10582;40
18503;10611;29
18504;10643;32
18505;10782;139
18506;10871;89
18507;11034;163
18508;11120;86
18509;11231;111
18510;11296;65
18511;11388;92
18512;11521;133
18513;11623;102
18514;11746;123
18515;11867;121
18516;12003;136
18517;12079;76
18518;12154;75
