condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;2;2
18317;2;0
18318;4;2
18319;4;0
18320;4;0
18321;6;2
18322;6;0
18323;6;0
18324;12;6
18325;15;3
18326;16;1
18327;16;0
18328;16;0
18329;16;0
18330;16;0
18331;18;2
18332;18;0
18333;18;0
18334;19;1
18335;19;0
18336;22;3
18337;22;0
18338;24;2
18339;39;15
18340;48;9
18341;48;0
18342;52;4
18343;55;3
18344;66;11
18345;84;18
18346;99;15
18347;109;10
18348;131;22
18349;152;21
18350;167;15
18351;179;12
18352;192;13
18353;210;18
18354;231;21
18355;252;21
18356;277;25
18357;298;21
18358;331;33
18359;371;40
18360;419;48
18361;457;38
18362;484;27
18363;546;62
18364;599;53
18365;727;128
18366;813;86
18367;910;97
18368;1019;109
18369;1069;50
18370;1180;111
18371;1266;86
18372;1410;144
18373;1508;98
18374;1614;106
18375;1716;102
18376;1790;74
18377;1905;115
18378;1998;93
18379;2049;51
18380;2131;82
18381;2274;143
18382;2348;74
18383;2447;99
18384;2483;36
18385;2568;85
18386;2637;69
18387;2735;98
18388;2903;168
18389;2958;55
18390;3112;154
18391;3224;112
18392;3399;175
18393;3573;174
18394;3721;148
18395;4019;298
18396;4341;322
18397;4625;284
18398;5029;404
18399;5186;157
18400;5379;193
18401;5671;292
18402;6043;372
18403;6370;327
18404;6794;424
18405;7257;463
18406;7770;513
18407;7770;0
18408;8118;348
18409;8373;255
18410;9009;636
18411;9820;811
18412;10423;603
18413;11437;1014
18414;12223;786
18415;12799;576
18416;13537;738
18417;14316;779
18418;15086;770
18419;16016;930
18420;16882;866
18421;17486;604
18422;18198;712
18423;18887;689
18424;19954;1067
18425;21071;1117
18426;22077;1006
18427;23481;1404
18428;24524;1043
18429;25269;745
18430;26079;810
18431;26818;739
18432;27670;852
18433;28566;896
18434;29471;905
18435;31076;1605
18436;32394;1318
18437;33536;1142
18438;34902;1366
18439;36034;1132
18440;36953;919
18441;38150;1197
18442;39060;910
18443;40070;1010
18444;41194;1124
18445;42555;1361
18446;43929;1374
18447;45106;1177
18448;46178;1072
18449;47735;1557
18450;48997;1262
18451;50207;1210
18452;51725;1518
18453;53614;1889
18454;54697;1083
18455;56015;1318
18456;58179;2164
18457;59568;1389
18458;61247;1679
18459;62574;1327
18460;64193;1619
18461;65504;1311
18462;66661;1157
18463;68400;1739
18464;69887;1487
18465;71547;1660
18466;72646;1099
18467;73791;1145
18468;74858;1067
18469;76005;1147
18470;77058;1053
18471;77904;846
18472;78569;665
18473;79159;590
18474;79159;0
18475;79159;0
18476;79159;0
18477;79159;0
18478;79159;0
18479;80286;1127
18480;80713;427
18481;81067;354
18482;81357;290
18483;81580;223
18484;81787;207
18485;82050;263
18486;82299;249
18487;82531;232
18488;82743;212
18489;82924;181
18490;83086;162
18491;83226;140
18492;83418;192
18493;83606;188
18494;83769;163
18495;83769;0
18496;83769;0
18497;83769;0
18498;84509;740
18499;84652;143
18500;84818;166
18501;85005;187
18502;85005;0
18503;85005;0
18504;85544;539
18505;85722;178
18506;85928;206
18507;85928;0
18508;86380;452
18509;86380;0
18510;86380;0
18511;87072;692
18512;87328;256
18513;87590;262
18514;87939;349
18515;88337;398
18516;88337;0
18517;88337;0
