condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;1;1
18330;1;0
18331;1;0
18332;5;4
18333;5;0
18334;6;1
18335;6;0
18336;6;0
18337;8;2
18338;9;1
18339;11;2
18340;11;0
18341;13;2
18342;18;5
18343;22;4
18344;22;0
18345;27;5
18346;37;10
18347;41;4
18348;52;11
18349;56;4
18350;59;3
18351;64;5
18352;65;1
18353;69;4
18354;77;8
18355;92;15
18356;96;4
18357;104;8
18358;113;9
18359;115;2
18360;119;4
18361;124;5
18362;129;5
18363;133;4
18364;134;1
18365;147;13
18366;159;12
18367;161;2
18368;174;13
18369;199;25
18370;202;3
18371;206;4
18372;208;2
18373;208;0
18374;213;5
18375;213;0
18376;223;10
18377;228;5
18378;228;0
18379;228;0
18380;239;11
18381;239;0
18382;266;27
18383;333;67
18384;370;37
18385;396;26
18386;415;19
18387;431;16
18388;440;9
18389;462;22
18390;563;101
18391;689;126
18392;713;24
18393;724;11
18394;737;13
18395;740;3
18396;754;14
18397;759;5
18398;778;19
18399;786;8
18400;788;2
18401;829;41
18402;833;4
18403;836;3
18404;838;2
18405;850;12
18406;862;12
18407;865;3
18408;877;12
18409;884;7
18410;900;16
18411;917;17
18412;964;47
18413;986;22
18414;995;9
18415;1013;18
18416;1070;57
18417;1086;16
18418;1087;1
18419;1090;3
18420;1135;45
18421;1145;10
18422;1187;42
18423;1202;15
18424;1230;28
18425;1254;24
18426;1261;7
18427;1289;28
18428;1296;7
18429;1303;7
18430;1308;5
18431;1330;22
18432;1336;6
18433;1362;26
18434;1379;17
18435;1392;13
18436;1422;30
18437;1528;106
18438;1569;41
18439;1711;142
18440;1942;231
18441;2127;185
18442;2191;64
18443;2221;30
18444;2260;39
18445;2303;43
18446;2349;46
18447;2385;36
18448;2427;42
18449;2456;29
18450;2502;46
18451;2554;52
18452;2638;84
18453;2736;98
18454;2820;84
18455;2948;128
18456;2980;32
18457;3074;94
18458;3198;124
18459;3342;144
18460;3457;115
18461;3629;172
18462;3721;92
18463;3748;27
18464;3817;69
18465;4000;183
18466;4113;113
18467;4224;111
18468;4328;104
18469;4444;116
18470;4548;104
18471;4674;126
18472;4866;192
18473;5207;341
18474;5338;131
18475;5485;147
18476;5644;159
18477;5724;80
18478;5852;128
18479;6060;208
18480;6375;315
18481;6508;133
18482;6705;197
18483;6907;202
18484;7234;327
18485;7519;285
18486;8018;499
18487;8389;371
18488;9022;633
18489;9381;359
18490;9791;410
18491;10135;344
18492;10606;471
18493;11133;527
18494;11817;684
18495;12536;719
18496;12974;438
18497;13233;259
18498;13602;369
18499;14228;626
18500;14872;644
18501;15290;418
18502;15873;583
18503;16474;601
18504;17105;631
18505;17662;557
18506;18338;676
18507;19138;800
18508;19959;821
18509;20654;695
18510;21871;1217
18511;22486;615
18512;23353;867
18513;24214;861
18514;25026;812
18515;25631;605
18516;26512;881
18517;27324;812
18518;27817;493
18519;28367;550
18520;29298;931
18521;30419;1121
18522;31113;694
18523;32127;1014
18524;33015;888
18525;33520;505
18526;34260;740
18527;34828;568
