condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;1;1
18336;1;0
18337;1;0
18338;1;0
18339;1;0
18340;1;0
18341;1;0
18342;1;0
18343;1;0
18344;1;0
18345;1;0
18346;1;0
18347;1;0
18348;1;0
18349;1;0
18350;1;0
18351;1;0
18352;1;0
18353;1;0
18354;2;1
18355;3;1
18356;7;4
18357;7;0
18358;7;0
18359;8;1
18360;8;0
18361;12;4
18362;12;0
18363;12;0
18364;12;0
18365;12;0
18366;12;0
18367;12;0
18368;12;0
18369;12;0
18370;12;0
18371;12;0
18372;12;0
18373;12;0
18374;13;1
18375;13;0
18376;14;1
18377;14;0
18378;14;0
18379;15;1
18380;15;0
18381;16;1
18382;16;0
18383;16;0
18384;16;0
18385;16;0
18386;17;1
18387;17;0
18388;17;0
18389;17;0
18390;17;0
18391;17;0
18392;17;0
18393;17;0
18394;17;0
18395;17;0
18396;17;0
18397;17;0
18398;17;0
18399;17;0
18400;17;0
18401;17;0
18402;18;1
18403;18;0
18404;18;0
18405;18;0
18406;18;0
18407;18;0
18408;18;0
18409;18;0
18410;25;7
18411;26;1
18412;26;0
18413;26;0
18414;26;0
18415;26;0
18416;26;0
18417;26;0
18418;26;0
18419;26;0
18420;27;1
18421;27;0
18422;27;0
18423;27;0
18424;27;0
18425;27;0
18426;27;0
18427;27;0
18428;27;0
18429;29;2
18430;29;0
18431;29;0
18432;29;0
18433;29;0
18434;29;0
18435;29;0
18436;29;0
18437;29;0
18438;29;0
18439;29;0
18440;29;0
18441;29;0
18442;29;0
18443;29;0
18444;29;0
18445;29;0
18446;29;0
18447;29;0
18448;29;0
18449;29;0
18450;29;0
18451;29;0
18452;29;0
18453;29;0
18454;29;0
18455;35;6
18456;35;0
18457;35;0
18458;35;0
18459;35;0
18460;35;0
18461;38;3
18462;44;6
18463;50;6
18464;50;0
18465;52;2
18466;52;0
18467;52;0
18468;52;0
18469;52;0
18470;52;0
18471;52;0
18472;52;0
18473;52;0
18474;54;2
18475;54;0
18476;55;1
18477;55;0
18478;55;0
18479;56;1
18480;56;0
18481;56;0
18482;56;0
18483;57;1
18484;57;0
18485;57;0
18486;57;0
18487;57;0
18488;57;0
18489;57;0
18490;57;0
18491;58;1
18492;58;0
18493;58;0
18494;58;0
18495;58;0
18496;58;0
18497;58;0
18498;58;0
18499;58;0
18500;58;0
18501;60;2
18502;60;0
18503;60;0
18504;60;0
18505;60;0
18506;61;1
18507;61;0
18508;61;0
18509;61;0
18510;61;0
18511;61;0
18512;62;1
18513;62;0
18514;62;0
18515;62;0
18516;64;2
18517;64;0
18518;64;0
18519;64;0
18520;64;0
18521;64;0
18522;64;0
18523;64;0
18524;64;0
18525;64;0
18526;64;0
18527;64;0
18528;64;0
18529;64;0
18530;64;0
18531;64;0
18532;64;0
18533;64;0
18534;64;0
18535;64;0
18536;64;0
18537;64;0
18538;64;0
18539;64;0
18540;64;0
18541;64;0
18542;64;0
18543;64;0
18544;64;0
