condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;0;0
18353;0;0
18354;0;0
18355;0;0
18356;0;0
18357;0;0
18358;4;4
18359;4;0
18360;4;0
18361;4;0
18362;4;0
18363;4;0
18364;4;0
18365;4;0
18366;4;0
18367;4;0
18368;4;0
18369;4;0
18370;4;0
18371;4;0
18372;4;0
18373;4;0
18374;4;0
18375;4;0
18376;4;0
18377;4;0
18378;4;0
18379;4;0
18380;8;4
18381;8;0
18382;14;6
18383;16;2
18384;16;0
18385;16;0
18386;23;7
18387;174;151
18388;174;0
18389;187;13
18390;208;21
18391;208;0
18392;208;0
18393;208;0
18394;208;0
18395;220;12
18396;235;15
18397;235;0
18398;235;0
18399;235;0
18400;246;11
18401;251;5
18402;251;0
18403;251;0
18404;251;0
18405;251;0
18406;251;0
18407;299;48
18408;441;142
18409;443;2
18410;458;15
18411;463;5
18412;479;16
18413;483;4
18414;484;1
18415;484;0
18416;484;0
18417;485;1
18418;499;14
18419;499;0
18420;513;14
18421;513;0
18422;514;1
18423;611;97
18424;632;21
18425;639;7
18426;659;20
18427;661;2
18428;662;1
18429;671;9
18430;683;12
18431;688;5
18432;693;5
18433;698;5
18434;698;0
18435;702;4
18436;707;5
18437;710;3
18438;711;1
18439;712;1
18440;713;1
18441;713;0
18442;713;0
18443;714;1
18444;715;1
18445;717;2
18446;719;2
18447;719;0
18448;720;1
18449;721;1
18450;724;3
18451;724;0
18452;726;2
18453;727;1
18454;727;0
18455;729;2
18456;732;3
18457;732;0
18458;737;5
18459;740;3
18460;741;1
18461;743;2
18462;746;3
18463;746;0
18464;746;0
18465;747;1
18466;749;2
18467;860;111
18468;862;2
18469;863;1
18470;865;2
18471;867;2
18472;868;1
18473;870;2
18474;871;1
18475;874;3
18476;874;0
18477;874;0
18478;875;1
18479;878;3
18480;878;0
18481;878;0
18482;878;0
18483;878;0
18484;878;0
18485;881;3
18486;882;1
18487;883;1
18488;885;2
18489;885;0
18490;885;0
18491;885;0
18492;885;0
18493;885;0
18494;888;3
18495;891;3
18496;892;1
18497;892;0
18498;892;0
18499;892;0
18500;892;0
18501;894;2
18502;895;1
18503;895;0
18504;896;1
18505;896;0
18506;896;0
18507;896;0
18508;897;1
18509;897;0
18510;898;1
18511;898;0
18512;898;0
18513;898;0
18514;898;0
18515;901;3
18516;906;5
18517;906;0
18518;906;0
18519;906;0
18520;907;1
18521;907;0
18522;907;0
18523;908;1
18524;908;0
18525;908;0
18526;908;0
18527;908;0
18528;908;0
18529;910;2
18530;911;1
18531;911;0
18532;911;0
18533;911;0
18534;911;0
18535;911;0
18536;911;0
18537;911;0
18538;913;2
18539;913;0
18540;913;0
18541;914;1
18542;914;0
18543;921;7
18544;922;1
