condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;1;1
18324;1;0
18325;1;0
18326;5;4
18327;5;0
18328;5;0
18329;11;6
18330;15;4
18331;20;5
18332;21;1
18333;45;24
18334;86;41
18335;103;17
18336;103;0
18337;118;15
18338;171;53
18339;171;0
18340;274;103
18341;344;70
18342;392;48
18343;511;119
18344;562;51
18345;767;205
18346;900;133
18347;1012;112
18348;1104;92
18349;1203;99
18350;1299;96
18351;1453;154
18352;1563;110
18353;1720;157
18354;1885;165
18355;2039;154
18356;2179;140
18357;2402;223
18358;2605;203
18359;2795;190
18360;2932;137
18361;3287;355
18362;3651;364
18363;4033;382
18364;4462;429
18365;4934;472
18366;5369;435
18367;5862;493
18368;6380;518
18369;7142;762
18370;8274;1132
18371;9362;1088
18372;10484;1122
18373;11631;1147
18374;12772;1141
18375;13930;1158
18376;15102;1172
18377;16299;1197
18378;17522;1223
18379;18811;1289
18380;20077;1266
18381;21402;1325
18382;22753;1351
18383;24097;1344
18384;25459;1362
18385;27011;1552
18386;28656;1645
18387;30251;1595
18388;31938;1687
18389;33731;1793
18390;35432;1701
18391;37136;1704
18392;39048;1912
18393;41014;1966
18394;42925;1911
18395;44830;1905
18396;46869;2039
18397;49176;2307
18398;52016;2840
18399;54752;2736
18400;57345;2593
18401;59854;2509
18402;62545;2691
18403;65077;2532
18404;67719;2642
18405;70161;2442
18406;72560;2399
18407;74795;2235
18408;76726;1931
18409;78541;1815
18410;80185;1644
18411;81766;1581
18412;83384;1618
18413;85261;1877
18414;87142;1881
18415;89011;1869
18416;91182;2171
18417;93157;1975
18418;95748;2591
18419;98869;3121
18420;101914;3045
18421;105283;3369
18422;108571;3288
18423;112288;3717
18424;116021;3733
18425;119942;3921
18426;123308;3366
18427;127541;4233
18428;132048;4507
18429;136315;4267
18430;141234;4919
18431;145991;4757
18432;150292;4301
18433;154233;3941
18434;157612;3379
18435;161005;3393
18436;164144;3139
18437;167267;3123
18438;170639;3372
18439;174577;3938
18440;178504;3927
18441;182493;3989
18442;186436;3943
18443;190823;4387
18444;194225;3402
18445;197608;3383
18446;201801;4193
18447;205929;4128
18448;209509;3580
18449;213716;4207
18450;217108;3392
18451;220144;3036
18452;223327;3183
18453;226486;3159
18454;229480;2994
18455;232259;2779
18456;235111;2852
18457;237803;2692
18458;240474;2671
18459;243238;2764
18460;245851;2613
18461;248416;2565
18462;250920;2504
18463;253349;2429
18464;255825;2476
18465;258156;2331
18466;260394;2238
18467;262772;2378
18468;264973;2201
18469;266941;1968
18470;268934;1993
18471;270831;1897
18472;272590;1759
18473;274219;1629
18474;275905;1686
18475;277478;1573
18476;278835;1357
18477;280093;1258
18478;281456;1363
18479;282824;1368
18480;284226;1402
18481;285793;1567
18482;287262;1469
18483;288690;1428
18484;289947;1257
18485;291468;1521
18486;293037;1569
18487;294519;1482
18488;295902;1383
18489;297315;1413
18490;298542;1227
18491;299914;1372
18492;301323;1409
18493;302686;1363
18494;303973;1287
18495;305186;1213
18496;306370;1184
18497;307479;1109
18498;308654;1175
18499;309768;1114
18500;310836;1068
18501;311855;1019
18502;312924;1069
18503;313911;987
