condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;1;1
18324;2;1
18325;4;2
18326;4;0
18327;4;0
18328;4;0
18329;4;0
18330;4;0
18331;4;0
18332;4;0
18333;4;0
18334;10;6
18335;10;0
18336;24;14
18337;24;0
18338;26;2
18339;31;5
18340;31;0
18341;38;7
18342;47;9
18343;67;20
18344;79;12
18345;86;7
18346;99;13
18347;105;6
18348;119;14
18349;130;11
18350;142;12
18351;162;20
18352;175;13
18353;190;15
18354;195;5
18355;207;12
18356;219;12
18357;222;3
18358;226;4
18359;237;11
18360;244;7
18361;250;6
18362;265;15
18363;278;13
18364;280;2
18365;291;11
18366;299;8
18367;314;15
18368;335;21
18369;342;7
18370;350;8
18371;367;17
18372;377;10
18373;412;35
18374;442;30
18375;479;37
18376;545;66
18377;614;69
18378;671;57
18379;736;65
18380;823;87
18381;882;59
18382;933;51
18383;1024;91
18384;1115;91
18385;1182;67
18386;1271;89
18387;1329;58
18388;1433;104
18389;1492;59
18390;1551;59
18391;1634;83
18392;1709;75
18393;1886;177
18394;1995;109
18395;2105;110
18396;2189;84
18397;2310;121
18398;2429;119
18399;2480;51
18400;2544;64
18401;2617;73
18402;2714;97
18403;2812;98
18404;2909;97
18405;2976;67
18406;3047;71
18407;3130;83
18408;3161;31
18409;3253;92
18410;3348;95
18411;3429;81
18412;3535;106
18413;3645;110
18414;3739;94
18415;3836;97
18416;3932;96
18417;4021;89
18418;4155;134
18419;4249;94
18420;4328;79
18421;4427;99
18422;4516;89
18423;4640;124
18424;4759;119
18425;4851;92
18426;4996;145
18427;5090;94
18428;5173;83
18429;5247;74
18430;5369;122
18431;5475;106
18432;5639;164
18433;5783;144
18434;5888;105
18435;5970;82
18436;6034;64
18437;6129;95
18438;6233;104
18439;6354;121
18440;6459;105
18441;6586;127
18442;6698;112
18443;6793;95
18444;6925;132
18445;7054;129
18446;7164;110
18447;7272;108
18448;7400;128
18449;7478;78
18450;7547;69
18451;7657;110
18452;7784;127
18453;7882;98
18454;8014;132
18455;8135;121
18456;8198;63
18457;8243;45
18458;8369;126
18459;8481;112
18460;8544;63
18461;8669;125
18462;8810;141
18463;8948;138
18464;8985;37
18465;9121;136
18466;9266;145
18467;9422;156
18468;9552;130
18469;9681;129
18470;9764;83
18471;9805;41
18472;9961;156
18473;10106;145
18474;10232;126
18475;10284;52
18476;10344;60
18477;10386;42
18478;10432;46
18479;10538;106
18480;10715;177
18481;10887;172
18482;11003;116
18483;11175;172
18484;11312;137
18485;11380;68
18486;11587;207
18487;11740;153
18488;11872;132
18489;12032;160
18490;12162;130
18491;12237;75
18492;12305;68
18493;12446;141
18494;12559;113
18495;12689;130
18496;12850;161
18497;12949;99
18498;13013;64
18499;13056;43
18500;13186;130
18501;13294;108
18502;13384;90
18503;13456;72
18504;13556;100
18505;13611;55
18506;13655;44
18507;13743;88
18508;13826;83
18509;13881;55
18510;13948;67
18511;13987;39
18512;14014;27
18513;14044;30
18514;14102;58
18515;14150;48
18516;14193;43
18517;14237;44
18518;14280;43
18519;14306;26
18520;14529;223
18521;14568;39
18522;14618;50
18523;14645;27
18524;14688;43
