condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;2;2
18336;2;0
18337;3;1
18338;4;1
18339;4;0
18340;6;2
18341;7;1
18342;7;0
18343;7;0
18344;7;0
18345;7;0
18346;7;0
18347;7;0
18348;7;0
18349;8;1
18350;8;0
18351;8;0
18352;10;2
18353;10;0
18354;10;0
18355;10;0
18356;10;0
18357;10;0
18358;11;1
18359;11;0
18360;11;0
18361;11;0
18362;11;0
18363;11;0
18364;11;0
18365;11;0
18366;11;0
18367;11;0
18368;11;0
18369;11;0
18370;11;0
18371;11;0
18372;11;0
18373;11;0
18374;11;0
18375;11;0
18376;11;0
18377;11;0
18378;11;0
18379;11;0
18380;11;0
18381;11;0
18382;11;0
18383;11;0
18384;11;0
18385;11;0
18386;11;0
18387;11;0
18388;11;0
18389;11;0
18390;11;0
18391;11;0
18392;11;0
18393;11;0
18394;11;0
18395;11;0
18396;11;0
18397;11;0
18398;11;0
18399;11;0
18400;11;0
18401;11;0
18402;11;0
18403;11;0
18404;11;0
18405;11;0
18406;11;0
18407;11;0
18408;11;0
18409;11;0
18410;11;0
18411;11;0
18412;11;0
18413;11;0
18414;11;0
18415;11;0
18416;11;0
18417;11;0
18418;11;0
18419;11;0
18420;11;0
18421;11;0
18422;11;0
18423;11;0
18424;11;0
18425;11;0
18426;11;0
18427;11;0
18428;11;0
18429;11;0
18430;11;0
18431;11;0
18432;11;0
18433;11;0
18434;11;0
18435;11;0
18436;11;0
18437;11;0
18438;11;0
18439;11;0
18440;20;9
18441;70;50
18442;77;7
18443;81;4
18444;81;0
18445;81;0
18446;81;0
18447;81;0
18448;81;0
18449;81;0
18450;81;0
18451;91;10
18452;94;3
18453;100;6
18454;100;0
18455;100;0
18456;100;0
18457;100;0
18458;100;0
18459;108;8
18460;108;0
18461;108;0
18462;108;0
18463;108;0
18464;108;0
18465;108;0
18466;108;0
18467;108;0
18468;114;6
18469;114;0
18470;114;0
18471;114;0
18472;114;0
18473;114;0
18474;114;0
18475;114;0
18476;114;0
18477;114;0
18478;114;0
18479;126;12
18480;126;0
18481;126;0
18482;126;0
18483;126;0
18484;126;0
18485;127;1
18486;127;0
18487;127;0
18488;127;0
18489;127;0
18490;127;0
18491;127;0
18492;127;0
18493;132;5
18494;132;0
18495;132;0
18496;132;0
18497;132;0
18498;132;0
18499;136;4
18500;136;0
18501;136;0
18502;136;0
18503;136;0
18504;136;0
18505;136;0
18506;136;0
18507;136;0
18508;136;0
18509;136;0
18510;136;0
18511;136;0
18512;137;1
18513;137;0
18514;137;0
18515;137;0
18516;138;1
18517;139;1
18518;139;0
18519;140;1
18520;140;0
18521;140;0
18522;141;1
18523;141;0
18524;141;0
18525;141;0
18526;143;2
18527;143;0
18528;143;0
18529;143;0
18530;143;0
18531;143;0
18532;143;0
18533;143;0
18534;143;0
18535;144;1
18536;144;0
18537;145;1
18538;146;1
18539;146;0
18540;146;0
18541;148;2
18542;148;0
18543;148;0
18544;148;0
