condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;1;1
18353;2;1
18354;2;0
18355;2;0
18356;4;2
18357;6;2
18358;6;0
18359;6;0
18360;7;1
18361;7;0
18362;8;1
18363;8;0
18364;10;2
18365;10;0
18366;11;1
18367;13;2
18368;15;2
18369;26;11
18370;30;4
18371;35;5
18372;43;8
18373;50;7
18374;61;11
18375;64;3
18376;82;18
18377;82;0
18378;93;11
18379;93;0
18380;104;11
18381;104;0
18382;124;20
18383;136;12
18384;155;19
18385;166;11
18386;178;12
18387;199;21
18388;225;26
18389;231;6
18390;257;26
18391;291;34
18392;307;16
18393;338;31
18394;338;0
18395;387;49
18396;408;21
18397;447;39
18398;462;15
18399;505;43
18400;519;14
18401;534;15
18402;570;36
18403;585;15
18404;606;21
18405;621;15
18406;707;86
18407;735;28
18408;754;19
18409;782;28
18410;812;30
18411;829;17
18412;852;23
18413;861;9
18414;865;4
18415;896;31
18416;909;13
18417;914;5
18418;929;15
18419;946;17
18420;969;23
18421;1001;32
18422;1025;24
18423;1062;37
18424;1085;23
18425;1103;18
18426;1132;29
18427;1169;37
18428;1176;7
18429;1225;49
18430;1249;24
18431;1272;23
18432;1298;26
18433;1309;11
18434;1327;18
18435;1340;13
18436;1347;7
18437;1354;7
18438;1354;0
18439;1394;40
18440;1410;16
18441;1427;17
18442;1450;23
18443;1462;12
18444;1498;36
18445;1518;20
18446;1524;6
18447;1533;9
18448;1542;9
18449;1547;5
18450;1572;25
18451;1584;12
18452;1598;14
18453;1613;15
18454;1618;5
18455;1635;17
18456;1642;7
18457;1651;9
18458;1668;17
18459;1678;10
18460;1688;10
18461;1701;13
18462;1711;10
18463;1711;0
18464;1727;16
18465;1731;4
18466;1752;21
18467;1765;13
18468;1768;3
18469;1783;15
18470;1783;0
18471;1786;3
18472;1803;17
18473;1818;15
18474;1823;5
18475;1823;0
18476;1843;20
18477;1848;5
18478;1855;7
18479;1860;5
18480;1877;17
18481;1887;10
18482;1895;8
18483;1916;21
18484;1917;1
18485;1932;15
18486;1937;5
18487;1940;3
18488;1947;7
18489;1954;7
18490;1956;2
18491;1956;0
18492;1959;3
18493;1961;2
18494;1969;8
18495;1972;3
18496;1980;8
18497;1992;12
18498;1997;5
18499;2001;4
18500;2003;2
18501;2013;10
18502;2013;0
18503;2019;6
18504;2022;3
18505;2022;0
18506;2028;6
18507;2029;1
18508;2035;6
18509;2041;6
18510;2041;0
18511;2054;13
18512;2055;1
18513;2064;9
18514;2067;3
18515;2069;2
18516;2087;18
18517;2096;9
18518;2109;13
18519;2111;2
18520;2126;15
18521;2133;7
18522;2133;0
18523;2153;20
18524;2159;6
18525;2168;9
18526;2168;0
18527;2174;6
18528;2183;9
18529;2188;5
