condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;1;1
18328;1;0
18329;3;2
18330;3;0
18331;7;4
18332;10;3
18333;16;6
18334;32;16
18335;44;12
18336;54;10
18337;63;9
18338;72;9
18339;105;33
18340;123;18
18341;137;14
18342;178;41
18343;185;7
18344;186;1
18345;204;18
18346;216;12
18347;226;10
18348;269;43
18349;292;23
18350;314;22
18351;336;22
18352;363;27
18353;400;37
18354;426;26
18355;450;24
18356;471;21
18357;485;14
18358;534;49
18359;581;47
18360;682;101
18361;701;19
18362;715;14
18363;728;13
18364;742;14
18365;769;27
18366;835;66
18367;863;28
18368;977;114
18369;1049;72
18370;1089;40
18371;1161;72
18372;1173;12
18373;1199;26
18374;1244;45
18375;1325;81
18376;1360;35
18377;1373;13
18378;1379;6
18379;1381;2
18380;1384;3
18381;1391;7
18382;1396;5
18383;1403;7
18384;1407;4
18385;1408;1
18386;1413;5
18387;1421;8
18388;1429;8
18389;1445;16
18390;1455;10
18391;1455;0
18392;1457;2
18393;1457;0
18394;1465;8
18395;1469;4
18396;1477;8
18397;1480;3
18398;1493;13
18399;1494;1
18400;1495;1
18401;1495;0
18402;1496;1
18403;1502;6
18404;1503;1
18405;1504;1
18406;1509;5
18407;1511;2
18408;1513;2
18409;1515;2
18410;1520;5
18411;1520;0
18412;1521;1
18413;1521;0
18414;1522;1
18415;1522;0
18416;1525;3
18417;1526;1
18418;1526;0
18419;1528;2
18420;1528;0
18421;1530;2
18422;1531;1
18423;1533;2
18424;1541;8
18425;1542;1
18426;1545;3
18427;1548;3
18428;1552;4
18429;1552;0
18430;1561;9
18431;1562;1
18432;1576;14
18433;1586;10
18434;1587;1
18435;1588;1
18436;1589;1
18437;1607;18
18438;1630;23
18439;1643;13
18440;1657;14
18441;1664;7
18442;1665;1
18443;1667;2
18444;1687;20
18445;1700;13
18446;1720;20
18447;1749;29
18448;1764;15
18449;1765;1
18450;1767;2
18451;1798;31
18452;1851;53
18453;1870;19
18454;1893;23
18455;1901;8
18456;1902;1
18457;1908;6
18458;1927;19
18459;1951;24
18460;1965;14
18461;1976;11
18462;1979;3
18463;1980;1
18464;2021;41
18465;2058;37
18466;2089;31
18467;2118;29
18468;2141;23
18469;2179;38
18470;2181;2
18471;2204;23
18472;2245;41
18473;2265;20
18474;2292;27
18475;2337;45
18476;2344;7
18477;2354;10
18478;2368;14
18479;2417;49
18480;2480;63
18481;2523;43
18482;2566;43
18483;2596;30
18484;2599;3
18485;2615;16
18486;2690;75
18487;2739;49
18488;2801;62
18489;2855;54
18490;2902;47
18491;2907;5
18492;2922;15
18493;3022;100
18494;3102;80
18495;3225;123
18496;3316;91
18497;3356;40
18498;3424;68
18499;3452;28
18500;3536;84
18501;3626;90
18502;3728;102
18503;3842;114
18504;3876;34
18505;3917;41
18506;3989;72
18507;4042;53
18508;4163;121
18509;4300;137
18510;4526;226
18511;4614;88
18512;4636;22
18513;4727;91
18514;4888;161
18515;5066;178
18516;5252;186
18517;5453;201
18518;5532;79
18519;5580;48
18520;5768;188
18521;5860;92
18522;6021;161
