condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;1;1
18327;1;0
18328;1;0
18329;3;2
18330;3;0
18331;7;4
18332;13;6
18333;17;4
18334;24;7
18335;38;14
18336;51;13
18337;62;11
18338;62;0
18339;116;54
18340;150;34
18341;202;52
18342;240;38
18343;274;34
18344;402;128
18345;554;152
18346;709;155
18347;927;218
18348;1170;243
18349;1187;17
18350;1280;93
18351;1326;46
18352;1353;27
18353;1380;27
18354;1462;82
18355;1505;43
18356;1585;80
18357;1655;70
18358;1686;31
18359;1749;63
18360;1845;96
18361;1934;89
18362;2003;69
18363;2028;25
18364;2173;145
18365;2272;99
18366;2415;143
18367;2506;91
18368;2605;99
18369;2783;178
18370;3034;251
18371;3158;124
18372;3300;142
18373;3465;165
18374;3635;170
18375;3953;318
18376;4220;267
18377;4361;141
18378;4546;185
18379;4793;247
18380;4996;203
18381;5350;354
18382;5647;297
18383;5951;304
18384;6336;385
18385;6783;447
18386;7220;437
18387;7572;352
18388;7808;236
18389;8232;424
18390;8895;663
18391;9420;525
18392;10015;595
18393;10652;637
18394;11350;698
18395;12074;724
18396;12739;665
18397;13524;785
18398;14355;831
18399;15515;1160
18400;16433;918
18401;17200;767
18402;18003;803
18403;19137;1134
18404;20125;988
18405;21343;1218
18406;22583;1240
18407;23615;1032
18408;24264;649
18409;25937;1673
18410;27403;1466
18411;29240;1837
18412;30967;1727
18413;32683;1716
18414;34357;1674
18415;35812;1455
18416;37525;1713
18417;40792;3267
18418;43434;2642
18419;45973;2539
18420;48285;2312
18421;50879;2594
18422;52991;2112
18423;55421;2430
18424;58568;3147
18425;61927;3359
18426;65736;3809
18427;70038;4302
18428;73533;3495
18429;76334;2801
18430;80412;4078
18431;83890;3478
18432;87715;3825
18433;92681;4966
18434;97302;4621
18435;101590;4288
18436;106108;4518
18437;111796;5688
18438;118375;6579
18439;124590;6215
18440;131800;7210
18441;138134;6334
18442;144264;6130
18443;151209;6945
18444;159333;8124
18445;168061;8728
18446;177124;9063
18447;187977;10853
18448;196750;8773
18449;205721;8971
18450;215855;10134
18451;224665;8810
18452;238339;13674
18453;250687;12348
18454;264184;13497
18455;276242;12058
18456;287796;11554
18457;298292;10496
18458;311049;12757
18459;324221;13172
18460;337594;13373
18461;350879;13285
18462;364328;13449
18463;373628;9300
18464;381798;8170
18465;394948;13150
18466;408052;13104
18467;421996;13944
18468;434200;12204
18469;445433;11233
18470;452529;7096
18471;459761;7232
18472;471123;11362
18473;482169;11046
18474;493183;11014
18475;503290;10107
18476;511485;8195
18477;516862;5377
18478;521318;4456
18479;529877;8559
18480;538184;8307
18481;545476;7292
18482;553188;7712
18483;559859;6671
18484;563598;3739
18485;566109;2511
18486;568919;2810
18487;572865;3946
18488;579140;6275
18489;583653;4513
18490;587345;3692
18491;589886;2541
18492;592144;2258
18493;596060;3916
18494;599940;3880
18495;603338;3398
18496;607045;3707
18497;609773;2728
18498;611450;1677
18499;613017;1567
18500;615701;2684
18501;618286;2585
18502;620132;1846
18503;622551;2419
18504;625056;2505
18505;627041;1985
18506;628259;1218
