condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;0;0
18353;0;0
18354;0;0
18355;0;0
18356;0;0
18357;1;1
18358;1;0
18359;2;1
18360;2;0
18361;3;1
18362;4;1
18363;4;0
18364;4;0
18365;4;0
18366;4;0
18367;4;0
18368;4;0
18369;4;0
18370;4;0
18371;4;0
18372;4;0
18373;4;0
18374;4;0
18375;5;1
18376;5;0
18377;5;0
18378;6;1
18379;6;0
18380;34;28
18381;34;0
18382;35;1
18383;45;10
18384;45;0
18385;46;1
18386;46;0
18387;52;6
18388;58;6
18389;74;16
18390;120;46
18391;120;0
18392;120;0
18393;156;36
18394;194;38
18395;203;9
18396;203;0
18397;236;33
18398;236;0
18399;290;54
18400;290;0
18401;290;0
18402;290;0
18403;481;191
18404;563;82
18405;655;92
18406;655;0
18407;806;151
18408;806;0
18409;994;188
18410;994;0
18411;994;0
18412;994;0
18413;994;0
18414;994;0
18415;994;0
18416;994;0
18417;994;0
18418;994;0
18419;994;0
18420;1317;323
18421;1604;287
18422;1604;0
18423;1604;0
18424;1670;66
18425;1670;0
18426;1693;23
18427;1693;0
18428;1693;0
18429;1776;83
18430;1813;37
18431;1830;17
18432;1864;34
18433;1882;18
18434;1892;10
18435;1916;24
18436;1930;14
18437;1942;12
18438;1942;0
18439;1942;0
18440;1942;0
18441;1989;47
18442;1989;0
18443;2007;18
18444;2021;14
18445;2021;0
18446;2021;0
18447;2021;0
18448;2021;0
18449;2021;0
18450;2021;0
18451;2021;0
18452;2021;0
18453;2021;0
18454;2021;0
18455;2021;0
18456;2148;127
18457;2148;0
18458;2153;5
18459;2171;18
18460;2191;20
18461;2191;0
18462;2200;9
18463;2211;11
18464;2211;0
18465;2211;0
18466;2239;28
18467;2258;19
18468;2258;0
18469;2262;4
18470;2305;43
18471;2305;0
18472;2322;17
18473;2322;0
18474;2322;0
18475;2352;30
18476;2429;77
18477;2429;0
18478;2437;8
18479;2437;0
18480;2450;13
18481;2450;0
18482;2463;13
18483;2470;7
18484;2470;0
18485;2472;2
18486;2477;5
18487;2478;1
18488;2482;4
18489;2488;6
18490;2489;1
18491;2490;1
18492;2490;0
18493;2494;4
18494;2494;0
18495;2497;3
18496;2497;0
18497;2499;2
18498;2504;5
18499;2507;3
18500;2510;3
18501;2514;4
18502;2518;4
18503;2519;1
18504;2519;0
18505;2527;8
18506;2527;0
18507;2532;5
18508;2533;1
18509;2536;3
18510;2544;8
18511;2544;0
18512;2545;1
18513;2552;7
18514;2555;3
18515;2555;0
18516;2568;13
18517;2578;10
18518;2578;0
18519;2587;9
18520;2592;5
18521;2594;2
18522;2599;5
18523;2609;10
18524;2642;33
18525;2642;0
18526;2649;7
18527;2660;11
18528;2664;4
