condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;1;1
18294;1;0
18295;1;0
18296;1;0
18297;1;0
18298;1;0
18299;1;0
18300;1;0
18301;2;1
18302;2;0
18303;2;0
18304;2;0
18305;2;0
18306;2;0
18307;2;0
18308;2;0
18309;2;0
18310;2;0
18311;2;0
18312;2;0
18313;2;0
18314;2;0
18315;2;0
18316;2;0
18317;6;4
18318;13;7
18319;15;2
18320;32;17
18321;45;13
18322;84;39
18323;120;36
18324;165;45
18325;222;57
18326;259;37
18327;400;141
18328;500;100
18329;673;173
18330;1073;400
18331;1695;622
18332;2277;582
18333;2277;0
18334;5232;2955
18335;6391;1159
18336;7798;1407
18337;9942;2144
18338;11748;1806
18339;13910;2162
18340;17963;4053
18341;20410;2447
18342;25374;4964
18343;28768;3394
18344;35136;6368
18345;39885;4749
18346;49515;9630
18347;57786;8271
18348;65719;7933
18349;73235;7516
18350;80110;6875
18351;87956;7846
18352;95923;7967
18353;104118;8195
18354;112065;7947
18355;119199;7134
18356;126168;6969
18357;131646;5478
18358;136675;5029
18359;141942;5267
18360;148220;6278
18361;153222;5002
18362;158273;5051
18363;163027;4754
18364;166831;3804
18365;170099;3268
18366;172541;2442
18367;177644;5103
18368;184948;7304
18369;190839;5891
18370;191726;887
18371;198674;6948
18372;200210;1536
18373;204178;3968
18374;208389;4211
18375;213024;4635
18376;202990;-10034
18377;205905;2915
18378;207634;1729
18379;209465;1831
18380;210773;1308
18381;212917;2144
18382;213435;518
18383;215216;1781
18384;216582;1366
18385;217466;884
18386;218011;545
18387;219329;1318
18388;220325;996
18389;221447;1122
18390;222857;1410
18391;223578;721
18392;224350;772
18393;227436;3086
18394;228030;594
18395;228691;661
18396;229540;849
18397;230183;643
18398;230698;515
18399;230698;0
18400;231606;908
18401;232037;431
18402;232555;518
18403;233037;482
18404;234824;1787
18405;235290;466
18406;235772;482
18407;235400;-372
18408;236259;859
18409;236259;0
18410;237906;1647
18411;238564;658
18412;239228;664
18413;239479;251
18414;239638;159
18415;239932;294
18416;240326;394
18417;240660;334
18418;240978;318
18419;241310;332
18420;241550;240
18421;241717;167
18422;241966;249
18423;242280;314
18424;242707;427
18425;243209;502
18426;243605;396
18427;243928;323
18428;244109;181
18429;244328;219
18430;244683;355
18431;245268;585
18432;245575;307
18433;245938;363
18434;246272;334
18435;246504;232
18436;246752;248
18437;247086;334
18438;247486;400
18439;247905;419
18440;248469;564
18441;248770;301
18442;248970;200
18443;249271;301
18444;249659;388
18445;250103;444
18446;250545;442
18447;250545;0
18448;250545;0
18449;251789;1244
18450;252130;341
18451;252513;383
18452;253056;543
18453;253908;852
18454;253908;0
18455;253908;0
18456;255953;2045
18457;256619;666
18458;257494;875
18459;258855;1361
18460;260255;1400
18461;260255;0
18462;260255;0
18463;264836;4581
18464;266194;1358
18465;267551;1357
18466;270166;2615
18467;272421;2255
18468;272421;0
18469;272421;0
18470;278782;6361
18471;280610;1828
18472;282641;2031
18473;285430;2789
18474;288522;3092
18475;288522;0
18476;288522;0
18477;297054;8532
18478;302814;5760
18479;305767;2953
18480;309855;4088
18481;314362;4507
18482;314362;0
18483;314362;0
18484;322980;8618
18485;326612;3632
18486;329784;3172
18487;337334;7550
18488;342813;5479
18489;342813;0
18490;342813;0
18491;359082;16269
18492;364196;5114
18493;370867;6671
18494;377906;7039
18495;386054;8148
18496;386054;0
18497;386054;0
18498;405436;19382
18499;412553;7117
18500;419849;7296
18501;429507;9658
18502;439286;9779
18503;439286;0
18504;439286;0
18505;462858;23572
18506;470973;8115
