condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;1;1
18318;1;0
18319;8;7
18320;8;0
18321;18;10
18322;27;9
18323;42;15
18324;56;14
18325;90;34
18326;114;24
18327;214;100
18328;268;54
18329;337;69
18330;374;37
18331;491;117
18332;652;161
18333;652;0
18334;1139;487
18335;1359;220
18336;2200;841
18337;2200;0
18338;2700;500
18339;3028;328
18340;4075;1047
18341;5294;1219
18342;6575;1281
18343;7474;899
18344;8795;1321
18345;9877;1082
18346;10897;1020
18347;11811;914
18348;12928;1117
18349;14076;1148
18350;14829;753
18351;15922;1093
18352;16605;683
18353;17768;1163
18354;18827;1059
18355;19606;779
18356;20505;899
18357;21100;595
18358;21657;557
18359;22253;596
18360;23280;1027
18361;24051;771
18362;24551;500
18363;25107;556
18364;25415;308
18365;25688;273
18366;25936;248
18367;26336;400
18368;26732;396
18369;27078;346
18370;27404;326
18371;27740;336
18372;27944;204
18373;28063;119
18374;28268;205
18375;28496;228
18376;28677;181
18377;28894;217
18378;29061;167
18379;29164;103
18380;29264;100
18381;29407;143
18382;29586;179
18383;29705;119
18384;29817;112
18385;29905;88
18386;29981;76
18387;30009;28
18388;30060;51
18389;30126;66
18390;30207;81
18391;30251;44
18392;30305;54
18393;30344;39
18394;30380;36
18395;30413;33
18396;30463;50
18397;30514;51
18398;30572;58
18399;30587;15
18400;30597;10
18401;30618;21
18402;30658;40
18403;30694;36
18404;30707;13
18405;30725;18
18406;30736;11
18407;30746;10
18408;30761;15
18409;30776;15
18410;30796;20
18411;30828;32
18412;30845;17
18413;30862;17
18414;30871;9
18415;30874;3
18416;30893;19
18417;30913;20
18418;30936;23
18419;30956;20
18420;30965;9
18421;30972;7
18422;30988;16
18423;31011;23
18424;31044;33
18425;31063;19
18426;31094;31
18427;31117;23
18428;31131;14
18429;31154;23
18430;31187;33
18431;31200;13
18432;31235;35
18433;31243;8
18434;31292;49
18435;31310;18
18436;31332;22
18437;31376;44
18438;31428;52
18439;31486;58
18440;31555;69
18441;31617;62
18442;31652;35
18443;31714;62
18444;31851;137
18445;31967;116
18446;32101;134
18447;32198;97
18448;32268;70
18449;32315;47
18450;32369;54
18451;32498;129
18452;32586;88
18453;32690;104
18454;32817;127
18455;32883;66
18456;32946;63
18457;33016;70
18458;33148;132
18459;33290;142
18460;33382;92
18461;33492;110
18462;33591;99
18463;33634;43
18464;33742;108
18465;33883;141
18466;34000;117
18467;34154;154
18468;34302;148
18469;34412;110
18470;34477;65
18471;34609;132
18472;34802;193
18473;35022;220
18474;35232;210
18475;35412;180
18476;35550;138
18477;35616;66
18478;35746;130
18479;35927;181
18480;36108;181
18481;36269;161
18482;36451;182
18483;36603;152
18484;36708;105
18485;36895;187
18486;37169;274
18487;37403;234
18488;37671;268
18489;37924;253
18490;38124;200
18491;38252;128
18492;38449;197
18493;38760;311
18494;39026;266
18495;39332;306
18496;39627;295
18497;39903;276
18498;40060;157
18499;40262;202
18500;40645;383
18501;41006;361
18502;41346;340
18503;41722;376
18504;42014;292
18505;42177;163
18506;42393;216
18507;42763;370
18508;43127;364
18509;43532;405
18510;43957;425
18511;44401;444
18512;44592;191
18513;44837;245
18514;45306;469
18515;45711;405
18516;46239;528
