condition;measurement;ncases
18283;4;4
18284;4;0
18285;5;1
18286;6;1
18287;8;2
18288;8;0
18289;14;6
18290;14;0
18291;14;0
18292;19;5
18293;19;0
18294;19;0
18295;19;0
18296;25;6
18297;25;0
18298;25;0
18299;25;0
18300;32;7
18301;32;0
18302;32;0
18303;33;1
18304;33;0
18305;33;0
18306;33;0
18307;34;1
18308;34;0
18309;35;1
18310;35;0
18311;35;0
18312;35;0
18313;35;0
18314;35;0
18315;35;0
18316;35;0
18317;37;2
18318;40;3
18319;40;0
18320;41;1
18321;42;1
18322;42;0
18323;43;1
18324;43;0
18325;43;0
18326;47;4
18327;48;1
18328;50;2
18329;50;0
18330;50;0
18331;53;3
18332;59;6
18333;70;11
18334;75;5
18335;82;7
18336;114;32
18337;147;33
18338;177;30
18339;212;35
18340;272;60
18341;322;50
18342;411;89
18343;599;188
18344;721;122
18345;827;106
18346;934;107
18347;1045;111
18348;1136;91
18349;1245;109
18350;1388;143
18351;1524;136
18352;1651;127
18353;1771;120
18354;1875;104
18355;1978;103
18356;2067;89
18357;2169;102
18358;2220;51
18359;2258;38
18360;2369;111
18361;2423;54
18362;2473;50
18363;2518;45
18364;2551;33
18365;2579;28
18366;2613;34
18367;2643;30
18368;2672;29
18369;2700;28
18370;2733;33
18371;2765;32
18372;2792;27
18373;2811;19
18374;2826;15
18375;2839;13
18376;2854;15
18377;2907;53
18378;2922;15
18379;2931;9
18380;2938;7
18381;2947;9
18382;2954;7
18383;2960;6
18384;2966;6
18385;2969;3
18386;2987;18
18387;2988;1
18388;2989;1
18389;2992;3
18390;3000;8
18391;3004;4
18392;3009;5
18393;3015;6
18394;3017;2
18395;3017;0
18396;3018;1
18397;3025;7
18398;3025;0
18399;3028;3
18400;3031;3
18401;3033;2
18402;3034;1
18403;3037;3
18404;3037;0
18405;3040;3
18406;3040;0
18407;3042;2
18408;3045;3
18409;3054;9
18410;3065;11
18411;3076;11
18412;3077;1
18413;3081;4
18414;3082;1
18415;3083;1
18416;3084;1
18417;3101;17
18418;3102;1
18419;3104;2
18420;3112;8
18421;3119;7
18422;3121;2
18423;3125;4
18424;3125;0
18425;3129;4
18426;3134;5
18427;3135;1
18428;3135;0
18429;3135;0
18430;3135;0
18431;3141;6
18432;3146;5
18433;3147;1
18434;3148;1
18435;3151;3
18436;3156;5
18437;3157;1
18438;3158;1
18439;3162;4
18440;3162;0
18441;3162;0
18442;3169;7
18443;3171;2
18444;3173;2
18445;3179;6
18446;3180;1
18447;3185;5
18448;3190;5
18449;3195;5
18450;3195;0
18451;3197;2
18452;3202;5
18453;3202;0
18454;3216;14
18455;3217;1
18456;3220;3
18457;3227;7
18458;3232;5
18459;3236;4
18460;3239;3
18461;3246;7
18462;3249;3
18463;3250;1
18464;3255;5
18465;3253;-2
18466;3269;16
18467;3279;10
18468;3282;3
18469;3291;9
18470;3295;4
18471;3297;2
18472;3298;1
18473;3304;6
18474;3310;6
18475;3312;2
18476;3317;5
18477;3320;3
18478;3321;1
18479;3328;7
18480;3330;2
18481;3345;15
18482;3348;3
18483;3351;3
18484;3351;0
18485;3351;0
18486;3356;5
18487;3359;3
18488;3376;17
18489;3376;0
18490;3377;1
18491;3378;1
18492;3381;3
18493;3382;1
18494;3389;7
18495;3390;1
18496;3390;0
18497;3395;5
18498;3397;2
18499;3402;5
18500;3403;1
18501;3404;1
18502;3410;6
18503;3411;1
18504;3411;0
18505;3412;1
18506;3417;5
18507;3425;8
18508;3427;2
18509;3431;4
18510;3438;7
18511;3444;6
18512;3445;1
18513;3446;1
18514;3447;1
18515;3454;7
18516;3461;7
18517;3466;5
18518;3473;7
18519;3475;2
18520;3480;5
18521;3490;10
18522;3490;0
18523;3497;7
18524;3500;3
18525;3506;6
18526;3511;5
18527;3514;3
18528;3516;2
18529;3519;3
18530;3522;3
18531;3523;1
18532;3545;22
18533;3559;14
18534;3564;5
18535;3569;5
18536;3575;6
18537;3583;8
18538;3585;2
18539;3590;5
18540;3600;10
18541;3615;15
18542;3622;7
18543;3628;6
18544;3634;6
18545;3636;2
18546;3641;5
18547;3643;2
18548;3652;9
18549;3665;13
18550;3675;10
18551;3686;11
18552;3679;-7
18553;3691;12
18554;3700;9
18555;3709;9
18556;3719;10
18557;3727;8
18558;3731;4
18559;3736;5
18560;3743;7
18561;3746;3
18562;3759;13
18563;3763;4
18564;3775;12
18565;3780;5
18566;3784;4
18567;3787;3
18568;3797;10
18569;3804;7
18570;3810;6
18571;3818;8
18572;3830;12
18573;3837;7
18574;3840;3
18575;3844;4
18576;3847;3
18577;3852;5
18578;3861;9
18579;3866;5
18580;3874;8
18581;3875;1
18582;3878;3
18583;3880;2
18584;3888;8
18585;3892;4
18586;3899;7
