condition;measurement;ncases
18283;1;1
18284;1;0
18285;2;1
18286;2;0
18287;5;3
18288;5;0
18289;5;0
18290;6;1
18291;6;0
18292;8;2
18293;8;0
18294;8;0
18295;11;3
18296;11;0
18297;11;0
18298;12;1
18299;12;0
18300;12;0
18301;12;0
18302;12;0
18303;13;1
18304;13;0
18305;14;1
18306;14;0
18307;14;0
18308;14;0
18309;14;0
18310;14;0
18311;14;0
18312;14;0
18313;16;2
18314;16;0
18315;16;0
18316;16;0
18317;16;0
18318;16;0
18319;17;1
18320;17;0
18321;25;8
18322;32;7
18323;55;23
18324;74;19
18325;107;33
18326;184;77
18327;237;53
18328;403;166
18329;519;116
18330;594;75
18331;782;188
18332;1147;365
18333;1586;439
18334;2219;633
18335;2978;759
18336;3212;234
18337;4679;1467
18338;6512;1833
18339;9169;2657
18340;13663;4494
18341;20030;6367
18342;26025;5995
18343;34898;8873
18344;46136;11238
18345;56755;10619
18346;68837;12082
18347;86693;17856
18348;105383;18690
18349;125013;19630
18350;143912;18899
18351;165987;22075
18352;192301;26314
18353;224560;32259
18354;256792;32232
18355;289087;32295
18356;321477;32390
18357;351354;29877
18358;382747;31393
18359;413516;30769
18360;444731;31215
18361;480667;35936
18362;515081;34414
18363;544183;29102
18364;571440;27257
18365;598380;26940
18366;627205;28825
18367;652611;25406
18368;682626;30015
18369;715656;33030
18370;743588;27932
18371;769684;26096
18372;799512;29828
18373;825429;25917
18374;854288;28859
18375;887858;33570
18376;920185;32327
18377;950581;30396
18378;977082;26501
18379;1000785;23703
18380;1025362;24577
18381;1051800;26438
18382;1081020;29220
18383;1115946;34926
18384;1143296;27350
18385;1167593;24297
18386;1191678;24085
18387;1216209;24531
18388;1240769;24560
18389;1268180;27411
18390;1295019;26839
18391;1320155;25136
18392;1339022;18867
18393;1358293;19271
18394;1381241;22948
18395;1401649;20408
18396;1428467;26818
18397;1453214;24747
18398;1477373;24159
18399;1495736;18363
18400;1518126;22390
18401;1539133;21007
18402;1561830;22697
18403;1587596;25766
18404;1611253;23657
18405;1632364;21111
18406;1652431;20067
18407;1671104;18673
18408;1690754;19650
18409;1709303;18549
18410;1731625;22322
18411;1756098;24473
18412;1779731;23633
18413;1798718;18987
18414;1816154;17436
18415;1837656;21502
18416;1857511;19855
18417;1879150;21639
18418;1904550;25400
18419;1925710;21160
18420;1943626;17916
18421;1961263;17637
18422;1979647;18384
18423;2000757;21110
18424;2023890;23133
18425;2048756;24866
18426;2073964;25208
18427;2092912;18948
18428;2112731;19819
18429;2136401;23670
18430;2163465;27064
18431;2191991;28526
18432;2223553;31562
18433;2255823;32270
18434;2280971;25148
18435;2313123;32152
18436;2350198;37075
18437;2386074;35876
18438;2426391;40317
18439;2472385;45994
18440;2513731;41346
18441;2554461;40730
18442;2595744;41283
18443;2642174;46430
18444;2693993;51819
18445;2750622;56629
18446;2801983;51361
18447;2847664;45681
18448;2898432;50768
18449;2941517;43085
18450;3002171;60654
18451;3062290;60119
18452;3124786;62496
18453;3192841;68055
18454;3252874;60033
18455;3311312;58438
18456;3370208;58896
18457;3438244;68036
18458;3506364;68120
18459;3582184;75820
18460;3654445;72261
18461;3716980;62535
18462;3777456;60476
18463;3839546;62090
18464;3904066;64520
18465;3974630;70564
18466;4043070;68440
18467;4116393;73323
18468;4181308;64915
18469;4236083;54775
18470;4292934;56851
18471;4359391;66457
18472;4431244;71853
18473;4498701;67457
18474;4567420;68719
18475;4623604;56184
18476;4669149;45545
18477;4714678;45529
18478;4773479;58801
18479;4827936;54457
18480;4887293;59357
18481;4946590;59297
18482;5000709;54119
18483;5046463;45754
18484;5094087;47624
18485;5142088;48001
18486;5198137;56049
18487;5249451;51314
18488;5314791;65340
18489;5361712;46921
18490;5400904;39192
18491;5437580;36676
18492;5482614;45034
18493;5529973;47359
18494;5574013;44040
18495;5622842;48829
18496;5665887;43045
18497;5700119;34232
18498;5736641;36522
18499;5777001;40360
18500;5822167;45166
18501;5867547;45380
18502;5914395;46848
18503;5957126;42731
18504;5991507;34381
18505;6026895;35388
18506;6068759;41864
18507;6109773;41014
18508;6153983;44210
18509;6204376;50393
18510;6247464;43088
18511;6278633;31169
18512;6302200;23567
18513;6329593;27393
18514;6363650;34057
18515;6399723;36073
18516;6447501;47778
18517;6488563;41062
18518;6522914;34351
18519;6557342;34428
18520;6596849;39507
18521;6635867;39018
18522;6681004;45137
18523;6730288;49284
18524;6772447;42159
18525;6810862;38415
18526;6862834;51972
18527;6902696;39862
18528;6941758;39062
18529;6988869;47111
18530;7037151;48282
18531;7081803;44652
18532;7119311;37508
18533;7152546;33235
18534;7195994;43448
18535;7235428;39434
18536;7281081;45653
18537;7336043;54962
18538;7384578;48535
18539;7420293;35715
18540;7459742;39449
18541;7504998;45256
18542;7556060;51062
18543;7614653;58593
18544;7671034;56381
18545;7725952;54918
18546;7771893;45941
18547;7813735;41842
18548;7865983;52248
18549;7925748;59765
18550;7990636;64888
18551;8059782;69146
18552;8116518;56736
18553;8165858;49340
18554;8233610;67752
18555;8295581;61971
18556;8358864;63283
18557;8435164;76300
18558;8517113;81949
18559;8599842;82729
18560;8661982;62140
18561;8729385;67403
18562;8806228;76843
18563;8885632;79404
18564;8976684;91052
18565;9075924;99240
18566;9165619;89695
18567;9270467;104848
18568;9355775;85308
18569;9482891;127116
18570;9587499;104608
18571;9716853;129354
18572;9844858;128005
18573;9972308;127450
18574;10087380;115072
18575;10207953;120573
18576;10348449;140496
18577;10495075;146626
18578;10659914;164839
18579;10840303;180389
18580;11008064;167761
18581;11144288;136224
18582;11307233;162945
18583;11471155;163922
18584;11644332;173177
18585;11835880;191548
18586;12034177;198297
18587;12213451;179274
18588;12360235;146784
18589;12534684;174449
18590;12710198;175514
18591;12893485;183287
18592;13005807;112322
18593;13213995;208188
18594;13369528;155533
18595;13509762;140234
18596;13670332;160570
18597;13858551;188219
18598;14061108;202557
18599;14284721;223613
18600;14517506;232785
18601;14733048;215542
18602;14914060;181012
18603;15108918;194858
18604;15333410;224492
18605;15555949;222539
18606;15787464;231515
18607;16027441;239977
18608;16245026;217585
18609;16432729;187703
18610;16627550;194821
18611;16836556;209006
18612;17083256;246700
18613;17322981;239725
18614;17574950;251969
18615;17766856;191906
18616;17954675;187819
18617;18153724;199049
18618;18351735;198011
18619;18581353;229618
18620;18775557;194204
18621;18873203;97646
18622;19099491;226288
18623;19255126;155635
18624;19429760;174634
18625;19630012;200252
18626;19863696;233684
18627;20099363;235667
18628;20252991;153628
18629;20553301;300310
18630;20762047;208746
18631;20946329;184282
18632;21181440;235111
18633;21436884;255444
18634;21715174;278290
18635;22010389;295215
18636;22271084;260695
18637;22484332;213248
18638;22699326;214994
18639;22926246;226920
18640;23156608;230362
18641;23392315;235707
18642;23635046;242731
18643;23836726;201680
18644;24014508;177782
18645;24157924;143416
18646;24334630;176706
18647;24517866;183236
18648;24711684;193818
18649;24902437;190753
18650;25073050;170613
18651;25204112;131062
18652;25356081;151969
18653;25503621;147540
18654;25657566;153945
18655;25826176;168610
18656;25992744;166568
18657;26135056;142312
18658;26247053;111997
18659;26382255;135202
18660;26497588;115333
18661;26619229;121641
18662;26743204;123975
18663;26877601;134397
18664;26981588;103987
18665;27071236;89648
18666;27161551;90315
18667;27257183;95632
18668;27352360;95177
18669;27458120;105760
18670;27557758;99638
18671;27644880;87122
18672;27709901;65021
18673;27764087;54186
18674;27826806;62719
18675;27896924;70118
18676;27966848;69924
18677;28046145;79297
18678;28117670;71525
18679;28174750;57080
18680;28230970;56220
18681;28303233;72263
18682;28377965;74732
18683;28455466;77501
18684;28532812;77346
18685;28597387;64575
18686;28648744;51357
18687;28706973;58229
18688;28764033;57060
18689;28831226;67193
18690;28899277;68051
18691;28965728;66451
18692;29023931;58203
18693;29064938;41007
18694;29109974;45036
18695;29167616;57642
18696;29225536;57920
18697;29288010;62474
18698;29349533;61523
18699;29402465;52932
18700;29440686;38221
18701;29497352;56666
18702;29551309;53957
18703;29610445;59136
18704;29670983;60538
18705;29732612;61629
18706;29787986;55374
18707;29821754;33768
18708;29873347;51593
18709;29926950;53603
18710;30013910;86960
18711;30081375;67465
18712;30158696;77321
18713;30221396;62700
18714;30264493;43097
18715;30333922;69429
18716;30395171;61249
18717;30462210;67039
18718;30541255;79045
18719;30611086;69831
18720;30674153;63067
18721;30709125;34972
18722;30786804;77679
18723;30847348;60544
18724;30922386;75038
18725;31002264;79878
18726;31084962;82698
18727;31151497;66535
18728;31197877;46380
18729;31268107;70230
18730;31345985;77878
18731;31421360;75375
18732;31495649;74289
18733;31575640;79991
18734;31628013;52373
18735;31670031;42018
18736;31737964;67933
18737;31799237;61273
18738;31862094;62857
18739;31929351;67257
18740;31991750;62399
18741;32045113;53363
18742;32077178;32065
18743;32124869;47691
18744;32175725;50856
18745;32230850;55125
18746;32289049;58199
18747;32346971;57922
18748;32392274;45303
18749;32421641;29367
18750;32472201;50560
18751;32512934;40733
18752;32557669;44735
18753;32605183;47514
18754;32652472;47289
18755;32686965;34493
18756;32708357;21392
18757;32745255;36898
18758;32778906;33651
18759;32814784;35878
18760;32852871;38087
18761;32895169;42298
18762;32923982;28813
18763;32940846;16864
18764;32969512;28666
18765;32997331;27819
