condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;2;2
18293;2;0
18294;2;0
18295;8;6
18296;8;0
18297;9;1
18298;9;0
18299;9;0
18300;13;4
18301;14;1
18302;14;0
18303;15;1
18304;16;1
18305;17;1
18306;18;1
18307;18;0
18308;18;0
18309;19;1
18310;19;0
18311;20;1
18312;22;2
18313;23;1
18314;23;0
18315;28;5
18316;30;2
18317;34;4
18318;37;3
18319;44;7
18320;56;12
18321;61;5
18322;94;33
18323;134;40
18324;189;55
18325;246;57
18326;295;49
18327;374;79
18328;429;55
18329;483;54
18330;630;147
18331;889;259
18332;1301;412
18333;1790;489
18334;2270;480
18335;2634;364
18336;3077;443
18337;3692;615
18338;4462;770
18339;5468;1006
18340;6534;1066
18341;7792;1258
18342;9007;1215
18343;10395;1388
18344;12744;2349
18345;15126;2382
18346;17843;2717
18347;20970;3127
18348;24219;3249
18349;27062;2843
18350;29954;2892
18351;34281;4327
18352;38815;4534
18353;43789;4974
18354;48718;4929
18355;53699;4981
18356;57772;4073
18357;61422;3650
18358;66738;5316
18359;72224;5486
18360;77387;5163
18361;82293;4906
18362;86660;4367
18363;90273;3613
18364;93812;3539
18365;98017;4205
18366;102365;4348
18367;107465;5100
18368;112808;5343
18369;117798;4990
18370;122534;4736
18371;126394;3860
18372;131260;4866
18373;136035;4775
18374;141540;5505
18375;146708;5168
18376;151689;4981
18377;155453;3764
18378;158926;3473
18379;163630;4704
18380;168357;4727
18381;173807;5450
18382;178771;4964
18383;183501;4730
18384;186731;3230
18385;189708;2977
18386;193091;3383
18387;196780;3689
18388;200616;3836
18389;204387;3771
18390;207439;3052
18391;209589;2150
18392;211911;2322
18393;215500;3589
18394;218895;3395
18395;222195;3300
18396;224813;2618
18397;227334;2521
18398;229406;2072
18399;231232;1826
18400;233809;2577
18401;236867;3058
18402;239579;2712
18403;242133;2554
18404;244174;2041
18405;245682;1508
18406;247037;1355
18407;248650;1613
18408;250309;1659
18409;252118;1809
18410;253854;1736
18411;255362;1508
18412;256469;1107
18413;257539;1070
18414;258983;1444
18415;260453;1470
18416;261802;1349
18417;263040;1238
18418;264150;1110
18419;264944;794
18420;265662;718
18421;266756;1094
18422;267915;1159
18423;269101;1186
18424;270108;1007
18425;271162;1054
18426;272050;888
18427;272857;807
18428;273888;1031
18429;274971;1083
18430;275970;999
18431;276990;1020
18432;277974;984
18433;278640;666
18434;279264;624
18435;280156;892
18436;281038;882
18437;281815;777
18438;282512;697
18439;283151;639
18440;283785;634
18441;284192;407
18442;284812;620
18443;285216;404
18444;285279;63
18445;285285;6
18446;285787;502
18447;286412;625
18448;286931;519
18449;287290;359
18450;287874;584
18451;288511;637
18452;289154;643
18453;289678;524
18454;290504;826
18455;291154;650
18456;291691;537
18457;292931;1240
18458;293469;538
18459;294116;647
18460;294803;687
18461;295632;829
18462;296358;726
18463;296944;586
18464;297389;445
18465;297952;563
18466;298731;779
18467;299500;769
18468;300270;770
18469;301020;750
18470;301708;688
18471;302261;553
18472;303063;802
18473;303910;847
18474;304793;883
18475;305562;769
18476;306309;747
18477;307251;942
18478;307926;675
18479;308832;906
18480;309796;964
18481;310696;900
18482;311461;765
18483;312574;1113
18484;313392;818
18485;314542;1150
18486;315581;1039
18487;316729;1148
18488;318190;1461
18489;319232;1042
18490;320343;1111
18491;321064;721
18492;322177;1113
18493;323008;831
18494;324203;1195
18495;325263;1060
18496;326595;1332
18497;327643;1048
18498;328620;977
18499;329821;1201
18500;330967;1146
18501;332509;1542
18502;333806;1297
18503;334916;1110
18504;336668;1752
