condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;1;1
18337;6;5
18338;10;4
18339;15;5
18340;23;8
18341;33;10
18342;43;10
18343;43;0
18344;46;3
18345;50;4
18346;60;10
18347;75;15
18348;88;13
18349;104;16
18350;144;40
18351;149;5
18352;172;23
18353;181;9
18354;205;24
18355;227;22
18356;266;39
18357;342;76
18358;457;115
18359;520;63
18360;545;25
18361;582;37
18362;624;42
18363;767;143
18364;865;98
18365;998;133
18366;1165;167
18367;1302;137
18368;1349;47
18369;1405;56
18370;1490;85
18371;1565;75
18372;1627;62
18373;1678;51
18374;1716;38
18375;1758;42
18376;1804;46
18377;1862;58
18378;1869;7
18379;1904;35
18380;1939;35
18381;2002;63
18382;2039;37
18383;2086;47
18384;2118;32
18385;2149;31
18386;2189;40
18387;2207;18
18388;2233;26
18389;2298;65
18390;2325;27
18391;2349;24
18392;2418;69
18393;2486;68
18394;2519;33
18395;2612;93
18396;2645;33
18397;2686;41
18398;2738;52
18399;2753;15
18400;2791;38
18401;2855;64
18402;2939;84
18403;2964;25
18404;3028;64
18405;3115;87
18406;3164;49
18407;3189;25
18408;3290;101
18409;3369;79
18410;3444;75
18411;3468;24
18412;3546;78
18413;3623;77
18414;3702;79
18415;3760;58
18416;3843;83
18417;3939;96
18418;4007;68
18419;4094;87
18420;4331;237
18421;4440;109
18422;4520;80
18423;4623;103
18424;4741;118
18425;4869;128
18426;4966;97
18427;5080;114
18428;5263;183
18429;5493;230
18430;5682;189
18431;5767;85
18432;5946;179
18433;6153;207
18434;6315;162
18435;6461;146
18436;6662;201
18437;6990;328
18438;7177;187
18439;7427;250
18440;7682;255
18441;7948;266
18442;8222;274
18443;8503;281
18444;8781;278
18445;9078;297
18446;9396;318
18447;9708;312
18448;10020;312
18449;10362;342
18450;10838;476
18451;11092;254
18452;11564;472
18453;12027;463
18454;12513;486
18455;12997;484
18456;13591;594
18457;14085;494
18458;14581;496
18459;15066;485
18460;15607;541
18461;16186;579
18462;16752;566
18463;17149;397
18464;17881;732
18465;18379;498
18466;18986;607
18467;19360;374
18468;19952;592
18469;20531;579
18470;21209;678
18471;21699;490
18472;22585;886
18473;23271;686
18474;24009;738
18475;24783;774
18476;25336;553
18477;26066;730
18478;27047;981
18479;27793;746
18480;28315;522
18481;29057;742
18482;29652;595
18483;30609;957
18484;31304;695
18485;31747;443
18486;32654;907
18487;33323;669
18488;33821;498
18489;34528;707
18490;35329;801
18491;35702;373
18492;36352;650
18493;37112;760
18494;37547;435
18495;38074;527
18496;38532;458
18497;38946;414
18498;39348;402
18499;39641;293
18500;39964;323
18501;40447;483
18502;40720;273
18503;41067;347
18504;41424;357
18505;41893;469
18506;42127;234
18507;42437;310
18508;42688;251
18509;42998;310
18510;43293;295
18511;43587;294
18512;43893;306
18513;44281;388
18514;44930;649
18515;45473;543
18516;46160;687
18517;46721;561
18518;47287;566
18519;47836;549
18520;48429;593
18521;49015;586
18522;49627;612
