condition;measurement;ncases
18283;0;0
18284;0;0
18285;0;0
18286;0;0
18287;0;0
18288;0;0
18289;0;0
18290;0;0
18291;0;0
18292;0;0
18293;0;0
18294;0;0
18295;0;0
18296;0;0
18297;0;0
18298;0;0
18299;0;0
18300;0;0
18301;0;0
18302;0;0
18303;0;0
18304;0;0
18305;0;0
18306;0;0
18307;0;0
18308;0;0
18309;0;0
18310;0;0
18311;0;0
18312;0;0
18313;0;0
18314;0;0
18315;0;0
18316;0;0
18317;0;0
18318;0;0
18319;0;0
18320;0;0
18321;0;0
18322;0;0
18323;0;0
18324;0;0
18325;0;0
18326;0;0
18327;0;0
18328;0;0
18329;0;0
18330;0;0
18331;0;0
18332;0;0
18333;0;0
18334;0;0
18335;0;0
18336;0;0
18337;0;0
18338;0;0
18339;0;0
18340;0;0
18341;0;0
18342;0;0
18343;0;0
18344;0;0
18345;0;0
18346;0;0
18347;0;0
18348;0;0
18349;0;0
18350;0;0
18351;0;0
18352;0;0
18353;0;0
18354;0;0
18355;0;0
18356;0;0
18357;0;0
18358;0;0
18359;0;0
18360;0;0
18361;0;0
18362;1;1
18363;1;0
18364;1;0
18365;1;0
18366;1;0
18367;1;0
18368;1;0
18369;1;0
18370;1;0
18371;1;0
18372;1;0
18373;1;0
18374;1;0
18375;1;0
18376;1;0
18377;1;0
18378;1;0
18379;1;0
18380;1;0
18381;6;5
18382;6;0
18383;7;1
18384;10;3
18385;10;0
18386;12;2
18387;21;9
18388;25;4
18389;25;0
18390;34;9
18391;34;0
18392;51;17
18393;56;5
18394;65;9
18395;70;5
18396;85;15
18397;106;21
18398;122;16
18399;128;6
18400;130;2
18401;167;37
18402;180;13
18403;193;13
18404;205;12
18405;212;7
18406;222;10
18407;233;11
18408;249;16
18409;255;6
18410;278;23
18411;283;5
18412;310;27
18413;323;13
18414;354;31
18415;399;45
18416;419;20
18417;453;34
18418;469;16
18419;482;13
18420;484;2
18421;496;12
18422;524;28
18423;560;36
18424;591;31
18425;632;41
18426;705;73
18427;728;23
18428;844;116
18429;885;41
18430;902;17
18431;909;7
18432;919;10
18433;922;3
18434;941;19
18435;967;26
18436;992;25
18437;1015;23
18438;1076;61
18439;1089;13
18440;1103;14
18441;1118;15
18442;1128;10
18443;1158;30
18444;1190;32
18445;1221;31
18446;1240;19
18447;1248;8
18448;1265;17
18449;1290;25
18450;1297;7
18451;1318;21
18452;1356;38
18453;1380;24
18454;1389;9
18455;1465;76
18456;1498;33
18457;1516;18
18458;1526;10
18459;1552;26
18460;1576;24
18461;1581;5
18462;1606;25
18463;1619;13
18464;1629;10
18465;1640;11
18466;1654;14
18467;1674;20
18468;1674;0
18469;1681;7
18470;1691;10
18471;1703;12
18472;1711;8
18473;1726;15
18474;1728;2
18475;1730;2
18476;1734;4
18477;1734;0
18478;1760;26
18479;1763;3
18480;1768;5
18481;1796;28
18482;1797;1
18483;1804;7
18484;1832;28
18485;1831;-1
18486;1841;10
18487;1847;6
18488;1858;11
18489;1858;0
18490;1869;11
18491;1869;0
18492;1889;20
18493;1892;3
18494;1899;7
18495;1906;7
18496;1907;1
18497;1911;4
18498;1916;5
18499;1924;8
18500;1930;6
18501;1933;3
18502;1943;10
18503;1946;3
18504;1953;7
18505;1958;5
18506;1962;4
18507;1976;14
18508;1979;3
18509;1983;4
18510;1983;0
18511;1987;4
18512;1989;2
18513;1994;5
18514;1999;5
18515;2003;4
18516;2007;4
18517;2009;2
18518;2011;2
18519;2013;2
18520;2016;3
18521;2019;3
18522;2022;3
18523;2024;2
18524;2026;2
18525;2026;0
18526;2028;2
18527;2028;0
18528;2029;1
18529;2029;0
18530;2029;0
