dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18317,35,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18318,36,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18319,37,0,0.142857142857143,0,0,0,7,0.01,0,0
18320,38,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18321,39,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18322,40,-1,0.142857142857143,0,0,0,7,0.01,0,0
18323,41,Inf,0,0,0.142857142857143,0,7,0.01,0.0357142857142857,0
18324,42,0,0.142857142857143,0,0.25,0,7,0.01,0.0689655172413793,0
18325,43,1.38047614284762,0.428571428571429,1,0.333333333333333,0,7,0.01,0.1,0
18326,44,0.270977818604485,0.428571428571429,1,0.4,0,8,0.01,0.129032258064516,0
18327,45,0.138550085106622,0.428571428571429,1,0.454545454545454,0,10,0.01,0.15625,0
18328,46,0.0877527783785379,0.428571428571429,1,0.5,0,12,0.01,0.181818181818182,0
18329,47,0.105541596785133,0.571428571428571,1,0.538461538461538,0,14,0.01,0.205882352941176,0
18330,48,0.36098226559817,0.857142857142857,1,0.538461538461538,0,14,0.01,0.2,0
18331,49,0.138016681430072,0.857142857142857,1,0.571428571428571,0,17,0.01,0.222222222222222,0
18332,50,0.138138238435485,1,1,0.6,0,17,0.01,0.243243243243243,0
18333,51,0.158455671993513,1.14285714285714,1,0.625,0,17,0.01,0.263157894736842,0
18334,52,0.140601101957388,1.28571428571429,1,0.647058823529412,0,17,0.01,0.282051282051282,0
18335,53,0.167821035154468,1.57142857142857,1,0.666666666666667,0,17,0.01,0.3,0
18336,54,0.0946955801192837,1.57142857142857,1,0.684210526315789,0,17,0.01,0.317073170731707,0
18337,55,0.052828328163939,1.57142857142857,1,0.7,0,17,0.01,0.333333333333333,0
18338,56,0.0470398664699177,1.71428571428571,1,0.714285714285714,0,17,0.01,0.348837209302326,0
18339,57,0.0387060635807864,1.85714285714286,1,0.727272727272727,0,17,0.01,0.363636363636364,0
18340,58,-0.0200086182000048,1.85714285714286,0,0.739130434782609,0,17,0.01,0.377777777777778,0
18341,59,0.0432618490028133,2.28571428571429,1,0.75,0,17,0.01,0.391304347826087,0
