dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18318,36,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18319,37,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18320,38,0,0.142857142857143,0,0,0,7,0.01,0,0
18321,39,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18322,40,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18323,41,1,0.428571428571429,1,0,0,7,0.01,0,0
18324,42,0.6583123951777,0.571428571428571,1,0.142857142857143,0,7,0.01,0.0344827586206897,0
18325,43,1.92843944375799,1.57142857142857,1,0.25,0,7,0.01,0.0666666666666667,0
18326,44,0.236945971208543,1.57142857142857,1,0.333333333333333,0,7,0.01,0.0967741935483871,0
18327,45,0.328381288988293,2.28571428571429,1,0.4,0,8,0.01,0.125,0
18328,46,0.138754841890061,2.28571428571429,1,0.454545454545455,0,10,0.01,0.151515151515152,0
18329,47,0.124928173195478,2.57142857142857,1,0.5,0,12,0.01,0.176470588235294,0
18330,48,0.0402169398982512,2.42857142857143,1,0.538461538461538,0,12,0.01,0.2,0
18331,49,-0.023074267789038,2.14285714285714,0,0.571428571428571,0,12,0.01,0.222222222222222,0
18332,50,-0.0715377176171489,1.14285714285714,0,0.6,0,12,0.01,0.243243243243243,0
18333,51,-0.101155857737723,1.71428571428571,0,0.625,0,12,0.01,0.263157894736842,0
18334,52,-0.146152672624067,1.28571428571429,0,0.647058823529412,0,12,0.01,0.282051282051282,0
18335,53,-0.056129023362887,2.85714285714286,0,0.666666666666667,0,12,0.01,0.3,0
18336,54,0.220184728584012,4.14285714285714,1,0.684210526315789,0,12,0.01,0.317073170731707,0
18337,55,0.345670648073873,4.85714285714286,1,0.7,0,12,0.01,0.333333333333333,0
18338,56,0.163050392611354,5.71428571428571,1,0.714285714285714,0,16,0.01,0.348837209302326,0
18339,57,0.294549122694565,7.71428571428571,1,0.714285714285714,0,16,0.01,0.340909090909091,0
18340,58,0.239429862745862,9,1,0.714285714285714,0,16,0.01,0.333333333333333,0
18341,59,0.151769212905059,9.14285714285714,1,0.714285714285714,0,16,0.01,0.326086956521739,0
