dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18325,43,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18326,44,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18327,45,0.414213562373095,0.285714285714286,1,0,0,7,0.01,0,0
18328,46,2.69684550213647,1.14285714285714,1,0,0,7,0.01,0,0
18329,47,0.637964233207884,1.71428571428571,1,0,0,7,0.01,0,0
18330,48,0.140175425099138,1.71428571428571,1,0,0,7,0.01,0,0
18331,49,0.180405287753593,2.28571428571429,1,0.142857142857143,0,7,0.01,0.0277777777777778,0
18332,50,0.062063992760178,2.57142857142857,1,0.25,0,7,0.01,0.0540540540540541,0
18333,51,-0.110061181190762,2.57142857142857,0,0.333333333333333,0,7,0.01,0.0789473684210526,0
18334,52,0.158141673039815,4.14285714285714,1,0.4,0,7,0.01,0.102564102564103,0
18335,53,-0.0286836265241901,3.71428571428571,0,0.454545454545455,0,7,0.01,0.125,0
18336,54,0.171716253583742,4.71428571428571,1,0.5,0,7,0.01,0.146341463414634,0
18337,55,0.313138630862784,6.28571428571429,1,0.538461538461538,0,7,0.01,0.166666666666667,0
18338,56,0.241567903075202,7.28571428571429,1,0.571428571428571,0,7,0.01,0.186046511627907,0
18339,57,0.192280523499117,8.57142857142857,1,0.6,0,7,0.01,0.204545454545455,0
18340,58,0.294529362497219,11.1428571428571,1,0.625,0,9,0.01,0.222222222222222,0
18341,59,0.281009124107921,13.8571428571429,1,0.647058823529412,0,9,0.01,0.239130434782609,0
18342,60,0.298505662993709,17.7142857142857,1,0.666666666666667,0,10,0.01,0.25531914893617,0
18343,61,0.745864467327101,31.5714285714286,1,0.684210526315789,0,10,0.01,0.270833333333333,0
18344,62,0.291787958146424,35,1,0.7,0,10,0.01,0.285714285714286,0
