dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18323,41,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18324,42,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18325,43,0,0.142857142857143,0,0,0,7,0.01,0,0
18326,44,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18327,45,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18328,46,-1,0.142857142857143,0,0,0,7,0.01,0,0
18329,47,Inf,0,0,0.142857142857143,0,7,0.01,0.0294117647058824,0
18330,48,0.290994448735806,0,0,0.25,0,7,0.01,0.0571428571428571,0
18331,49,0.0954451150103322,0,0,0.333333333333333,0,7,0.01,0.0833333333333333,0
18332,50,0,0,0,1,0.175,7,0.01,0.0833333333333333,1
18333,51,1.08166599946613,0.428571428571429,1,1,0.195121951219512,7,0.01,0.0833333333333333,1
18334,52,1.36968027703836,1,1,1,0.190476190476191,7,0.01,0.0810810810810811,1
18335,53,1.41286506216555,2.42857142857143,1,1,0.186046511627907,7,0.01,0.0789473684210526,1
18336,54,0.552985739111069,3.57142857142857,1,1,0.181818181818182,7,0.01,0.0769230769230769,1
18337,55,0.874215282946244,7.28571428571429,1,1,0.177777777777778,7,0.01,0.075,1
18338,56,0.539057761045526,11,1,1,0.173913043478261,7,0.01,0.0731707317073171,1
18339,57,0.155749359020323,11.8571428571429,1,1,0.170212765957447,7,0.01,0.0714285714285714,1
18340,58,0.178428538446315,15.8571428571429,1,1,0.170212765957447,7,0.01,0.0930232558139535,1
18341,59,0.075544139472894,18.2857142857143,1,1,0.170212765957447,7,0.01,0.113636363636364,1
18342,60,0.00340939524680042,20.2857142857143,0,1,0.170212765957447,7,0.01,0.133333333333333,1
18343,61,-0.0255495868070874,24,0,1,0.170212765957447,7,0.01,0.152173913043478,1
