dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,Inf,0.428571428571429,1,0,0,7,0.01,0,0
18323,41,0.290994448735805,0.428571428571429,1,0,0,7,0.01,0,0
18324,42,0.0954451150103323,0.428571428571429,1,0,0,7,0.01,0,0
18325,43,0,0.428571428571429,0,0,0,7,0.01,0,0
18326,44,0.290994448735806,0.857142857142857,1,0,0,7,0.01,0,0
18327,45,0,0.857142857142857,0,0,0,7,0.01,0,0
18328,46,0.140175425099138,1.28571428571429,1,0,0,7,0.01,0,0
18329,47,-0.0392310771694773,0.857142857142857,0,0.142857142857143,0,7,0.01,0.0294117647058824,0
18330,48,-0.087129070824723,0.857142857142857,0,0.25,0,7,0.01,0.0571428571428571,0
18331,49,-0.0871290708247232,1.14285714285714,0,0.333333333333333,0,7,0.01,0.0833333333333333,0
18332,50,-0.118337969955226,1.14285714285714,0,0.4,0,8,0.01,0.108108108108108,0
18333,51,-0.25,0.714285714285714,0,0.454545454545455,0,8,0.01,0.131578947368421,0
18334,52,0.118033988749895,1.28571428571429,1,0.5,0,8,0.01,0.153846153846154,0
18335,53,0,0.857142857142857,0,0.538461538461538,0,8,0.01,0.175,0
18336,54,0.358732440973515,2,1,0.571428571428572,0,13,0.01,0.195121951219512,0
18337,55,0.300909952696547,2.71428571428571,1,0.6,0,16,0.01,0.214285714285714,0
18338,56,0.116918439116014,2.42857142857143,1,0.625,0,16,0.01,0.232558139534884,0
18339,57,0.0616874457947308,2.42857142857143,1,0.647058823529412,0,16,0.01,0.25,0
18340,58,0.505630952390693,4.71428571428571,1,0.647058823529412,0,16,0.01,0.244444444444444,0
18341,59,0.129003050183632,4.14285714285714,1,0.666666666666667,0,17,0.01,0.260869565217391,0
18342,60,0.203700555630141,5.42857142857143,1,0.666666666666667,0,17,0.01,0.25531914893617,0
18343,61,0.173670474716867,6,1,0.684210526315789,0,17,0.01,0.270833333333333,0
