dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18317,35,21.8546129552293,3.28571428571429,1,0,0,7,0.01,0,0
18318,36,0.60606699131757,4.71428571428571,1,0,0,7,0.01,0,0
18319,37,0.158835430367877,4.71428571428571,1,0,0,7,0.01,0,0
18320,38,0.0580080280755744,5.14285714285714,1,0,0,7,0.01,0,0
18321,39,-0.010173541121217,5.85714285714286,0,0,0,7,0.01,0,0
18322,40,-0.108526305175666,6.71428571428571,0,0,0,7,0.01,0,0
18323,41,-0.413208156933474,6.85714285714286,0,0.142857142857143,0,7,0.01,0.0357142857142857,0
18324,42,-0.0876335588042173,3.71428571428571,0,0.25,0,7,0.01,0.0689655172413793,0
18325,43,0.332042147676207,2.71428571428571,0,0.333333333333333,0,7,0.01,0.1,0
18326,44,0.112537184038656,3.14285714285714,0,0.4,0,7,0.01,0.129032258064516,0
18327,45,0.0453131831046284,3.42857142857143,0,0.454545454545454,0,7,0.01,0.15625,0
18328,46,0.0548275151674566,6.28571428571429,1,0.5,0,8,0.01,0.181818181818182,0
18329,47,-0.0167977994511103,5.42857142857143,0,1,0.205882352941177,8,0.01,0.181818181818182,1
18330,48,-0.0129920047898824,6.57142857142857,0,1,0.228571428571429,8,0.01,0.181818181818182,1
18331,49,0.23923026289639,8.71428571428571,1,1,0.25,8,0.01,0.181818181818182,1
18332,50,1.74233349516046,20.4285714285714,1,1,0.243243243243243,8,0.01,0.176470588235294,1
18333,51,0.214182405754766,20,1,1,0.236842105263158,8,0.01,0.171428571428571,1
18334,52,0.0440500520355629,19.2857142857143,1,1,0.230769230769231,8,0.01,0.166666666666667,1
18335,53,-0.0608469029441207,17.8571428571429,0,1,0.230769230769231,8,0.01,0.189189189189189,1
18336,54,-0.0558778415149231,18.4285714285714,0,1,0.225,8,0.01,0.184210526315789,1
18337,55,-0.177244698940615,17,0,1,0.219512195121951,8,0.01,0.179487179487179,1
18338,56,-0.302783822658937,16.8571428571429,0,1,0.219512195121951,8,0.01,0.2,1
18339,57,0,8.71428571428571,0,1,0.219512195121951,8,0.01,0.219512195121951,1
18340,58,0.0555001137487324,11.8571428571429,0,1,0.219512195121951,8,0.01,0.238095238095238,1
