dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18321,39,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18322,40,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18323,41,0,0.142857142857143,0,0,0,7,0.01,0,0
18324,42,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18325,43,3.07430975749267,0.857142857142857,1,0,0,7,0.01,0,0
18326,44,0.22720173418454,0.857142857142857,1,0,0,7,0.01,0,0
18327,45,0.0315037566582103,0.714285714285714,1,0.142857142857143,0,7,0.01,0.03125,0
18328,46,-0.0305415820881485,0.714285714285714,0,0.25,0,7,0.01,0.0606060606060606,0
18329,47,-0.101111797830231,0.714285714285714,0,0.333333333333333,0,7,0.01,0.0882352941176471,0
18330,48,-0.113057686956662,0.714285714285714,0,0.4,0,8,0.01,0.114285714285714,0
18331,49,0.0797908482025899,1.14285714285714,1,0.454545454545454,0,10,0.01,0.138888888888889,0
18332,50,-0.0930541185974898,0.428571428571429,0,0.5,0,10,0.01,0.162162162162162,0
18333,51,-0.152001695994912,0.857142857142857,0,0.538461538461539,0,10,0.01,0.184210526315789,0
18334,52,1.69258240356725,3,1,0.571428571428571,0,10,0.01,0.205128205128205,0
18335,53,0.244769275589075,3,1,0.6,0,11,0.01,0.225,0
18336,54,0.116380499076911,3,1,0.625,0,13,0.01,0.24390243902439,0
18337,55,0.244620778531735,4.28571428571429,1,0.647058823529412,0,15,0.01,0.261904761904762,0
18338,56,0.0786667755051216,3.85714285714286,1,0.666666666666667,0,15,0.01,0.27906976744186,0
18339,57,0.245778184123785,6,1,0.666666666666667,0,15,0.01,0.272727272727273,0
18340,58,0.107883120555846,5.57142857142857,1,0.684210526315789,0,19,0.01,0.288888888888889,0
18341,59,0.0885030414583065,6,1,0.7,0,19,0.01,0.304347826086957,0
18342,60,0.101090983014056,7,1,0.714285714285714,0,19,0.01,0.319148936170213,0
18343,61,0.0590699510619347,7,1,0.727272727272727,0,19,0.01,0.333333333333333,0
