dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,Inf,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18297,15,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18298,16,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18299,17,0,0.142857142857143,0,0,0,7,0.01,0,0
18300,18,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18301,19,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18302,20,-1,0.142857142857143,0,0,0,7,0.01,0,0
18303,21,Inf,0,0,0.142857142857143,0,7,0.01,0.125,0
18304,22,0.290994448735806,0,0,0.25,0,7,0.01,0.222222222222222,0
18305,23,0.0954451150103322,0,0,0.333333333333333,0,7,0.01,0.3,0
18306,24,0,0,0,1,0.5,7,0.01,0.3,1
18307,25,-0.0871290708247231,0,0,1,0.533333333333333,7,0.01,0.3,1
18308,26,-0.225403330758517,0,0,1,0.5625,7,0.01,0.3,1
18309,27,-1,0,0,1,0.588235294117647,7,0.01,0.3,1
18310,28,0,0,0,1,0.611111111111111,7,0.01,0.3,1
18311,29,0,0,0,1,0.631578947368421,7,0.01,0.3,1
18312,30,0,0,0,1,0.65,7,0.01,0.3,1
18313,31,0,0,0,1,0.666666666666667,7,0.01,0.3,1
18314,32,0,0,0,1,0.681818181818182,7,0.01,0.3,1
18315,33,0,0,0,1,0.695652173913044,7,0.01,0.3,1
18316,34,0,0,0,1,0.666666666666667,7,0.01,0.272727272727273,1
18317,35,0,0,0,1,0.64,7,0.01,0.25,1
18318,36,0,0,0,1,0.615384615384615,7,0.01,0.230769230769231,1
18319,37,0,0,0,1,0.592592592592593,7,0.01,0.214285714285714,1
18320,38,0,0,0,1,0.571428571428571,7,0.01,0.2,1
18321,39,0,0,0,1,0.551724137931034,7,0.01,0.1875,1
18322,40,Inf,0.142857142857143,1,1,0.533333333333333,7,0.01,0.176470588235294,1
18323,41,5.90410505906933,1,1,1,0.516129032258065,7,0.01,0.166666666666667,1
18324,42,0.830205002083195,1.71428571428571,1,1,0.5,7,0.01,0.157894736842105,1
18325,43,0.764294438097175,3.14285714285714,1,1,0.484848484848485,7,0.01,0.15,1
18326,44,1.10966922178623,7,1,1,0.470588235294118,7,0.01,0.142857142857143,1
18327,45,1.18907363961068,15.4285714285714,1,1,0.457142857142857,7,0.01,0.136363636363636,1
18328,46,0.615958153764193,24,1,1,0.444444444444444,7,0.01,0.130434782608696,1
18329,47,0.244191707808868,28.2857142857143,1,1,0.444444444444444,7,0.01,0.166666666666667,1
18330,48,0.128530402450039,33,1,1,0.444444444444444,7,0.01,0.2,1
18331,49,0.0161298774878759,36.2857142857143,1,1,0.444444444444444,7,0.01,0.230769230769231,1
18332,50,-0.0564975162716494,41.5714285714286,0,1,0.444444444444444,7,0.01,0.259259259259259,1
18333,51,-0.254581103808612,37.7142857142857,0,1,0.444444444444444,7,0.01,0.285714285714286,1
18334,52,0.447823599649606,64.2857142857143,1,1,0.444444444444444,7,0.01,0.310344827586207,1
18335,53,0.324815606168855,74.2857142857143,1,1,0.444444444444444,7,0.01,0.333333333333333,1
18336,54,0.420720952660961,98,1,1,0.444444444444445,7,0.01,0.354838709677419,1
