dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18327,45,0.290994448735806,0.285714285714286,1,0,0,7,0.01,0,0
18328,46,0.322875655532295,0.428571428571429,1,0,0,7,0.01,0,0
18329,47,0.0823255385643321,0.428571428571429,1,0,0,7,0.01,0,0
18330,48,-0.0372802753175342,0.428571428571429,0,0,0,7,0.01,0,0
18331,49,0.123902973898033,0.714285714285714,1,0,0,7,0.01,0,0
18332,50,0.19895788082818,1,1,0,0,7,0.01,0,0
18333,51,0.419328275496261,1.28571428571429,1,0.142857142857143,0,7,0.01,0.0263157894736842,0
18334,52,0.258067491412778,1.57142857142857,1,0.25,0,7,0.01,0.0512820512820513,0
18335,53,0.368476259467906,2.14285714285714,1,0.333333333333333,0,7,0.01,0.075,0
18336,54,0.40041602695188,3,1,0.4,0,7,0.01,0.0975609756097561,0
18337,55,0.133350236520331,3.14285714285714,1,0.454545454545455,0,8,0.01,0.119047619047619,0
18338,56,-0.0389058984001674,3,0,0.5,0,8,0.01,0.13953488372093,0
18339,57,0.182245974800963,4.42857142857143,1,0.538461538461538,0,8,0.01,0.159090909090909,0
18340,58,0.698152210560808,7.42857142857143,1,0.571428571428571,0,8,0.01,0.177777777777778,0
18341,59,0.607117707101188,10.8571428571429,1,0.6,0,8,0.01,0.195652173913043,0
18342,60,0.138516626139871,10.7142857142857,1,0.625,0,8,0.01,0.212765957446809,0
18343,61,0.244911995893137,14.5714285714286,1,0.647058823529412,0,8,0.01,0.229166666666667,0
18344,62,0.128355473123309,15.8571428571429,1,0.666666666666667,0,8,0.01,0.244897959183673,0
18345,63,0.183841611951222,20,1,0.68421052631579,0,9,0.01,0.26,0
