dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,Inf,0.2,1,NA,NA,7,0.01,NA,NA
18288,6,0.065016084037823,0.166666666666667,1,NA,NA,7,0.01,NA,NA
18289,7,0.275749248737226,0.285714285714286,1,NA,NA,7,0.01,NA,NA
18290,8,0.0902466964772903,0.285714285714286,1,NA,NA,7,0.01,NA,NA
18291,9,-0.0318792448039105,0.285714285714286,0,NA,NA,7,0.01,NA,NA
18292,10,0.3458021042486,0.571428571428571,1,NA,NA,7,0.01,NA,NA
18293,11,-0.0376700557387216,0.571428571428571,0,NA,NA,7,0.01,NA,NA
18294,12,-0.0570318818044134,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18295,13,-0.179471312669281,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18296,14,0,0.285714285714286,0,NA,NA,7,0.01,NA,NA
18297,15,-0.0925147870269698,0.428571428571429,0,0.25,NA,7,0.01,1,0
18298,16,-0.0941783726843234,0.428571428571429,0,0.333333333333333,NA,8,0.01,1,0
18299,17,-0.152208752109342,0.428571428571429,0,0.4,NA,8,0.01,1,0
18300,18,-0.165942343771701,0.428571428571429,0,0.454545454545455,NA,8,0.01,1,0
18301,19,-0.338562172233852,0.428571428571429,0,1,1,8,0.01,1,1
18302,20,0,0.428571428571429,0,1,1,8,0.01,1,1
18303,21,0,0.428571428571429,0,1,1,8,0.01,1,1
18304,22,0,0.285714285714286,0,1,1,8,0.01,1,1
18305,23,0.309307341415954,0.285714285714286,0,1,1,8,0.01,1,1
18306,24,1.29128784747792,0,0,1,1,8,0.01,1,1
18307,25,0.234426799696735,0,0,1,1,8,0.01,1,1
18308,26,0.0752906583803283,0,0,1,1,8,0.01,1,1
18309,27,-0.0748752214669332,0.142857142857143,0,1,1,8,0.01,1,1
18310,28,-0.135495274129383,0.142857142857143,0,1,1,8,0.01,1,1
18311,29,-0.258855092004345,0.142857142857143,0,1,1,8,0.01,1,1
18312,30,-0.152681454263677,0.142857142857143,0,1,1,8,0.01,1,1
18313,31,0,0.285714285714286,0,1,1,8,0.01,1,1
18314,32,0.0690449676496976,0.285714285714286,1,1,1,8,0.01,1,1
18315,33,-0.0645856533065147,0.285714285714286,0,1,1,8,0.01,1,1
18316,34,-0.244071053981545,0.285714285714286,0,1,0.954545454545455,8,0.01,0.833333333333333,1
18317,35,0.322875655532295,0.428571428571429,1,1,0.91304347826087,8,0.01,0.714285714285714,1
18318,36,0,0.428571428571429,0,1,0.91304347826087,15,0.01,0.75,1
18319,37,0.159310139695155,0.714285714285714,1,1,0.91304347826087,21,0.01,0.777777777777778,1
18320,38,0.115368826463973,0.714285714285714,1,1,0.875,21,0.01,0.7,1
18321,39,0.701392618446801,1.57142857142857,1,1,0.84,21,0.01,0.636363636363636,1
18322,40,0.516302593059515,2.14285714285714,1,1,0.807692307692308,21,0.01,0.583333333333333,1
18323,41,0.303647484911978,2.42857142857143,1,1,0.777777777777778,21,0.01,0.538461538461538,1
18324,42,0.220939695244898,2.71428571428571,1,1,0.777777777777778,21,0.01,0.571428571428571,1
18325,43,0.0934506238904098,3.14285714285714,1,1,0.75,8,0.01,0.533333333333333,1
18326,44,0.00361043038107482,3.42857142857143,0,1,0.75,8,0.01,0.5625,1
18327,45,0.246609629240629,5,1,1,0.75,8,0.01,0.588235294117647,1
18328,46,-0.042381364684132,4.85714285714286,0,1,0.75,8,0.01,0.611111111111111,1
18329,47,0.0835063825901123,5.71428571428571,1,1,0.75,8,0.01,0.631578947368421,1
18330,48,0.233807633122734,7.14285714285714,1,1,0.75,8,0.01,0.65,1
18331,49,0.0296399628357234,7,1,1,0.75,8,0.01,0.666666666666667,1
18332,50,0.436650456623154,10.7142857142857,1,1,0.75,8,0.01,0.681818181818182,1
