dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18316,34,0.290994448735806,0.285714285714286,1,0,0,7,0.01,0,0
18317,35,0.0954451150103322,0.285714285714286,1,0,0,7,0.01,0,0
18318,36,0,0.285714285714286,0,0,0,7,0.01,0,0
18319,37,-0.0871290708247231,0.285714285714286,0,0,0,7,0.01,0,0
18320,38,-0.225403330758517,0.285714285714286,0,0,0,7,0.01,0,0
18321,39,-1,0.285714285714286,0,0,0,7,0.01,0,0
18322,40,Inf,1,1,0.142857142857143,0,7,0.01,0.037037037037037,0
18323,41,0.290994448735806,1,1,0.25,0,7,0.01,0.0714285714285714,0
18324,42,0.176435293588219,1.14285714285714,1,0.333333333333333,0,7,0.01,0.103448275862069,0
18325,43,0.0671873729054749,1.14285714285714,1,0.4,0,8,0.01,0.133333333333333,0
18326,44,0.205174531830935,1.57142857142857,1,0.454545454545455,0,10,0.01,0.161290322580645,0
18327,45,0.107141685541831,1.57142857142857,1,0.5,0,12,0.01,0.1875,0
18328,46,0.02311008712963,1.57142857142857,1,0.538461538461538,0,14,0.01,0.212121212121212,0
18329,47,0.031078524452934,1.57142857142857,1,0.571428571428571,0,14,0.01,0.235294117647059,0
18330,48,0.0015612812005065,1.57142857142857,0,0.6,0,14,0.01,0.257142857142857,0
18331,49,0.0758689244237291,2.14285714285714,1,0.625,0,14,0.01,0.277777777777778,0
18332,50,0.398585238681025,3.57142857142857,1,0.647058823529412,0,14,0.01,0.297297297297297,0
18333,51,0.0794037095264349,3.14285714285714,1,0.666666666666667,0,14,0.01,0.315789473684211,0
18334,52,0.561451721574687,6,1,0.684210526315789,0,14,0.01,0.333333333333333,0
18335,53,0.85677348413299,10.7142857142857,1,0.7,0,14,0.01,0.35,0
18336,54,0.314441033090633,11.5714285714286,1,0.714285714285714,0,14,0.01,0.365853658536585,0
18337,55,0.732448136272013,23.1428571428571,1,0.727272727272727,0,18,0.01,0.380952380952381,0
18338,56,0.41024723793449,29,1,0.739130434782609,0,18,0.01,0.395348837209302,0
18339,57,0.255786564557798,32.8571428571429,1,0.75,0,18,0.01,0.409090909090909,0
18340,58,0.143099748241504,32.8571428571429,1,0.76,0,18,0.01,0.422222222222222,0
