dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,548,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,321.5,NA,NA,NA,7,0.01,NA,NA
18285,3,-0.15549691818801,306.666666666667,0,NA,NA,7,0.01,NA,NA
18286,4,-0.1698534291157,351.5,0,NA,NA,7,0.01,NA,NA
18287,5,-0.12400729916132,415,0,NA,NA,7,0.01,NA,NA
18288,6,-0.0291453495841985,479.5,0,NA,NA,7,0.01,NA,NA
18289,7,0.770625901857082,787,1,NA,NA,7,0.01,NA,NA
18290,8,0.244905502268104,791.285714285714,1,NA,NA,7,0.01,NA,NA
18291,9,0.357778800609427,1071.14285714286,1,NA,NA,7,0.01,NA,NA
18292,10,0.210882025550683,1268.85714285714,1,NA,NA,7,0.01,NA,NA
18293,11,0.155487439065619,1497.85714285714,1,NA,NA,7,0.01,NA,NA
18294,12,0.336667240307375,2079.28571428571,1,NA,NA,7,0.01,NA,NA
18295,13,0.171468475427515,2405.57142857143,1,NA,NA,7,0.01,NA,NA
18296,14,0.10920153231868,2599.71428571429,1,NA,NA,7,0.01,NA,NA
18297,15,0.06509108420391,3050.42857142857,1,0.25,NA,7,0.01,1,0
18298,16,-0.00639176008590468,3206.57142857143,0,0.333333333333333,NA,7,0.01,1,0
18299,17,-0.0616452590165982,3472.57142857143,0,0.4,NA,7,0.01,1,0
18300,18,-0.186660341800518,3560.42857142857,0,0.454545454545455,NA,7,0.01,1,0
18301,19,-0.222330904414828,3314.14285714286,0,0.5,NA,7,0.01,1,0
18302,20,-0.274533899545475,3234,0,0.538461538461538,NA,7,0.01,1,0
18303,21,-0.318301740922694,2954.14285714286,0,0.571428571428571,NA,7,0.01,1,0
18304,22,0.693493059078053,2474.14285714286,0,0.6,NA,7,0.01,1,0
18305,23,0.26783568527894,4186.85714285714,1,0.625,NA,9,0.01,1,0
18306,24,0.246035202812665,4606.85714285714,1,0.647058823529412,NA,10,0.01,1,0
18307,25,0.0153064747704721,4514.14285714286,1,0.666666666666667,NA,13,0.01,1,0
18308,26,-0.0548219554712047,4383.42857142857,0,0.684210526315789,NA,17,0.01,1,0
