dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18318,36,2,0.428571428571429,1,0,0,7,0.01,0,0
18319,37,0.247219128924647,0.428571428571429,1,0,0,7,0.01,0,0
18320,38,0.397276262011544,0.714285714285714,1,0,0,7,0.01,0,0
18321,39,0.199593427059311,0.857142857142857,1,0,0,7,0.01,0,0
18322,40,0.0853414677855607,1,1,0,0,7,0.01,0,0
18323,41,-0.106377511988907,1,0,0,0,7,0.01,0,0
18324,42,-0.135275912358313,1.14285714285714,0,0.142857142857143,0,7,0.01,0.0344827586206897,0
18325,43,-0.156884721112246,1,0,0.25,0,7,0.01,0.0666666666666667,0
18326,44,-0.432519693464976,1,0,0.333333333333333,0,7,0.01,0.0967741935483871,0
18327,45,-0.274523749889988,0.857142857142857,0,0.4,0,7,0.01,0.125,0
18328,46,0,0.857142857142857,0,0.454545454545455,0,7,0.01,0.151515151515152,0
18329,47,0.414213562373095,0.714285714285714,0,0.5,0,7,0.01,0.176470588235294,0
18330,48,0.14953406710222,0.714285714285714,0,0.538461538461538,0,9,0.01,0.2,0
18331,49,0.0780362527123853,0.714285714285714,0,1,0.2,9,0.01,0.2,1
18332,50,0.302948356077343,1.28571428571429,1,1,0.222222222222222,9,0.01,0.2,1
18333,51,0.116501384892,1.28571428571429,1,1,0.243243243243243,9,0.01,0.2,1
18334,52,2.19855736712181,3,1,1,0.236842105263158,9,0.01,0.194444444444444,1
18335,53,0.53197218496623,3.71428571428571,1,1,0.230769230769231,9,0.01,0.189189189189189,1
18336,54,0.490012516649161,5.28571428571429,1,1,0.225,9,0.01,0.184210526315789,1
18337,55,0.303627022475803,6.42857142857143,1,1,0.219512195121951,9,0.01,0.179487179487179,1
18338,56,0.172112471895684,7.28571428571429,1,1,0.214285714285714,9,0.01,0.175,1
18339,57,0.152008434348232,8.85714285714286,1,1,0.214285714285714,9,0.01,0.195121951219512,1
18340,58,0.249176430176699,12.2857142857143,1,1,0.214285714285714,9,0.01,0.214285714285714,1
18341,59,0.143619747392223,13.7142857142857,1,1,0.214285714285714,9,0.01,0.232558139534884,1
18342,60,0.572269140975087,24,1,1,0.214285714285714,9,0.01,0.25,1
