dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,0,0,0,0,0,7,0.01,0,0
18323,41,0,0,0,0,0,7,0.01,0,0
18324,42,0,0,0,0,0,7,0.01,0,0
18325,43,0,0,0,0,0,7,0.01,0,0
18326,44,0,0,0,0,0,7,0.01,0,0
18327,45,0,0,0,0,0,7,0.01,0,0
18328,46,0,0,0,0,0,7,0.01,0,0
18329,47,0,0,0,0,0,7,0.01,0,0
18330,48,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18331,49,0.6583123951777,0.428571428571429,1,0,0,7,0.01,0,0
18332,50,0.834021909257456,0.857142857142857,1,0,0,7,0.01,0,0
18333,51,0.174043601566134,0.857142857142857,1,0,0,7,0.01,0,0
18334,52,0.813168966022308,2,1,0,0,7,0.01,0,0
18335,53,0.851870259830459,3.71428571428571,1,0,0,7,0.01,0,0
18336,54,0.147397812064514,3.71428571428571,1,0,0,7,0.01,0,0
18337,55,0.108988137702144,4.42857142857143,1,0.142857142857143,0,7,0.01,0.0238095238095238,0
18338,56,0.189673915132454,6.14285714285714,1,0.25,0,7,0.01,0.0465116279069767,0
18339,57,0.00466908968187433,6.14285714285714,0,0.333333333333333,0,7,0.01,0.0681818181818182,0
18340,58,0.117193045427637,8.71428571428571,1,0.4,0,7,0.01,0.0888888888888889,0
18341,59,-0.12085748239261,7.57142857142857,0,0.454545454545454,0,7,0.01,0.108695652173913,0
18342,60,-0.0210052292087127,8.28571428571429,0,0.5,0,7,0.01,0.127659574468085,0
18343,61,-0.0235908140812913,9.85714285714286,0,0.538461538461538,0,7,0.01,0.145833333333333,0
18344,62,0.105341542724853,11.8571428571429,1,0.571428571428571,0,7,0.01,0.163265306122449,0
18345,63,-0.0164253309355108,11.1428571428571,0,0.6,0,7,0.01,0.18,0
18346,64,-0.0129204393514856,11.8571428571429,0,0.625,0,8,0.01,0.196078431372549,0
