dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18320,38,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18321,39,1.28035085019828,0.428571428571429,1,0,0,7,0.01,0,0
18322,40,0.441153384245784,0.571428571428571,1,0,0,7,0.01,0,0
18323,41,0.105541596785133,0.571428571428571,1,0,0,7,0.01,0,0
18324,42,0.206045378311055,0.857142857142857,1,0,0,7,0.01,0,0
18325,43,0.613743060919757,1.57142857142857,1,0,0,7,0.01,0,0
18326,44,0.0695793565696751,1.42857142857143,1,0.142857142857143,0,7,0.01,0.032258064516129,0
18327,45,0.901416476047427,3.28571428571429,1,0.25,0,7,0.01,0.0625,0
18328,46,0.115219141279164,3,1,0.333333333333333,0,7,0.01,0.0909090909090909,0
18329,47,0.346038482230509,4.71428571428571,1,0.4,0,7,0.01,0.117647058823529,0
18330,48,1.68344151587075,12.5714285714286,1,0.454545454545455,0,7,0.01,0.142857142857143,0
18331,49,2.17835164509505,36.8571428571429,1,0.5,0,7,0.01,0.166666666666667,0
18332,50,0.799541704199463,61.8571428571429,1,0.538461538461538,0,7,0.01,0.189189189189189,0
18333,51,0.441244016083663,86.5714285714286,1,0.571428571428572,0,7,0.01,0.210526315789474,0
18334,52,0.282208071575119,111.428571428571,1,0.6,0,7,0.01,0.230769230769231,0
18335,53,0.0616134850052454,116,1,0.625,0,7,0.01,0.25,0
18336,54,-0.0719423185315409,119.714285714286,0,0.647058823529412,0,7,0.01,0.268292682926829,0
18337,55,-0.218352572986513,120.142857142857,0,0.666666666666667,0,7,0.01,0.285714285714286,0
18338,56,-0.341944315031765,108.714285714286,0,0.684210526315789,0,7,0.01,0.302325581395349,0
18339,57,-0.41421212200881,96,0,0.7,0,7,0.01,0.318181818181818,0
18340,58,-0.00644995615684864,86.8571428571429,0,0.714285714285714,0,7,0.01,0.333333333333333,0
18341,59,0.377773179363444,76.1428571428571,0,0.727272727272727,0,7,0.01,0.347826086956522,0
18342,60,0.0236594810067767,83.4285714285714,0,0.739130434782609,0,7,0.01,0.361702127659574,0
