dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,0,0,0,0,0,7,0.01,0,0
18322,40,Inf,0.857142857142857,1,0,0,7,0.01,0,0
18323,41,0.290994448735805,0.857142857142857,1,0,0,7,0.01,0,0
18324,42,0.161895003862225,1,1,0,0,7,0.01,0,0
18325,43,0.205269636686887,1.42857142857143,1,0,0,7,0.01,0,0
18326,44,0.169731573769906,1.85714285714286,1,0,0,7,0.01,0,0
18327,45,-0.0412223102381381,1.85714285714286,0,0,0,7,0.01,0,0
18328,46,-0.27093790968702,1.85714285714286,0,0,0,7,0.01,0,0
18329,47,-0.0886776231342329,1.14285714285714,0,0.142857142857143,0,7,0.01,0.0294117647058824,0
18330,48,-0.157869562674886,1.28571428571429,0,0.25,0,7,0.01,0.0571428571428571,0
18331,49,-0.078630984182042,1.14285714285714,0,0.333333333333333,0,7,0.01,0.0833333333333333,0
18332,50,0.153476690087958,1,0,0.4,0,7,0.01,0.108108108108108,0
18333,51,0.183754149031934,0.571428571428571,0,0.454545454545455,0,7,0.01,0.131578947368421,0
18334,52,-0.0417819568689921,0.571428571428571,0,1,0.175,7,0.01,0.131578947368421,1
18335,53,0.198183443532932,2.14285714285714,1,1,0.195121951219512,7,0.01,0.131578947368421,1
18336,54,0.180298033666015,2,1,1,0.214285714285714,7,0.01,0.131578947368421,1
18337,55,0.522927093032713,3.14285714285714,1,1,0.232558139534884,7,0.01,0.131578947368421,1
18338,56,1.06148810111415,6.14285714285714,1,1,0.227272727272727,7,0.01,0.128205128205128,1
18339,57,1.32196292027113,13.4285714285714,1,1,0.222222222222222,7,0.01,0.125,1
18340,58,1.00861018665215,26,1,1,0.217391304347826,7,0.01,0.121951219512195,1
18341,59,0.940170368111579,50,1,1,0.212765957446808,7,0.01,0.119047619047619,1
18342,60,0.448828746191642,68.2857142857143,1,1,0.212765957446808,7,0.01,0.13953488372093,1
18343,61,0.503900112412268,108.714285714286,1,1,0.212765957446809,7,0.01,0.159090909090909,1
