dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18307,25,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18308,26,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18309,27,0,0.142857142857143,0,0,0,7,0.01,0,0
18310,28,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18311,29,-0.225403330758517,0.142857142857143,0,0,0,7,0.01,0,0
18312,30,-1,0.142857142857143,0,0,0,7,0.01,0,0
18313,31,Inf,0,0,0.142857142857143,0,7,0.01,0.0555555555555556,0
18314,32,0.290994448735806,0,0,0.25,0,7,0.01,0.105263157894737,0
18315,33,0.0954451150103322,0,0,0.333333333333333,0,7,0.01,0.15,0
18316,34,0,0,0,1,0.291666666666667,7,0.01,0.15,1
18317,35,-0.0871290708247231,0,0,1,0.32,7,0.01,0.15,1
18318,36,-0.225403330758517,0,0,1,0.346153846153846,7,0.01,0.15,1
18319,37,-1,0,0,1,0.37037037037037,7,0.01,0.15,1
18320,38,0,0,0,1,0.392857142857143,7,0.01,0.15,1
18321,39,0,0,0,1,0.413793103448276,7,0.01,0.15,1
18322,40,Inf,0.142857142857143,1,1,0.433333333333333,7,0.01,0.15,1
18323,41,0.290994448735806,0.142857142857143,1,1,0.451612903225806,7,0.01,0.15,1
18324,42,0.0954451150103322,0.142857142857143,1,1,0.4375,7,0.01,0.142857142857143,1
18325,43,0,0.142857142857143,0,1,0.424242424242424,7,0.01,0.136363636363636,1
18326,44,0.290994448735806,0.285714285714286,1,1,0.411764705882353,7,0.01,0.130434782608696,1
18327,45,6.16937933157397,2,1,1,0.4,7,0.01,0.125,1
18328,46,0.264603412095377,2,1,1,0.388888888888889,7,0.01,0.12,1
18329,47,1.68545691310004,6.71428571428571,1,1,0.388888888888889,7,0.01,0.153846153846154,1
18330,48,0.314560829873839,7.57142857142857,1,1,0.388888888888889,7,0.01,0.185185185185185,1
18331,49,0.111334525675248,8.14285714285714,1,1,0.388888888888889,7,0.01,0.214285714285714,1
18332,50,-0.0227856763562597,8.28571428571429,0,1,0.378378378378378,7,0.01,0.206896551724138,1
18333,51,-0.123029095565897,9.14285714285714,0,1,0.378378378378378,7,0.01,0.233333333333333,1
18334,52,-0.167750741003453,9.28571428571429,0,1,0.378378378378378,7,0.01,0.258064516129032,1
18335,53,-0.133167614766559,13.4285714285714,0,1,0.378378378378378,7,0.01,0.28125,1
18336,54,-0.102203782602348,8.71428571428571,0,1,0.378378378378378,7,0.01,0.303030303030303,1
18337,55,0.218549971415761,13.5714285714286,1,1,0.378378378378378,7,0.01,0.323529411764706,1
18338,56,0.733247388580388,19.5714285714286,1,1,0.378378378378378,7,0.01,0.342857142857143,1
