dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18320,38,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18321,39,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18322,40,0,0.142857142857143,0,0,0,7,0.01,0,0
18323,41,-0.0871290708247231,0.142857142857143,0,0,0,7,0.01,0,0
18324,42,0.183215956619923,0.285714285714286,1,0,0,7,0.01,0,0
18325,43,-0.154845745271483,0.285714285714286,0,0,0,7,0.01,0,0
18326,44,0.0954451150103322,0.285714285714286,1,0.142857142857143,0,7,0.01,0.032258064516129,0
18327,45,4.38516480713451,1.28571428571429,1,0.25,0,7,0.01,0.0625,0
18328,46,0.264002036954564,1.28571428571429,1,0.333333333333333,0,7,0.01,0.0909090909090909,0
18329,47,0.0998213431733188,1.28571428571429,1,0.4,0,8,0.01,0.117647058823529,0
18330,48,0.0573249821772481,1.28571428571429,1,0.454545454545455,0,10,0.01,0.142857142857143,0
18331,49,0.0356290226367125,1.42857142857143,1,0.5,0,10,0.01,0.166666666666667,0
18332,50,0.121389165812737,2,1,0.538461538461538,0,10,0.01,0.189189189189189,0
18333,51,0.0152035745959232,1.85714285714286,1,0.571428571428572,0,11,0.01,0.210526315789474,0
18334,52,3.02705548604636,9.85714285714286,1,0.6,0,11,0.01,0.230769230769231,0
18335,53,0.743609807746019,15,1,0.625,0,11,0.01,0.25,0
18336,54,0.583441094556301,23,1,0.647058823529412,0,11,0.01,0.268292682926829,0
18337,55,0.320565960328306,27.8571428571429,1,0.666666666666667,0,11,0.01,0.285714285714286,0
18338,56,0.184574230084571,30.4285714285714,1,0.684210526315789,0,11,0.01,0.302325581395349,0
18339,57,0.13607815849157,34.5714285714286,1,0.7,0,11,0.01,0.318181818181818,0
18340,58,0.0666228845978443,35.8571428571429,1,0.714285714285714,0,11,0.01,0.333333333333333,0
18341,59,-0.0384407400080749,29.1428571428571,0,0.727272727272727,0,11,0.01,0.347826086956522,0
18342,60,-0.0879348403275376,27.2857142857143,0,0.739130434782609,0,11,0.01,0.361702127659574,0
