dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,Inf,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18291,9,0.290994448735806,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18292,10,0.0954451150103322,0.142857142857143,1,NA,NA,7,0.01,NA,NA
18293,11,0,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18294,12,-0.0871290708247231,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18295,13,-0.225403330758517,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18296,14,-1,0.142857142857143,0,NA,NA,7,0.01,NA,NA
18297,15,Inf,0,0,0.142857142857143,0,7,0.01,0.5,0
18298,16,0.290994448735806,0,0,0.25,0,7,0.01,0.666666666666667,0
18299,17,0.0954451150103322,0,0,0.333333333333333,0,7,0.01,0.75,0
18300,18,0,0,0,1,0.875,7,0.01,0.75,1
18301,19,-0.0871290708247231,0,0,1,0.888888888888889,7,0.01,0.75,1
18302,20,-0.225403330758517,0,0,1,0.9,7,0.01,0.75,1
18303,21,-1,0,0,1,0.909090909090909,7,0.01,0.75,1
18304,22,0,0,0,1,0.916666666666667,7,0.01,0.75,1
18305,23,0,0,0,1,0.923076923076923,7,0.01,0.75,1
18306,24,0,0,0,1,0.928571428571429,7,0.01,0.75,1
18307,25,0,0,0,1,0.933333333333333,7,0.01,0.75,1
18308,26,0,0,0,1,0.9375,7,0.01,0.75,1
18309,27,0,0,0,1,0.941176470588235,7,0.01,0.75,1
18310,28,0,0,0,1,0.888888888888889,7,0.01,0.6,1
18311,29,0,0,0,1,0.842105263157895,7,0.01,0.5,1
18312,30,0,0,0,1,0.8,7,0.01,0.428571428571429,1
18313,31,0,0,0,1,0.761904761904762,7,0.01,0.375,1
18314,32,0,0,0,1,0.727272727272727,7,0.01,0.333333333333333,1
18315,33,0,0,0,1,0.695652173913044,7,0.01,0.3,1
18316,34,0,0,0,1,0.666666666666667,7,0.01,0.272727272727273,1
18317,35,0,0,0,1,0.64,7,0.01,0.25,1
18318,36,Inf,0.142857142857143,1,1,0.615384615384615,7,0.01,0.230769230769231,1
18319,37,0.290994448735806,0.142857142857143,1,1,0.592592592592593,7,0.01,0.214285714285714,1
18320,38,0.0954451150103322,0.142857142857143,1,1,0.571428571428571,7,0.01,0.2,1
18321,39,0.414213562373095,0.285714285714286,1,1,0.551724137931034,7,0.01,0.1875,1
18322,40,1.27303028283098,0.714285714285714,1,1,0.533333333333333,7,0.01,0.176470588235294,1
18323,41,0.184578324321196,0.714285714285714,1,1,0.516129032258065,7,0.01,0.166666666666667,1
18324,42,0,0.714285714285714,0,1,0.5,7,0.01,0.157894736842105,1
18325,43,-0.0715233091147407,0.571428571428571,0,1,0.5,7,0.01,0.2,1
18326,44,0.523154621172782,1.42857142857143,1,1,0.5,7,0.01,0.238095238095238,1
18327,45,0.326129967105477,1.85714285714286,1,1,0.5,7,0.01,0.272727272727273,1
18328,46,0,1.71428571428571,0,1,0.5,7,0.01,0.304347826086957,1
18329,47,0.290994448735805,2.42857142857143,1,1,0.5,7,0.01,0.333333333333333,1
18330,48,0.403077849223054,3.42857142857143,1,1,0.5,7,0.01,0.36,1
18331,49,0.458190576938659,4.85714285714286,1,1,0.5,8,0.04,0.384615384615385,1
18332,50,0.488174481528576,7.57142857142857,1,1,0.5,18,0.05,0.407407407407407,1
18333,51,0.151761390384706,6.71428571428571,1,1,0.5,18,0.05,0.428571428571429,1
18334,52,1.07336122686995,20,1,1,0.5,18,0.05,0.448275862068966,1
18335,53,0.642835454936223,30,1,1,0.5,18,0.05,0.466666666666667,1
