dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,Inf,0.666666666666667,1,NA,NA,7,0.01,NA,NA
18286,4,0.0661701318269987,0.75,1,NA,NA,7,0.01,NA,NA
18287,5,-0.0934829312824337,0.6,0,NA,NA,7,0.01,NA,NA
18288,6,-0.0993036875932083,0.5,0,NA,NA,7,0.01,NA,NA
18289,7,-0.0711694999608963,0.571428571428571,0,NA,NA,7,0.01,NA,NA
18290,8,-0.182652200572297,0.714285714285714,0,NA,NA,7,0.01,NA,NA
18291,9,-0.64272047857631,0.714285714285714,0,NA,NA,7,0.01,NA,NA
18292,10,0.332135782756534,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18293,11,-0.00373646841511494,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18294,12,0.0734545212622828,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18295,13,0.0494995356656044,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18296,14,0.192079121358539,0.285714285714286,0,NA,NA,7,0.01,NA,NA
18297,15,0.0715167512214395,0.142857142857143,0,NA,1,7,0.01,0,1
18298,16,-0.217118638741187,0.142857142857143,0,NA,1,7,0.01,0,1
18299,17,0.0513149660756936,0.142857142857143,0,NA,1,7,0.01,0,1
18300,18,0.496026483086191,0.714285714285714,1,NA,1,7,0.01,0,1
18301,19,0.211645619140753,0.714285714285714,1,NA,1,7,0.01,0,1
18302,20,0.122884484360431,0.714285714285714,1,NA,1,7,0.01,0,1
18303,21,0.0504514628777805,0.714285714285714,1,NA,1,7,0.01,0,1
18304,22,-0.0871290708247231,0.714285714285714,0,NA,0.933333333333333,7,0.01,0,1
18305,23,-0.225403330758517,0.714285714285714,0,NA,0.875,7,0.01,0,1
18306,24,-1,0.714285714285714,0,NA,0.823529411764706,7,0.01,0,1
18307,25,Inf,0.142857142857143,0,1,0.823529411764706,7,0.01,0.25,1
18308,26,0.290994448735805,0.142857142857143,0,1,0.823529411764706,7,0.01,0.4,1
18309,27,0.0954451150103322,0.142857142857143,0,1,0.833333333333333,7,0.13,0.4,1
18310,28,0,0.142857142857143,0,1,0.842105263157895,7,0.13,0.4,1
18311,29,-0.0871290708247231,0.142857142857143,0,1,0.85,7,0.13,0.4,1
18312,30,-0.225403330758517,0.142857142857143,0,1,0.857142857142857,7,0.13,0.4,1
18313,31,-1,0.142857142857143,0,1,0.863636363636364,7,0.13,0.4,1
18314,32,Inf,0,0,1,0.869565217391304,7,0.13,0.4,1
18315,33,0.290994448735806,0,0,1,0.875,7,0.13,0.4,1
18316,34,0.0954451150103322,0,0,1,0.88,7,0.13,0.4,1
18317,35,0.414213562373095,0.285714285714286,1,1,0.884615384615385,7,0.13,0.4,1
18318,36,1.84312035153866,0.857142857142857,1,1,0.888888888888889,7,0.13,0.4,1
18319,37,3.42229590042637,3.71428571428571,1,1,0.857142857142857,7,0.13,0.333333333333333,1
18320,38,0.847222194697779,6.42857142857143,1,1,0.827586206896552,7,0.13,0.285714285714286,1
18321,39,0.874850012024547,12.5714285714286,1,1,0.8,7,0.13,0.25,1
18322,40,0.403497837335318,16.8571428571429,1,1,0.774193548387097,7,0.13,0.222222222222222,1
18323,41,0.416491495967136,25.5714285714286,1,1,0.75,7,0.13,0.2,1
18324,42,0.140516241506895,28.2857142857143,1,1,0.75,7,0.13,0.272727272727273,1
18325,43,0.180126812982865,38.5714285714286,1,1,0.75,7,0.13,0.333333333333333,1
18326,44,0.328304493700835,55.4285714285714,1,1,0.75,7,0.13,0.384615384615385,1
18327,45,0.421641775933952,79.8571428571429,1,1,0.75,7,0.13,0.428571428571429,1
18328,46,0.560074177760287,121.142857142857,1,1,0.75,7,0.13,0.466666666666667,1
18329,47,0.247551642729515,142.142857142857,1,1,0.75,7,0.13,0.5,1
18330,48,0.201750495434521,174.285714285714,1,1,0.75,7,0.13,0.529411764705882,1
