dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,Inf,0.166666666666667,1,NA,NA,7,0.01,NA,NA
18289,7,2.15489346407756,0.571428571428571,1,NA,NA,7,0.01,NA,NA
18290,8,0.255567565735328,0.571428571428571,1,NA,NA,7,0.01,NA,NA
18291,9,0.073133961554934,0.571428571428571,1,NA,NA,7,0.01,NA,NA
18292,10,0.0518963652441906,0.714285714285714,1,NA,NA,7,0.01,NA,NA
18293,11,0.220630475473758,1.14285714285714,1,NA,NA,7,0.01,NA,NA
18294,12,0.126992266087701,1.42857142857143,1,NA,NA,7,0.01,NA,NA
18295,13,0.0401109510858227,1.57142857142857,1,NA,NA,7,0.01,NA,NA
18296,14,-0.0635582896287261,1.14285714285714,0,NA,NA,7,0.01,NA,NA
18297,15,-0.124738969595339,1.14285714285714,0,0.25,NA,7,0.01,1,0
18298,16,-0.243350091542023,1.14285714285714,0,0.333333333333333,NA,7,0.01,1,0
18299,17,-0.33667504192892,1.14285714285714,0,0.4,NA,7,0.01,1,0
18300,18,0.507556722888818,0.714285714285714,0,0.454545454545455,NA,7,0.01,1,0
18301,19,0.216552506059644,0.571428571428571,0,0.5,NA,7,0.01,1,0
18302,20,0.0780362527123855,0.285714285714286,0,1,1,7,0.05,1,1
18303,21,-0.0156259613023028,0.571428571428571,0,1,1,7,0.05,1,1
18304,22,-0.0834848610088321,0.571428571428571,0,1,1,7,0.05,1,1
18305,23,-0.189356516622222,0.571428571428571,0,1,1,7,0.05,1,1
18306,24,-0.475250232167198,0.428571428571429,0,1,1,7,0.05,1,1
18307,25,-0.172829808131489,0.428571428571429,0,1,1,7,0.05,1,1
18308,26,0.143543749793731,0.285714285714286,0,1,1,7,0.05,1,1
18309,27,0,0.285714285714286,0,1,1,7,0.05,1,1
18310,28,0.552985739111069,0,0,1,1,7,0.05,1,1
18311,29,0.0932163332202424,0,0,1,1,7,0.05,1,1
18312,30,-0.0852679660810216,0,0,1,1,7,0.05,1,1
18313,31,-0.0760635646402044,0,0,1,1,7,0.05,1,1
18314,32,-0.244071053981545,0,0,1,1,7,0.05,1,1
18315,33,-0.225403330758517,0,0,1,1,7,0.05,1,1
18316,34,-1,0,0,1,1,7,0.05,1,1
18317,35,Inf,0.142857142857143,1,1,1,7,0.05,1,1
18318,36,9.87811258138715,1.57142857142857,1,1,1,7,0.05,1,1
18319,37,1.75527662781338,4.28571428571429,1,1,0.958333333333333,7,0.05,0.857142857142857,1
18320,38,0.281088359187034,4.57142857142857,1,1,0.92,7,0.05,0.75,1
18321,39,0.624200876570369,9,1,1,0.884615384615385,7,0.05,0.666666666666667,1
18322,40,0.732891789088725,16.2857142857143,1,1,0.851851851851852,7,0.05,0.6,1
18323,41,0.31395144725021,20.4285714285714,1,1,0.821428571428571,7,0.05,0.545454545454545,1
18324,42,0.196893088319956,25.5714285714286,1,1,0.821428571428571,7,0.05,0.583333333333333,1
18325,43,0.207279037896566,33.5714285714286,1,1,0.821428571428572,7,0.05,0.615384615384615,1
18326,44,0.74112342337309,62.2857142857143,1,1,0.821428571428572,7,0.05,0.642857142857143,1
18327,45,0.490093026760495,88.8571428571429,1,1,0.821428571428571,7,0.05,0.666666666666667,1
18328,46,0.216192088190804,102.857142857143,1,1,0.821428571428571,7,0.05,0.6875,1
18329,47,0.210997847829621,130,1,1,0.821428571428571,7,0.05,0.705882352941177,1
18330,48,0.0858839740792817,145.285714285714,1,1,0.821428571428571,7,0.05,0.722222222222222,1
18331,49,0.0904489422682281,180.142857142857,1,1,0.821428571428571,7,0.05,0.736842105263158,1
18332,50,0.170228309672793,235.142857142857,1,1,0.821428571428572,7,0.05,0.75,1
