dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18319,37,2,0.428571428571429,1,0,0,7,0.01,0,0
18320,38,0.478237188405563,0.571428571428571,1,0,0,7,0.01,0,0
18321,39,0.127469042004243,0.571428571428571,1,0,0,7,0.01,0,0
18322,40,0.356465996625054,1,1,0,0,7,0.01,0,0
18323,41,0.0494995356656041,1,1,0,0,7,0.01,0,0
18324,42,-0.122653522201597,1,0,0,0,7,0.01,0,0
18325,43,-0.162829347830025,1.14285714285714,0,0.142857142857143,0,7,0.01,0.0333333333333333,0
18326,44,3.25125519484626,4,1,0.25,0,7,0.01,0.0645161290322581,0
18327,45,0.687454702745873,5.85714285714286,1,0.333333333333333,0,7,0.01,0.09375,0
18328,46,0.166271655087148,6,1,0.4,0,7,0.01,0.121212121212121,0
18329,47,0.372578640892951,9.42857142857143,1,0.454545454545455,0,7,0.01,0.147058823529412,0
18330,48,0.0711251298667536,9.42857142857143,1,0.5,0,7,0.01,0.171428571428571,0
18331,49,0.143478578212994,11.7142857142857,1,0.538461538461538,0,9,0.01,0.194444444444444,0
18332,50,0.0964899362389998,12.8571428571429,1,0.571428571428571,0,10,0.01,0.216216216216216,0
18333,51,-0.0660843170562921,9.71428571428571,0,0.6,0,10,0.01,0.236842105263158,0
18334,52,0.3006338795471,20.7142857142857,1,0.625,0,10,0.01,0.256410256410256,0
18335,53,0.267413478500944,26,1,0.647058823529412,0,10,0.01,0.275,0
18336,54,0.4525825888293,36.8571428571429,1,0.666666666666667,0,10,0.01,0.292682926829268,0
18337,55,0.157822140200402,36.8571428571429,1,0.684210526315789,0,10,0.01,0.30952380952381,0
18338,56,0.128029423827997,42.5714285714286,1,0.7,0,10,0.01,0.325581395348837,0
18339,57,0.0916906847063515,45.5714285714286,1,0.714285714285714,0,10,0.01,0.340909090909091,0
18340,58,0.054913439201259,45.5714285714286,1,0.727272727272727,0,16,0.01,0.355555555555556,0
18341,59,0.0083185369623712,43.5714285714286,0,0.739130434782609,0,16,0.01,0.369565217391304,0
18342,60,-0.00568983030039826,43.1428571428571,0,0.75,0,16,0.01,0.382978723404255,0
