dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,Inf,0.285714285714286,1,0,0,7,0.01,0,0
18312,30,1.53311402559511,0.714285714285714,1,0,0,7,0.01,0,0
18313,31,2.46222659382846,2.57142857142857,1,0,0,7,0.01,0,0
18314,32,0.670274174494964,4,1,0,0,7,0.01,0,0
18315,33,0.506361913217482,6.14285714285714,1,0,0,7,0.01,0,0
18316,34,0.381400123627264,8.71428571428571,1,0,0,7,0.01,0,0
18317,35,0.445884836230485,13.5714285714286,1,0,0,7,0.01,0,0
18318,36,0.402562464627322,19.5714285714286,1,0.142857142857143,0,7,0.01,0.0434782608695652,0
18319,37,0.676028661753456,34.2857142857143,1,0.25,0,7,0.01,0.0833333333333333,0
18320,38,0.59069669304272,52.8571428571429,1,0.333333333333333,0,7,0.01,0.12,0
18321,39,0.54027432736132,80.7142857142857,1,0.4,0,7,0.01,0.153846153846154,0
18322,40,0.640467988105747,133.571428571429,1,0.454545454545455,0,7,0.01,0.185185185185185,0
18323,41,0.559508243978401,205.714285714286,1,0.5,0,7,0.01,0.214285714285714,0
18324,42,0.551840642844252,320.142857142857,1,0.538461538461539,0,7,0.01,0.241379310344828,0
18325,43,0.282410405781918,397.571428571429,1,0.571428571428572,0,7,0.01,0.266666666666667,0
18326,44,0.15362114852131,466.857142857143,1,0.6,0,7,0.01,0.290322580645161,0
18327,45,0.200787775271077,622.714285714286,1,0.625,0,7,0.01,0.3125,0
18328,46,0.134070207498851,747.142857142857,1,0.647058823529412,0,7,0.01,0.333333333333333,0
18329,47,0.0115964586426103,798.285714285714,1,0.666666666666667,0,7,0.01,0.352941176470588,0
18330,48,-0.0949126321358884,808.571428571429,0,0.684210526315789,0,7,0.01,0.371428571428571,0
18331,49,-0.13663557818146,815.142857142857,0,0.7,0,7,0.01,0.388888888888889,0
18332,50,-0.190124386406166,868.285714285714,0,0.714285714285714,0,7,0.01,0.405405405405405,0
18333,51,-0.299076964823214,937.428571428571,0,0.727272727272727,0,7,0.01,0.421052631578947,0
18334,52,-0.244894703739559,945.285714285714,0,0.739130434782609,0,7,0.01,0.435897435897436,0
18335,53,0.0286574007552148,986.571428571429,1,0.75,0,7,0.01,0.45,0
18336,54,0.183665600332005,1053.14285714286,1,0.76,0,7,0.01,0.463414634146341,0
18337,55,-0.0436343113153792,1118.57142857143,0,0.769230769230769,0,10,0.01,0.476190476190476,0
18338,56,-0.0912935318637828,1161,0,0.777777777777778,0,13,0.01,0.488372093023256,0
