dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18317,35,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18318,36,2.74165738677394,0.714285714285714,1,0,0,7,0.01,0,0
18319,37,0.549193338482967,1,1,0,0,7,0.01,0,0
18320,38,0.136515141415488,1,1,0,0,7,0.01,0,0
18321,39,0.441645245483397,1.85714285714286,1,0,0,7,0.01,0,0
18322,40,0.40319559270862,2.71428571428571,1,0,0,7,0.01,0,0
18323,41,0.30487650860252,3.57142857142857,1,0.142857142857143,0,7,0.01,0.0357142857142857,0
18324,42,0.181873680570558,4.42857142857143,1,0.25,0,7,0.01,0.0689655172413793,0
18325,43,0.0176007879499522,4.28571428571429,1,0.333333333333333,0,7,0.01,0.1,0
18326,44,-0.101136214850993,4,0,0.4,0,7,0.01,0.129032258064516,0
18327,45,-0.214232430385526,4.71428571428571,0,0.454545454545454,0,7,0.01,0.15625,0
18328,46,-0.052718685829819,5.85714285714286,0,0.5,0,7,0.01,0.181818181818182,0
18329,47,-0.0943374143197017,5.85714285714286,0,0.538461538461538,0,7,0.01,0.205882352941176,0
18330,48,-0.164904312683961,4.85714285714286,0,0.571428571428571,0,7,0.01,0.228571428571429,0
18331,49,0.0212037714663724,5.57142857142857,1,0.6,0,7,0.01,0.25,0
18332,50,-0.0971885616859494,5.14285714285714,0,0.625,0,7,0.01,0.27027027027027,0
18333,51,-0.232678566528996,5.14285714285714,0,0.647058823529412,0,12,0.01,0.289473684210526,0
18334,52,0.400713731950817,8.71428571428571,1,0.666666666666667,0,12,0.01,0.307692307692308,0
18335,53,0.0930041977737016,8,1,0.684210526315789,0,12,0.01,0.325,0
18336,54,0.035974306787425,8,1,0.7,0,13,0.01,0.341463414634146,0
18337,55,0.0178984154049719,9.14285714285714,1,0.714285714285714,0,19,0.01,0.357142857142857,0
18338,56,0.120974303720482,11.8571428571429,1,0.727272727272727,0,19,0.01,0.372093023255814,0
18339,57,0.105602322477788,13.2857142857143,1,0.739130434782609,0,23,0.01,0.386363636363636,0
18340,58,0.178123862880907,17.2857142857143,1,0.75,0,26,0.01,0.4,0
18341,59,0.066951988890263,15.2857142857143,1,0.76,0,26,0.01,0.41304347826087,0
