dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,0,0,0,0,0,7,0.01,0,0
18317,35,0,0,0,0,0,7,0.01,0,0
18318,36,0,0,0,0,0,7,0.01,0,0
18319,37,0,0,0,0,0,7,0.01,0,0
18320,38,0,0,0,0,0,7,0.01,0,0
18321,39,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18322,40,0.290994448735806,0.142857142857143,1,0,0,7,0.01,0,0
18323,41,0.0954451150103322,0.142857142857143,1,0,0,7,0.01,0,0
18324,42,0.414213562373095,0.285714285714286,1,0,0,7,0.01,0,0
18325,43,1.73861278752583,0.857142857142857,1,0,0,7,0.01,0,0
18326,44,0.211060141638997,0.857142857142857,1,0,0,7,0.01,0,0
18327,45,1.45875060659973,2.57142857142857,1,0,0,7,0.01,0,0
18328,46,0.183639517026051,2.42857142857143,1,0.142857142857143,0,7,0.01,0.0303030303030303,0
18329,47,0.0518745512447532,2.57142857142857,1,0.25,0,7,0.01,0.0588235294117647,0
18330,48,-0.031206402394442,2.85714285714286,0,0.333333333333333,0,7,0.01,0.0857142857142857,0
18331,49,0.199698497868574,4.57142857142857,1,0.4,0,7,0.01,0.111111111111111,0
18332,50,0.15495964318188,5.28571428571429,1,0.454545454545455,0,7,0.01,0.135135135135135,0
18333,51,-0.0949025270053203,5.28571428571429,0,0.5,0,7,0.01,0.157894736842105,0
18334,52,1.05510077888921,10.2857142857143,1,0.538461538461539,0,7,0.01,0.179487179487179,0
18335,53,0.745771417546882,15.8571428571429,1,0.571428571428571,0,7,0.01,0.2,0
18336,54,0.137350892388365,15.7142857142857,1,0.6,0,7,0.01,0.219512195121951,0
18337,55,0.230923491344629,21.1428571428571,1,0.625,0,8,0.01,0.238095238095238,0
18338,56,0.226133154980832,27,1,0.647058823529412,0,8,0.01,0.255813953488372,0
18339,57,0.28503939461188,35.5714285714286,1,0.666666666666667,0,8,0.01,0.272727272727273,0
18340,58,1.03489073752062,73.4285714285714,1,0.684210526315789,0,8,0.01,0.288888888888889,0
18341,59,0.307303842562239,84.7142857142857,1,0.7,0,8,0.01,0.304347826086957,0
18342,60,0.157689251161433,93.7142857142857,1,0.714285714285714,0,8,0.01,0.319148936170213,0
