dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,2,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,1,NA,NA,NA,7,0.01,NA,NA
18285,3,-0.0186932370746837,0.666666666666667,0,NA,NA,7,0.01,NA,NA
18286,4,-0.0317541634481459,0.5,0,NA,NA,7,0.01,NA,NA
18287,5,-0.119161238888227,0.8,0,NA,NA,7,0.01,NA,NA
18288,6,-0.0776212427034035,0.666666666666667,0,NA,NA,7,0.01,NA,NA
18289,7,-0.0861488869205782,1,0,NA,NA,7,0.01,NA,NA
18290,8,-0.630535154403038,0.714285714285714,0,NA,NA,7,0.01,NA,NA
18291,9,0.41604437662609,1.28571428571429,1,NA,NA,7,0.01,NA,NA
18292,10,0.779883468374743,1.85714285714286,1,NA,NA,7,0.01,NA,NA
18293,11,0.523603617515251,2.57142857142857,1,NA,NA,7,0.01,NA,NA
18294,12,0.0789412580908174,2.28571428571429,1,NA,NA,7,0.01,NA,NA
18295,13,-0.058370207211631,2.28571428571429,0,NA,NA,7,0.01,NA,NA
18296,14,-0.0864429595447183,2.14285714285714,0,NA,NA,7,0.01,NA,NA
18297,15,-0.363285460032987,2.28571428571429,0,0,0,7,0.01,0,0
18298,16,-0.304778212846193,1.71428571428571,0,0.142857142857143,0,7,0.01,0.333333333333333,0
18299,17,0.650496268106803,1.14285714285714,0,0.25,0,7,0.01,0.5,0
18300,18,0.415704562852963,0.571428571428571,0,0.333333333333333,0,7,0.01,0.6,0
18301,19,0.130440063356791,0.571428571428571,0,1,0.777777777777778,7,0.08,0.6,1
18302,20,-0.0594263729294276,0.857142857142857,0,1,0.8,7,0.08,0.6,1
18303,21,-0.0979022997991654,0.714285714285714,0,1,0.818181818181818,7,0.08,0.6,1
18304,22,-0.370809244453649,0.714285714285714,0,1,0.833333333333333,7,0.08,0.6,1
18305,23,-0.220938759669709,1.42857142857143,0,1,0.846153846153846,7,0.08,0.6,1
18306,24,1.59119387817386,2.85714285714286,1,1,0.857142857142857,7,0.08,0.6,1
18307,25,0.708136556734824,4.28571428571429,1,1,0.866666666666667,7,0.08,0.6,1
18308,26,0.29787980129503,5.14285714285714,1,1,0.8125,7,0.08,0.5,1
18309,27,0.163415383057725,5.85714285714286,1,1,0.764705882352941,7,0.08,0.428571428571429,1
18310,28,0.13605384418477,7.42857142857143,1,1,0.722222222222222,7,0.08,0.375,1
18311,29,-0.0129702863095188,8.14285714285714,0,1,0.684210526315789,7,0.08,0.333333333333333,1
18312,30,-0.0924543325291983,8.85714285714286,0,1,0.65,7,0.08,0.3,1
18313,31,-0.0571181686829057,9.85714285714286,0,1,0.65,7,0.08,0.363636363636364,1
