dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,1,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0.5,NA,NA,NA,7,0.01,NA,NA
18285,3,-0.279917700176904,0.666666666666667,0,NA,NA,7,0.01,NA,NA
18286,4,-0.0741799002274486,0.5,0,NA,NA,7,0.01,NA,NA
18287,5,-0.124785740518357,0.6,0,NA,NA,7,0.01,NA,NA
18288,6,-0.105183673810475,0.666666666666667,0,NA,NA,7,0.01,NA,NA
18289,7,-0.0710191333361832,0.571428571428571,0,NA,NA,7,0.01,NA,NA
18290,8,-0.473362234593165,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18291,9,0.126983298203085,0.428571428571429,0,NA,NA,7,0.01,NA,NA
18292,10,1.92836393470787,1.28571428571429,1,NA,NA,7,0.01,NA,NA
18293,11,0.377824022592957,1.42857142857143,1,NA,NA,7,0.01,NA,NA
18294,12,0.292778823393563,1.71428571428571,1,NA,NA,7,0.01,NA,NA
18295,13,0.0635010497214475,1.57142857142857,1,NA,NA,7,0.01,NA,NA
18296,14,0,1.71428571428571,0,NA,NA,7,0.01,NA,NA
18297,15,-0.0564726276153805,2.14285714285714,0,0,0,7,0.01,0,0
18298,16,-0.0858794180436781,2.71428571428571,0,0,0,7,0.01,0,0
18299,17,-0.112934474854513,1.85714285714286,0,0.142857142857143,0,7,0.01,0.25,0
18300,18,-0.087129070824723,1.71428571428571,0,0.25,0,7,0.01,0.4,0
18301,19,0.0954451150103321,1.42857142857143,0,0.333333333333333,0,7,0.01,0.5,0
18302,20,-0.0317541634481457,1.71428571428571,0,0.4,0,7,0.01,0.571428571428571,0
18303,21,-0.0283022956848006,1.71428571428571,0,0.454545454545454,0,8,0.01,0.625,0
18304,22,0.129865365732064,1.28571428571429,0,0.5,0,8,0.01,0.666666666666667,0
18305,23,-0.13933703417613,0.714285714285714,0,1,0.583333333333333,7,0.01,0.444444444444444,1
18306,24,0.227293770863358,0.571428571428571,0,1,0.615384615384615,7,0.01,0.444444444444444,1
18307,25,0.064321419021318,0.571428571428571,0,1,0.642857142857143,7,0.01,0.444444444444444,1
18308,26,0.0430302430476732,0.571428571428571,0,1,0.666666666666667,7,0.01,0.444444444444444,1
18309,27,0.0419202589867213,0.428571428571429,0,0.731707317073171,0.745762711864407,8,0.01,0.666666666666667,0.8
18310,28,-0.139229323398432,0.428571428571429,0,0.75,0.769230769230769,8,0.01,0.666666666666667,0.833333333333333
18311,29,-0.386249896790893,0.428571428571429,0,0.763636363636364,0.787878787878788,8,0.01,0.666666666666667,0.857142857142857
18312,30,11.8118498960083,10.8571428571429,1,0.763636363636364,0.735849056603774,8,0.01,0.6,0.857142857142857
18313,31,1.45207032746445,25.1428571428571,1,0.763636363636364,0.690265486725664,8,0.01,0.545454545454545,0.857142857142857
18314,32,1.28826696390747,57.8571428571429,1,0.763636363636364,0.65,8,0.01,0.5,0.857142857142857
18315,33,0.527292777596405,81.8571428571429,1,0.763636363636364,0.614173228346457,8,0.01,0.461538461538462,0.857142857142857
18316,34,0.368210119202807,114.714285714286,1,1,0.565217391304348,7,0.01,0.285714285714286,1
18317,35,0.173343317219095,135.142857142857,1,1,0.541666666666667,7,0.01,0.266666666666667,1
18318,36,0.147215681263706,175.714285714286,1,1,0.52,7,0.01,0.25,1
18319,37,0.210831619283052,237.428571428571,1,1,0.52,7,0.01,0.294117647058824,1
18320,38,0.214360729569938,304.714285714286,1,1,0.52,7,0.01,0.333333333333333,1
18321,39,0.259754182237554,388.142857142857,1,1,0.52,7,0.01,0.368421052631579,1
18322,40,0.153589735171216,447.714285714286,1,1,0.52,7,0.01,0.4,1
18323,41,0.0842739707026287,500.285714285714,1,1,0.52,7,0.01,0.428571428571429,1
18324,42,0.0861105664363896,601.285714285714,1,1,0.52,7,0.01,0.454545454545455,1
18325,43,-0.0402514150385465,622.857142857143,0,1,0.52,7,0.01,0.478260869565217,1
18326,44,-0.140196775607206,617.428571428571,0,1,0.52,7,0.01,0.5,1
18327,45,-0.233105700607041,608,0,1,0.52,7,0.01,0.52,1
18328,46,-0.291674068709875,555.857142857143,0,1,0.52,7,0.01,0.538461538461538,1
18329,47,-0.23698631555593,511.142857142857,0,1,0.52,7,0.01,0.555555555555556,1
18330,48,0.271519283886382,449,0,1,0.52,7,0.01,0.571428571428571,1
18331,49,0.638329980228572,332.428571428571,0,1,0.52,7,0.01,0.586206896551724,1
18332,50,0.176057512961561,304.857142857143,0,1,0.538461538461538,7,0.01,0.586206896551724,1
18333,51,0.0763285476602846,254.428571428571,0,1,0.555555555555555,7,0.01,0.586206896551724,1
18334,52,-0.00546842166447468,198,0,1,0.571428571428571,7,0.01,0.586206896551724,1
18335,53,-0.035484899018517,149.285714285714,0,1,0.586206896551724,7,0.01,0.586206896551724,1
18336,54,-0.121906274309551,121.142857142857,0,1,0.6,7,0.01,0.586206896551724,1
18337,55,-0.217161412100876,108.285714285714,0,1,0.612903225806452,7,0.01,0.586206896551724,1
18338,56,-0.144172016972228,115.285714285714,0,1,0.625,7,0.01,0.586206896551724,1
18339,57,-0.13829737787561,94,0,0.931372549019608,0.662162162162162,8,0.01,0.655172413793103,0.933333333333333
18340,58,-0.267825524725044,99.4285714285714,0,0.932515337423313,0.673469387755102,8,0.01,0.655172413793103,0.9375
18341,59,-0.373944140281129,96.1428571428571,0,0.933526011560694,0.684014869888476,8,0.01,0.655172413793103,0.941176470588235
18342,60,-0.483885797889263,101.857142857143,0,0.934426229508197,0.693877551020408,8,0.01,0.655172413793103,0.944444444444444
18343,61,-0.455561257944185,114.142857142857,0,0.935233160621762,0.703125,8,0.01,0.655172413793103,0.947368421052632
18344,62,-0.203926454360126,103.571428571429,0,0.935960591133005,0.711815561959654,8,0.01,0.655172413793103,0.95
18345,63,-0.0221984616866669,102.428571428571,0,0.936619718309859,0.72,8,0.01,0.655172413793103,0.952380952380952
18346,64,-0.214841104746853,103.428571428571,0,0.937219730941704,0.727722772277228,8,0.01,0.655172413793103,0.954545454545455
18347,65,-0.0699988380182311,96.5714285714286,0,0.937768240343348,0.735023041474654,8,0.01,0.655172413793103,0.956521739130435
18348,66,0.0380285089043895,97.1428571428571,0,0.938271604938272,0.741935483870968,8,0.01,0.655172413793103,0.958333333333333
18349,67,-0.0194930761592169,97,0,0.938735177865613,0.748490945674044,8,0.01,0.655172413793103,0.96
18350,68,0.288590380150811,88.8571428571429,0,0.939163498098859,0.754716981132076,8,0.01,0.655172413793103,0.961538461538462
18351,69,-0.336352586948211,100,0,0.939560439560439,0.76063829787234,8,0.01,0.655172413793103,0.962962962962963
18352,70,0.123632249700568,107,1,0.939929328621908,0.766277128547579,8,0.01,0.655172413793103,0.964285714285714
18353,71,0.114083627856127,107.142857142857,1,0.940273037542662,0.771653543307087,8,0.01,0.655172413793103,0.96551724137931
