dates,Days,EVI,Cases,Index,pvs,pvn,lag_all,c_all,se_all,sp_all
18283,1,NA,0,NA,NA,NA,7,0.01,NA,NA
18284,2,NA,0,NA,NA,NA,7,0.01,NA,NA
18285,3,0,0,0,NA,NA,7,0.01,NA,NA
18286,4,0,0,0,NA,NA,7,0.01,NA,NA
18287,5,0,0,0,NA,NA,7,0.01,NA,NA
18288,6,0,0,0,NA,NA,7,0.01,NA,NA
18289,7,0,0,0,NA,NA,7,0.01,NA,NA
18290,8,0,0,0,NA,NA,7,0.01,NA,NA
18291,9,0,0,0,NA,NA,7,0.01,NA,NA
18292,10,0,0,0,NA,NA,7,0.01,NA,NA
18293,11,0,0,0,NA,NA,7,0.01,NA,NA
18294,12,0,0,0,NA,NA,7,0.01,NA,NA
18295,13,0,0,0,NA,NA,7,0.01,NA,NA
18296,14,0,0,0,NA,NA,7,0.01,NA,NA
18297,15,0,0,0,0,0,7,0.01,0,0
18298,16,0,0,0,0,0,7,0.01,0,0
18299,17,0,0,0,0,0,7,0.01,0,0
18300,18,0,0,0,0,0,7,0.01,0,0
18301,19,0,0,0,0,0,7,0.01,0,0
18302,20,0,0,0,0,0,7,0.01,0,0
18303,21,0,0,0,0,0,7,0.01,0,0
18304,22,0,0,0,0,0,7,0.01,0,0
18305,23,0,0,0,0,0,7,0.01,0,0
18306,24,0,0,0,0,0,7,0.01,0,0
18307,25,0,0,0,0,0,7,0.01,0,0
18308,26,0,0,0,0,0,7,0.01,0,0
18309,27,0,0,0,0,0,7,0.01,0,0
18310,28,0,0,0,0,0,7,0.01,0,0
18311,29,0,0,0,0,0,7,0.01,0,0
18312,30,0,0,0,0,0,7,0.01,0,0
18313,31,0,0,0,0,0,7,0.01,0,0
18314,32,0,0,0,0,0,7,0.01,0,0
18315,33,0,0,0,0,0,7,0.01,0,0
18316,34,Inf,0.142857142857143,1,0,0,7,0.01,0,0
18317,35,9.87811258138715,1.57142857142857,1,0,0,7,0.01,0,0
18318,36,1.41532664807504,3.71428571428571,1,0,0,7,0.01,0,0
18319,37,0.699830991115964,6.14285714285714,1,0,0,7,0.01,0,0
18320,38,0.185783659737532,6.42857142857143,1,0,0,7,0.01,0,0
18321,39,0.0237841873545211,6.42857142857143,1,0,0,7,0.01,0,0
18322,40,-0.0965036228105218,6.42857142857143,0,0,0,7,0.01,0,0
18323,41,-0.19535657905756,7.85714285714286,0,0.142857142857143,0,7,0.01,0.0357142857142857,0
18324,42,-0.420177656694586,6.42857142857143,0,0.25,0,7,0.01,0.0689655172413793,0
18325,43,-0.151938281134877,4.28571428571429,0,0.333333333333333,0,7,0.01,0.1,0
18326,44,0.805787796286538,2.14285714285714,0,0.4,0,7,0.01,0.129032258064516,0
18327,45,0.237399071676165,1.85714285714286,0,0.454545454545454,0,7,0.01,0.15625,0
18328,46,0.0502735179053902,2.28571428571429,0,0.5,0,7,0.01,0.181818181818182,0
18329,47,-0.03843811606027,2.71428571428571,0,1,0.205882352941177,7,0.01,0.181818181818182,1
18330,48,-0.236893574510668,1.14285714285714,0,1,0.228571428571429,7,0.01,0.181818181818182,1
18331,49,-0.451349514829961,1.85714285714286,0,1,0.25,7,0.01,0.181818181818182,1
18332,50,-0.501493283573764,2.28571428571429,0,1,0.27027027027027,7,0.01,0.181818181818182,1
18333,51,0.314534138012399,3.14285714285714,1,1,0.289473684210526,7,0.01,0.181818181818182,1
18334,52,0.108677891304172,3.14285714285714,1,1,0.307692307692308,7,0.01,0.181818181818182,1
18335,53,1.21703726565165,6.14285714285714,1,1,0.325,7,0.01,0.181818181818182,1
18336,54,0.36218778278017,6.85714285714286,1,1,0.341463414634146,7,0.01,0.181818181818182,1
18337,55,0.17882760574027,8.42857142857143,1,1,0.333333333333333,7,0.01,0.176470588235294,1
18338,56,0.0419150273510362,8.71428571428571,1,1,0.325581395348837,7,0.01,0.171428571428571,1
18339,57,0.0110259917437262,10,1,1,0.318181818181818,7,0.01,0.166666666666667,1
18340,58,-0.107401139201447,9.71428571428571,0,1,0.318181818181818,7,0.01,0.189189189189189,1
